Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b399e56233f0d3809f91274bf3632532331f2432f8fafc9b82e78c2abe83423e,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.159491,51.867616,On or near TUCKER'S ROW,E01023446,East Hertfordshire 007D,Investigation complete; no suspect identified
c4c417e502140af6cb2f6785b47afa71e4dac558feb436806c4fc2a647e9dbe9,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.179744,51.869788,On or near DUNMOW ROAD,E01023438,East Hertfordshire 005A,Investigation complete; no suspect identified
f196d0e5c35934f59c1a3d845dcc42d926342345f3c05a22d6670cda542607bf,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.151153,51.856331,On or near APPLETON FIELDS,E01023457,East Hertfordshire 008B,Investigation complete; no suspect identified
a57cc25299e77f4a6e3c50de9610fdf800e449fafe60ce4fdf817f8ac6e2cc39,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.175437,51.869040,On or near EAST ROAD,E01023438,East Hertfordshire 005A,Investigation complete; no suspect identified
cffed18ba9150c4badc323753d1dbf446bf9ae39d6bb41b32b6c25e179ecaaca,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.134987,51.859044,On or near SADDLERS CLOSE,E01023461,East Hertfordshire 008F,Investigation complete; no suspect identified
dd34176804ea58005d7dbdcb6c7f8d1fd9039865c78e374b69236c058135b0ae,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.155527,51.873417,On or near GRAYS COURT,E01023449,East Hertfordshire 004A,Investigation complete; no suspect identified
6208fddafd299da47677675dca7947fb01a8ce3d850486990b3581d2c1fe0115,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.160994,51.869864,On or near RIVERSIDE,E01023449,East Hertfordshire 004A,Investigation complete; no suspect identified
5c0a47b3671785609a5eaa8ad70fc6f665291857ad1845e125631d8fec3aff83,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.161853,51.872024,On or near LINK ROAD,E01023449,East Hertfordshire 004A,Investigation complete; no suspect identified
b5877e05323aab2e052c4dd4788bd1718132cf92f9cd7b9ff8d352876f35a717,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.163814,51.864758,On or near Nightclub,E01023446,East Hertfordshire 007D,Investigation complete; no suspect identified
1b074e9f52e325e823d7c2120ad8c3e74d65071d05d2720b2591bdabf5c4ceb7,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394657,51.653970,On or near ST. MARYS VIEW,E01023862,Watford 009D,Investigation complete; no suspect identified
255250da4ba29cc971d14b75d77a415fa59895d73846dc398655caa4d69f1f87,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394657,51.653970,On or near ST. MARYS VIEW,E01023862,Watford 009D,Investigation complete; no suspect identified
7eed81718f1ccce473cb8def7e0220163390399a262dfd5f6a82980a2736f9b3,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.395944,51.649861,On or near WIGGENHALL ROAD,E01023862,Watford 009D,Investigation complete; no suspect identified
96d284baf257d4cf31c80e148732ebbca976779497a55eaa137c43cd40fd7bf8,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.410911,51.655064,On or near HARWOODS ROAD,E01023888,Watford 008C,Investigation complete; no suspect identified
4a62cb479e867719bce51526ba968408566263288504e491fecfc833f80fe1b4,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.402074,51.657650,On or near ROSSLYN ROAD,E01023861,Watford 009C,Investigation complete; no suspect identified
74192edb85679514450415ec199982b5bcdfa3c1fbad4e1b44ec8404ca629713,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.414846,51.644614,On or near HEALEY ROAD,E01023864,Watford 011B,Investigation complete; no suspect identified
0fd67db5c7d2b5e877300a41ef7a34148ca4c80c2d675be04e750bb1e3d9632c,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.425953,51.646508,On or near Parking Area,E01023866,Watford 011D,Investigation complete; no suspect identified
d2c240d942550061db4de30e39ce2bc0dd04d59153b48b5ebe62b5e3ce6e1775,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.379416,51.645974,On or near WARNEFORD PLACE,E01023884,Watford 012C,Investigation complete; no suspect identified
ba12d64dbf32c1385a24d3eb5ebca51e52e339b6a11bb2234146581b330509ea,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.391416,51.656084,On or near STANLEY ROAD,E01023860,Watford 009B,Investigation complete; no suspect identified
99313209768e0ffde1a104912c3d1e688d7be61676e0ef462f7ea5c98df5632c,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.397732,51.640156,On or near THORPE CRESCENT,E01023883,Watford 012B,Investigation complete; no suspect identified
fafffb9b3d0ffacd0bf5956c620ab71b5b4d76d0e1826c6208f6c02ef9fea556,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.393011,51.658831,On or near PRINCE STREET,E01023859,Watford 009A,Investigation complete; no suspect identified
552544ae60752f4f08cfdf3d1c1a4ec907a521bdc517d3a42a4755efd5e9667d,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.410911,51.655064,On or near HARWOODS ROAD,E01023888,Watford 008C,Investigation complete; no suspect identified
594076fbdd175748afa055cdca3dc1df73f0892987b8f1a7f384a26648d78bc9,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394857,51.655268,On or near Shopping Area,E01023860,Watford 009B,Investigation complete; no suspect identified
1f961ad68882d1a8f3425ebf7ec81e242d14b6b24f3503bb6ba326bae7dc990a,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.404472,51.649051,On or near Hospital,E01023902,Watford 010D,Investigation complete; no suspect identified
70652bc494b1e282e7c49f7656f29ec5e77eff45239ebf663a90d53f41e8ded7,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394657,51.653970,On or near ST. MARYS VIEW,E01023862,Watford 009D,Investigation complete; no suspect identified
d82f90b8d954ebb8011cfa133e5feb1bf70c0c86220ff9f3a4d7c495d9bf0183,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.392859,51.654117,On or near Shopping Area,E01023860,Watford 009B,Investigation complete; no suspect identified
f50ba7c9a098450bb75b3ac59fa8f533a6732a68c1a36fbf7d3439e4c3d339f6,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.392193,51.659053,On or near QUEEN'S ROAD,E01023859,Watford 009A,Investigation complete; no suspect identified
f1b3977f89ec479db484da56ac34657f812e5d4b04065f4097b6d41ba333fcb9,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394657,51.653970,On or near ST. MARYS VIEW,E01023862,Watford 009D,Investigation complete; no suspect identified
8e196d90cf6370afde354dc035d33b8f7c6de68fc632c8177d55fd0d38edc6f4,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400520,51.659491,On or near Nightclub,E01023861,Watford 009C,Investigation complete; no suspect identified
e89f6bc6a0054f1552f365840fed9d46e22821f7181f3177c3e628c74d6bc5e4,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.387389,51.655507,On or near WATERFIELDS WAY,E01023860,Watford 009B,Investigation complete; no suspect identified
f38bdfdafb52347f0ef3e35397647d14943dc4a211498d5ba3d327d173b6cb45,2014-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.413393,51.651887,On or near PREMIER PLACE,E01023867,Watford 011E,Investigation complete; no suspect identified
