Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
85f09aff9cf876b246cc4df809c2399bcec4987bc4373c3af8194cc36b8a4758,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.412767,52.646170,On or near BEECH DRIVE,E01026545,Broadland 008A,Suspect charged
d211f1ca84d70f69cecde5902c7115ca71655769670c7df2371c990fc0c33023,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.225807,52.638929,On or near HUMBLEYARD,E01033436,Norwich 005H,Offender given a caution
b2ff2fe9cbe674795705e898b811b7476f4a20788d4706521c6043f84a41d58d,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.012570,52.516630,On or near Supermarket,E01026449,Breckland 011D,Offender given a caution
85204dbfefa34c1b616d770a95558b915dbea82432031cc578fdf5c5030e3e78,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.849387,52.833212,On or near LICHFIELD STREET,E01026745,North Norfolk 011A,Local resolution
726b461f7a8487b0ac4a70d4dc010313df9831c6fb43d861e41036f10eca83cf,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.510232,52.836720,On or near OSTEND GAP,E01026740,North Norfolk 012A,Suspect charged
c14aaf64de59f60ac0ac9dd6ec2e7cab28863f8e2db4fb0605e533a349b63f61,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.253263,52.772028,On or near FENGATE,E01026501,Broadland 001C,Suspect charged
622cebfc68be5b09419c57e508d51392c80be73d7906881cd2d3907465cafbfc,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.376317,52.601143,On or near Further/Higher Educational Building,E01033039,King's Lynn and West Norfolk 017H,Suspect charged
cf9bf095b3d9c9f0a3c26faf6f4cf2171853c677bc12def4dbfaaecc8a300014,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.379905,52.659507,On or near BROAD LANE,E01026578,Broadland 008C,Suspect charged
c65e904ff3c1ba4cf16da06a3154154e538203ab2305145f915dd6b4f8cbd5b0,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.444803,52.860628,On or near VICARAGE ROAD,E01026752,North Norfolk 007D,Suspect charged
19629e950e2548c473ba4aa1ba4af0e4055e4ba473c06646eb70833c3cf5b214,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.695036,52.697590,On or near THE CLOSE,E01026605,Great Yarmouth 001A,Suspect charged
4bf90913c8305cada794a9297232addfc3825ccfd2d43db79a1f08a9d75df031,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.705093,52.697285,On or near THE GLEBE,E01026607,Great Yarmouth 001C,Suspect charged
