Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
da6aa88afc4ff88fb00cc0d5168767389bcb36acd65bf4ecb084d98e126ce1a2,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.348197,52.121954,On or near Sports/Recreation Area,E01030193,Suffolk Coastal 005A,Investigation complete; no suspect identified
dbe123096e21a64c13c91f05330d1c1db4c4043004feb7e4ac5c676d735d2f6c,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.375540,52.270333,On or near Sports/Recreation Area,E01029937,Forest Heath 006A,Investigation complete; no suspect identified
3d6567521018ad447f4d3325e8215c4e914a0da002f3dafa4c86db3be2c531b3,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.404231,52.250671,On or near FRAMPTON CLOSE,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
b0ee5a1f9abbdccfbf0c7f065ddf8abe98314d01518f969beeccd8f1b408d2f9,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.893364,52.000081,On or near MILL LANE,E01029902,Babergh 009C,Investigation complete; no suspect identified
ba9efddab9eeea27d2d1f32412388eaab45c61d950567df953601bf4839f65c5,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.708992,52.263510,On or near Supermarket,E01030130,St Edmundsbury 003A,Investigation complete; no suspect identified
351861a32562b8f639c0b24a39e0f9a179fe04d86c1be514767b8b55e5c77d49,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.995524,52.186606,On or near MARRIOTT'S WALK,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
c5417c9e382e6c102579fdce1c901c119502645e5e9440b3cd4e64d1b54dc1ed,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.182613,52.035759,On or near LANDSEER CLOSE,E01029979,Ipswich 016B,Investigation complete; no suspect identified
4b45109969c92289b8ac47d4a607e11e7acdbe3d55136326e653942c1c96705b,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.336914,51.968534,On or near MARGARET STREET,E01030161,Suffolk Coastal 014B,Investigation complete; no suspect identified
8d55213b33bcabaa0cff14e0706f08a29a206ae2f0e6a9213b93119badaf9eca,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.894009,51.990658,On or near POLSTEAD STREET,E01029906,Babergh 009D,Investigation complete; no suspect identified
8cf38a66e805e523c4faa41e5564db229a35af7863a62c592fddb712998be71f,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.746188,52.477210,On or near WALTON ROAD,E01030250,Waveney 004D,Investigation complete; no suspect identified
27999fbb2f1a31cae8f86ccdecd77be665de70e6c37e7feb232fd0799ce5c8dd,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.841576,52.302461,On or near COLTSFOOT CLOSE,E01030121,St Edmundsbury 002B,Investigation complete; no suspect identified
68e254db4e840f089e962e0a0ddfd97b622c819f035240d199b740df1b58f553,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.741493,52.477269,On or near NORWICH ROAD,E01030265,Waveney 004F,Investigation complete; no suspect identified
d92bbb33d53a036a61124cd2ce417b5fdb1e98928215fc0294491568df89a40f,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.730532,52.453941,On or near Supermarket,E01030272,Waveney 012E,Investigation complete; no suspect identified
ccdaef4e3404a8fccd35f87b589ee886eac4e42f9fe59dd6cfef414e0425fb46,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.721833,52.467231,On or near HAWTHORN AVENUE,E01030291,Waveney 008E,Investigation complete; no suspect identified
0b6d11c9bebb808e119dc04e0a9afb0bdaa155a8cb0c06b463de1cd9dd06dc88,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.498570,52.270725,On or near MEADOWLANDS CLOSE,E01030222,Suffolk Coastal 001C,Investigation complete; no suspect identified
b17068ce712b4b73a751a8e1e6748915c71b37773398595218f77867fdde8d55,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.189016,52.053798,On or near PARLIAMENT ROAD,E01030006,Ipswich 008E,Investigation complete; no suspect identified
919c8e6b4f3d862f587b94c800fa437869fa61b04bac24baa4e3f1e284b69086,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.054158,52.151663,On or near PUMP STREET,E01030061,Mid Suffolk 011C,Investigation complete; no suspect identified
1d9265382c5af5561939ffe0fd9efa8a853ac173c158fd2f83b3a7745554c515,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.995010,52.187455,On or near CROWE STREET,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
b712e415a1e94b36ee2b1c77d814bfddc79b45e782d0959ba3852902c495f323,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.108298,52.077362,On or near WHITTON LEYER,E01030042,Mid Suffolk 012A,Investigation complete; no suspect identified
014830a4f8bc07fa49e6024926ef50516ac731f968f89a00c9daa91d34fd9ae0,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.755224,52.030222,On or near THE DRIFT,E01029889,Babergh 008D,Investigation complete; no suspect identified
943022bb24b3e63fccdf4a64ce7d373f1d847da5a50e30f4c363fa80e675cd29,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.144412,52.058290,On or near DALTON ROAD,E01029988,Ipswich 010E,Investigation complete; no suspect identified
