Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d510f5aa405f448995d07d376aa19ffba52ecb50e265f2214b0fcd3043929418,2014-03,Dorset Police,Dorset Police,-2.195626,51.006644,On or near MUSTONS LANE,E01020454,North Dorset 003A,Investigation complete; no suspect identified
10f3cff283cb94d56a2c1cae7a5ef256c82bc7d569d84244646cb159d5b900ea,2014-03,Dorset Police,Dorset Police,-1.855232,50.866996,On or near KILN WAY,E01020419,East Dorset 002D,Investigation complete; no suspect identified
0a0a4fc8e4c39b418b4f9ae63c1a42f3d5e7b745679d6385ead8d430881162e4,2014-03,Dorset Police,Dorset Police,-2.453804,50.608561,On or near MAIDEN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
abd82df99d7e1dbfedef2c85fb139707b8a0136b9a6c513d9eb715d934bdadcb,2014-03,Dorset Police,Dorset Police,-1.883193,50.840391,On or near COLLINGWOOD ROAD,E01020421,East Dorset 006A,Investigation complete; no suspect identified
5987fe45d5cc7d7a2f90e65f599e9cf1f3a681914969fc893b1f0cc5cdb3a8d2,2014-03,Dorset Police,Dorset Police,-2.515826,50.949637,On or near Supermarket,E01020544,West Dorset 001C,Investigation complete; no suspect identified
5e36324acd1c98856daeffb1a9b40fec378346a68791795cf8480ee13dca9572,2014-03,Dorset Police,Dorset Police,-2.582160,50.797711,On or near WEST END,E01020529,West Dorset 004C,Investigation complete; no suspect identified
9e48ac115baa2c81ddd800f9443ffd0f3a9d6102d2ce679a0aa816f53f35a973,2014-03,Dorset Police,Dorset Police,-2.454334,50.618092,On or near WALPOLE STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
d81a55ab621fc2158b860abee806ffd31aba2944923c464204cd5474ba6cc4de,2014-03,Dorset Police,Dorset Police,-1.838815,50.835303,On or near WOOLSBRIDGE ROAD,E01020406,East Dorset 004D,Investigation complete; no suspect identified
f8e024c75b25a1c07d1126cf750171ee11d79f58aa26dc657816a19a6c20b5a0,2014-03,Dorset Police,Dorset Police,-2.423644,50.548629,On or near SHEPHERDS CROFT,E01020563,Weymouth and Portland 008A,Investigation complete; no suspect identified
c88882982f8d3b623dd37feeb4d2b83f9c5fe8b6bdf402dc974f40df4488af71,2014-03,Dorset Police,Dorset Police,-2.092829,50.789785,On or near A31,E01020410,East Dorset 005D,Investigation complete; no suspect identified
8a0bf1733a76896b30ff1f65c014e61b63d866164e76e01e4b743b7a5dc51a12,2014-03,Dorset Police,Dorset Police,-2.340265,51.026329,On or near SHEPHERD'S HILL,E01020440,North Dorset 002A,Investigation complete; no suspect identified
794fac8c18573d74a569ca99f6da583c1780cc450ac50180c4e8dee228aeedb8,2014-03,Dorset Police,Dorset Police,-2.029696,50.765070,On or near WATERLOO ROAD,E01020388,East Dorset 012G,Investigation complete; no suspect identified
4adc15b891dab7a7adf75dd2686acc0d52e239133f0217c9e54e4a2823338a8a,2014-03,Dorset Police,Dorset Police,-2.179731,51.005959,On or near MAMPITTS LANE,E01020455,North Dorset 003B,Investigation complete; no suspect identified
cba6be361ffc48cdf81d32e9d38da7b8db3bfe702ddab515a2df21ef11497383,2014-03,Dorset Police,Dorset Police,-2.463635,50.606697,On or near PRINCE OF WALES ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
563344782d25755157d0cc145ce7ca669fb801a7348a9cc53838accfef0ef567,2014-03,Dorset Police,Dorset Police,-2.029170,50.739648,On or near CHRIS CRESCENT,E01020472,Purbeck 002B,Investigation complete; no suspect identified
e327d90e2daa85708d8ddf0e0ace024b44f81e04dcd1f8b637c9909318886cba,2014-03,Dorset Police,Dorset Police,-2.455078,50.611776,On or near WESTHAM ROAD,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
798a54f120532b060b269a96254e4519f730c1ca6c920499e7a4ef559b7cc233,2014-03,Dorset Police,Dorset Police,-2.455178,50.613349,On or near QUEBEC PLACE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
435fbd618dd2962f6243ad3326765485748b66b98b8ab01c9669a4b51670907a,2014-03,Dorset Police,Dorset Police,-2.449769,50.606374,On or near Parking Area,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
a10b1d919f156c179bf0624cfabeb9f21a82974e8ed90af4868f98aa1632ce2c,2014-03,Dorset Police,Dorset Police,-2.523158,50.944632,On or near HALF ACRES,E01032642,West Dorset 001H,Investigation complete; no suspect identified
2d8a06936ab2045cbd0d56402b8cd9414ac6739f2b48201cef19c8a69e912b11,2014-03,Dorset Police,Dorset Police,-1.789845,50.732134,On or near WENTWORTH DRIVE,E01020368,Christchurch 006E,Investigation complete; no suspect identified
e9a613d00e0c17c511da69eef67a273343d2bb3d95113975d64d84137c166a2b,2014-03,Dorset Police,Dorset Police,-1.889953,50.804149,On or near PRINCES ROAD,E01020392,East Dorset 008C,Investigation complete; no suspect identified
12ec3ee3f2f9e728f40d60c115a0b3b08e52359d6f0d487de39230fc4d6fddfe,2014-03,Dorset Police,Dorset Police,-2.454381,50.614207,On or near ALBERT STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
fc6e8d2a753b593aca4bca2dcca67f5f84d586448cbdf8f6a2ebacce68bd1a90,2014-03,Dorset Police,Dorset Police,-2.482856,50.599892,On or near BEACHVIEW CLOSE,E01020589,Weymouth and Portland 007D,Investigation complete; no suspect identified
b1595c5f8322cc3592d457d77d4afbe319f67fc1a14ef430f7c595a6743bdd8b,2014-03,Dorset Police,Dorset Police,-2.436807,50.712691,On or near Shopping Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
a129d907182f67a100a91f23e9113e8ea21be83fcf9d30cfc2cfb8d84d6c565f,2014-03,Dorset Police,Dorset Police,-2.513149,50.953498,On or near HARBOUR WAY,E01020543,West Dorset 001B,Investigation complete; no suspect identified
9e6f39bab5d35c93c84a1a97e9ce14da52db7270eb9ac057a493545c992f7636,2014-03,Dorset Police,Dorset Police,-2.452512,50.716822,On or near PLASSEY CLOSE,E01032643,West Dorset 009G,Investigation complete; no suspect identified
7dd18cdcab4aaba4d736ec3477a268f0a346c2cbdbd47ac8c37631b80a746656,2014-03,Dorset Police,Dorset Police,-2.280687,51.046818,On or near PEACEMARSH FARM CLOSE,E01020450,North Dorset 002B,Investigation complete; no suspect identified
4c7f9b4aab6439a5ecf0cdb0b6a509c6a25f8e2fcec94bbbe6a9456966d9a4d0,2014-03,Dorset Police,Dorset Police,-2.453434,50.609804,On or near NEW STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
