Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ab87c5200a9c05fcbaf91f5d990d4a6f19fa070fbe5aad8712761546231de8cb,2014-03,Lincolnshire Police,Lincolnshire Police,0.348841,53.193099,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
ab83d9916269e9bff675fbddd8206e0c8a30dac48beb9b8af88aecce7ba28333,2014-03,Lincolnshire Police,Lincolnshire Police,-0.142650,52.791514,On or near MARINE ROAD,E01026272,South Holland 007E,Investigation complete; no suspect identified
d8a75f547b109b8ccf972f12c5f77f2d165ff9c34c7c966a94b779a08beb7b15,2014-03,Lincolnshire Police,Lincolnshire Police,-0.771461,53.397758,On or near Supermarket,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
de417ff6ebb8c2d82d78af1d33539522546de6d5f15ca9d59e38c4d1c7792749,2014-03,Lincolnshire Police,Lincolnshire Police,-0.542180,52.979666,On or near Park/Open Space,E01026314,South Kesteven 001B,Investigation complete; no suspect identified
859dec3b296322960662363f50a6a237899bc19736d05671a937ac0127b5236e,2014-03,Lincolnshire Police,Lincolnshire Police,-0.307712,52.676970,On or near SWALLOW WALK,E01026305,South Kesteven 014C,Investigation complete; no suspect identified
4f5126dc43ecdf2ec409d9cfaf7f7c467f301e6be5e3106a1af4ca060b0ace54,2014-03,Lincolnshire Police,Lincolnshire Police,-0.541689,53.230512,On or near PARK STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
42b82441427fd03b1fa45e5033e4099295c611724d850e46f0d2fbf83c576853,2014-03,Lincolnshire Police,Lincolnshire Police,0.268812,53.335625,On or near Parking Area,E01026109,East Lindsey 006C,Investigation complete; no suspect identified
a0633d02f61da9ce9f7d74389ad5267ae2ada1f6d312d6caee43e5a26f9e1aff,2014-03,Lincolnshire Police,Lincolnshire Police,-0.139435,52.794916,On or near A151,E01026271,South Holland 007D,Investigation complete; no suspect identified
13f49721b6a1605f6db2282bd418867087b092996bd258e412a49bbc44b076a0,2014-03,Lincolnshire Police,Lincolnshire Police,0.114567,52.788359,On or near HIGHGROVE,E01026257,South Holland 002C,Investigation complete; no suspect identified
dfc0c3aa7407c3aa4a179287ba042b04e643e2c880fc01128399d9169c18b6c3,2014-03,Lincolnshire Police,Lincolnshire Police,-0.771946,53.396577,On or near COLVILLE TERRACE,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
c377788a9f164e7e41c353c59e43d656329f7716c873b249aea57b15186c10aa,2014-03,Lincolnshire Police,Lincolnshire Police,-0.539346,53.223642,On or near PORTLAND STREET,E01026176,Lincoln 006B,Investigation complete; no suspect identified
ba3b4570066d29ff5452a15420db7d50fcff05608c2e41d7319ec32635deda5c,2014-03,Lincolnshire Police,Lincolnshire Police,-0.117008,53.211002,On or near Supermarket,E01026067,East Lindsey 011D,Investigation complete; no suspect identified
a53307ea7bd41a12fd2d079a411f77a03b0d36cc27236fbbf75a3e71e981afeb,2014-03,Lincolnshire Police,Lincolnshire Police,-0.588445,53.201859,On or near ROSEUM CLOSE,E01026162,Lincoln 009E,Investigation complete; no suspect identified
6b5b2fcb36609578b07ad936e001709840347a00e6ed3c44f8487e4fe71ee27a,2014-03,Lincolnshire Police,Lincolnshire Police,-0.520121,53.109460,On or near ROMAN CLOSE,E01026194,North Kesteven 006B,Investigation complete; no suspect identified
cb4dcb8d468e47d830758304c62d66e8d1301c6771b7d0a1e143e2560b5c12a6,2014-03,Lincolnshire Police,Lincolnshire Police,-0.015868,52.969997,On or near DRAKARDS LANE,E01026025,Boston 003C,Investigation complete; no suspect identified
52ffea87709214683ef801112aa57c9b2292d4077c757c6ceb0780dceadc09ba,2014-03,Lincolnshire Police,Lincolnshire Police,-0.030016,52.973595,On or near KING STREET,E01026030,Boston 002C,Investigation complete; no suspect identified
415ebf22927b65e58a28ca052e35f6c8275ced4589d7eb85a23320c07ed93bae,2014-03,Lincolnshire Police,Lincolnshire Police,-0.128328,52.787962,On or near LOW ROAD,E01026270,South Holland 007C,Investigation complete; no suspect identified
99735fb3aff97d68eafa3ba74c01b3d78d91393d24d82c3426a4441420d2f2e4,2014-03,Lincolnshire Police,Lincolnshire Police,0.344346,53.150219,On or near THE TOWERS,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
33573660aec6436ff91b1941480f6646f8f96a6de9f59fe71d0d999c43ffc35e,2014-03,Lincolnshire Police,Lincolnshire Police,-0.393194,52.769207,On or near SYCAMORE CLOSE,E01026300,South Kesteven 010B,Investigation complete; no suspect identified
a0773b18bfa3cf7a0a7dd247be466ec6112dbe24dbf34460146ccd866b2b4645,2014-03,Lincolnshire Police,Lincolnshire Police,-0.293920,52.968487,On or near LITTLE HALE ROAD,E01026201,North Kesteven 012B,Investigation complete; no suspect identified
83086d531f7ff7354e7020cebabffcda91d8430bc873ebb558587bb2834b7745,2014-03,Lincolnshire Police,Lincolnshire Police,0.343521,53.144958,On or near Parking Area,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
84e5ccb8b84d7211e94e48fa3c27483d98469bbbc57f7c76b5bbbf22cc9c950d,2014-03,Lincolnshire Police,Lincolnshire Police,-0.617447,53.207844,On or near A46,E01026163,Lincoln 009F,Investigation complete; no suspect identified
5abe15e5f2056bc8d277db002085b83debe0c1ab42fc07b9a1262b080c4bdfe6,2014-03,Lincolnshire Police,Lincolnshire Police,-0.533229,53.246590,On or near AUBOURN AVENUE,E01026164,Lincoln 003F,Investigation complete; no suspect identified
665627ddb2514a44a5fc0f1c1d1be191cdb2e92e1b46fa4470b0a08ad48be9e8,2014-03,Lincolnshire Police,Lincolnshire Police,-0.023358,52.679645,On or near HUBERT'S CLOSE,E01026280,South Holland 010C,Investigation complete; no suspect identified
83fc35af6157c2946b052a3eb7253a3eb8276a545943f5c2332f593f063b9517,2014-03,Lincolnshire Police,Lincolnshire Police,-0.360692,52.827874,On or near MAIN ROAD,E01026290,South Kesteven 008A,Investigation complete; no suspect identified
f4ace0fde399a9eabcbefb0c5b7e887e4d4509a5ad64e89236ca5a07b028a320,2014-03,Lincolnshire Police,Lincolnshire Police,-0.403116,52.758121,On or near Park/Open Space,E01026330,South Kesteven 012A,Investigation complete; no suspect identified
019da7bfd8cf5bafced23b6b449c061e77cad5b60777b89f9a0fb55b6da4ae98,2014-03,Lincolnshire Police,Lincolnshire Police,-0.038818,52.973938,On or near Supermarket,E01026031,Boston 009B,Investigation complete; no suspect identified
