Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8abf4ce8fa083a4ec3de7d67f5909febb4c3c306735208d415fdcb7981b2f21a,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.550190,52.798034,On or near THE STREET,E01026786,North Norfolk 013D,Investigation complete; no suspect identified
65ffca715ad299042ecf9ef7f17e06bf009ccb4dc2631dd6329e8142cf780b2c,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.900518,52.807055,On or near Sports/Recreation Area,E01026787,North Norfolk 009C,Investigation complete; no suspect identified
9d47bca61d58214d91767155326ead6dd61570421f9a28ccec798c115eda1b1d,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.434145,52.746858,On or near FRED ACKLAND DRIVE,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
1bc03498ab2ff183d54a5520179013278a53d273da26116fc50fe5a386600722,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.118372,52.917716,On or near BRIDGE ROAD,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
3a704e9743c3ba5baa452a14282bebbb21716cdd751b0748987c71c90734e49d,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.118372,52.917716,On or near BRIDGE ROAD,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
ede6e31e035f6b10a95e22f0bc27a26f3fd805cb64b4fc1bbe8d905816cf6081,2014-03,Norfolk Constabulary,Norfolk Constabulary,0.747918,52.406926,On or near ST MICHAEL'S CLOSE,E01026477,Breckland 017D,Investigation complete; no suspect identified
a0c0934180cdd5b125ee320e55f2ce6cd36cb0235ac68b98fb2d611053646106,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.307959,52.666314,On or near WHITE WOMAN LANE,E01026541,Broadland 009B,Investigation complete; no suspect identified
6315584ad541b777d8f2c7d9449aeb402ee414f4d0bc5de000b80f311092df70,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.118372,52.917716,On or near BRIDGE ROAD,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
d862afccece3d8e5acca38181039d051f14cf2cbbd43d49f32298c54d4df9ee2,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.118372,52.917716,On or near BRIDGE ROAD,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
c8a488bae76bbb958d2895b28642b00a2424344521a19ccc4564cb44c699f291,2014-03,Norfolk Constabulary,Norfolk Constabulary,1.118372,52.917716,On or near BRIDGE ROAD,E01026741,North Norfolk 004A,Investigation complete; no suspect identified
