12 months ending,Police force area,Region,Offence,Rolling year total number of offences
30/09/2007,Kent,South East,Sexual offences,1634
30/09/2007,Kent,South East,Shoplifting,10442
30/09/2007,Kent,South East,Theft from the person,1288
30/09/2007,Kent,South East,Vehicle offences,18836
30/09/2007,Kent,South East,Violence with injury,13514
30/09/2007,Kent,South East,Violence without injury,9061
30/09/2007,Lancashire,North West,All other theft offences,16752
30/09/2007,Lancashire,North West,Bicycle theft,2496
30/09/2007,Lancashire,North West,Criminal damage and arson,34044
30/09/2007,Lancashire,North West,Domestic burglary,5181
30/09/2007,Lancashire,North West,Drug offences,3758
30/09/2007,Lancashire,North West,Fraud offences to 2012/13,1588
30/09/2007,Lancashire,North West,Homicide,24
30/09/2007,Lancashire,North West,Miscellaneous crimes against society,1160
30/09/2007,Lancashire,North West,Non-domestic burglary,8513
30/09/2007,Lancashire,North West,Possession of weapons offences,985
30/09/2007,Lancashire,North West,Public order offences,4665
30/09/2007,Lancashire,North West,Robbery,932
30/09/2007,Lancashire,North West,Sexual offences,1456
30/09/2007,Lancashire,North West,Shoplifting,8736
30/09/2007,Lancashire,North West,Theft from the person,1425
30/09/2007,Lancashire,North West,Vehicle offences,14923
30/09/2007,Lancashire,North West,Violence with injury,13200
30/09/2007,Lancashire,North West,Violence without injury,7334
30/09/2007,Leicestershire,East Midlands,All other theft offences,12060
30/09/2007,Leicestershire,East Midlands,Bicycle theft,1927
30/09/2007,Leicestershire,East Midlands,Criminal damage and arson,19326
30/09/2007,Leicestershire,East Midlands,Domestic burglary,5319
30/09/2007,Leicestershire,East Midlands,Drug offences,3190
30/09/2007,Leicestershire,East Midlands,Fraud offences to 2012/13,2130
30/09/2007,Leicestershire,East Midlands,Homicide,14
30/09/2007,Leicestershire,East Midlands,Miscellaneous crimes against society,1029
30/09/2007,Leicestershire,East Midlands,Non-domestic burglary,5167
30/09/2007,Leicestershire,East Midlands,Possession of weapons offences,567
30/09/2007,Leicestershire,East Midlands,Public order offences,4196
30/09/2007,Leicestershire,East Midlands,Robbery,1139
30/09/2007,Leicestershire,East Midlands,Sexual offences,1280
30/09/2007,Leicestershire,East Midlands,Shoplifting,5464
30/09/2007,Leicestershire,East Midlands,Theft from the person,1790
30/09/2007,Leicestershire,East Midlands,Vehicle offences,11591
30/09/2007,Leicestershire,East Midlands,Violence with injury,8638
30/09/2007,Leicestershire,East Midlands,Violence without injury,7114
30/09/2007,Lincolnshire,East Midlands,All other theft offences,8517
30/09/2007,Lincolnshire,East Midlands,Bicycle theft,1598
30/09/2007,Lincolnshire,East Midlands,Criminal damage and arson,14197
30/09/2007,Lincolnshire,East Midlands,Domestic burglary,2102
30/09/2007,Lincolnshire,East Midlands,Drug offences,1446
30/09/2007,Lincolnshire,East Midlands,Fraud offences to 2012/13,724
30/09/2007,Lincolnshire,East Midlands,Homicide,12
30/09/2007,Lincolnshire,East Midlands,Miscellaneous crimes against society,640
30/09/2007,Lincolnshire,East Midlands,Non-domestic burglary,3971
30/09/2007,Lincolnshire,East Midlands,Possession of weapons offences,429
30/09/2007,Lincolnshire,East Midlands,Public order offences,2943
30/09/2007,Lincolnshire,East Midlands,Robbery,207
30/09/2007,Lincolnshire,East Midlands,Sexual offences,649
30/09/2007,Lincolnshire,East Midlands,Shoplifting,3302
30/09/2007,Lincolnshire,East Midlands,Theft from the person,350
30/09/2007,Lincolnshire,East Midlands,Vehicle offences,5576
30/09/2007,Lincolnshire,East Midlands,Violence with injury,4331
30/09/2007,Lincolnshire,East Midlands,Violence without injury,2826
30/09/2007,"London, City of",London,All other theft offences,2738
30/09/2007,"London, City of",London,Bicycle theft,279
30/09/2007,"London, City of",London,Criminal damage and arson,276
30/09/2007,"London, City of",London,Domestic burglary,37
30/09/2007,"London, City of",London,Drug offences,789
30/09/2007,"London, City of",London,Fraud offences to 2012/13,434
30/09/2007,"London, City of",London,Homicide,2
30/09/2007,"London, City of",London,Miscellaneous crimes against society,334
30/09/2007,"London, City of",London,Non-domestic burglary,379
30/09/2007,"London, City of",London,Possession of weapons offences,71
30/09/2007,"London, City of",London,Public order offences,317
30/09/2007,"London, City of",London,Robbery,46
30/09/2007,"London, City of",London,Sexual offences,38
30/09/2007,"London, City of",London,Shoplifting,834
30/09/2007,"London, City of",London,Theft from the person,461
30/09/2007,"London, City of",London,Vehicle offences,231
30/09/2007,"London, City of",London,Violence with injury,333
30/09/2007,"London, City of",London,Violence without injury,349
30/09/2007,Merseyside,North West,All other theft offences,13518
30/09/2007,Merseyside,North West,Bicycle theft,1766
30/09/2007,Merseyside,North West,Criminal damage and arson,36513
30/09/2007,Merseyside,North West,Domestic burglary,8930
30/09/2007,Merseyside,North West,Drug offences,10918
30/09/2007,Merseyside,North West,Fraud offences to 2012/13,1152
30/09/2007,Merseyside,North West,Homicide,29
30/09/2007,Merseyside,North West,Miscellaneous crimes against society,992
30/09/2007,Merseyside,North West,Non-domestic burglary,8955
30/09/2007,Merseyside,North West,Possession of weapons offences,1180
30/09/2007,Merseyside,North West,Public order offences,5258
30/09/2007,Merseyside,North West,Robbery,1953
30/09/2007,Merseyside,North West,Sexual offences,968
30/09/2007,Merseyside,North West,Shoplifting,9205
30/09/2007,Merseyside,North West,Theft from the person,2448
30/09/2007,Merseyside,North West,Vehicle offences,19421
30/09/2007,Merseyside,North West,Violence with injury,11229
30/09/2007,Merseyside,North West,Violence without injury,5250
30/09/2007,Metropolitan Police,London,All other theft offences,145237
30/09/2007,Metropolitan Police,London,Bicycle theft,17899
30/09/2007,Metropolitan Police,London,Criminal damage and arson,107746
30/09/2007,Metropolitan Police,London,Domestic burglary,59726
30/09/2007,Metropolitan Police,London,Drug offences,63143
30/09/2007,Metropolitan Police,London,Fraud offences to 2012/13,20439
30/09/2007,Metropolitan Police,London,Homicide,176
30/09/2007,Metropolitan Police,London,Miscellaneous crimes against society,10543
30/09/2007,Metropolitan Police,London,Non-domestic burglary,35647
30/09/2007,Metropolitan Police,London,Possession of weapons offences,8013
30/09/2007,Metropolitan Police,London,Public order offences,31628
30/09/2007,Metropolitan Police,London,Robbery,42464
30/09/2007,Metropolitan Police,London,Sexual offences,8429
30/09/2007,Metropolitan Police,London,Shoplifting,36080
30/09/2007,Metropolitan Police,London,Theft from the person,36865
30/09/2007,Metropolitan Police,London,Vehicle offences,126485
30/09/2007,Metropolitan Police,London,Violence with injury,74856
30/09/2007,Metropolitan Police,London,Violence without injury,67210
30/09/2007,Norfolk,East,All other theft offences,9327
30/09/2007,Norfolk,East,Bicycle theft,1849
30/09/2007,Norfolk,East,Criminal damage and arson,16697
30/09/2007,Norfolk,East,Domestic burglary,1693
30/09/2007,Norfolk,East,Drug offences,2201
30/09/2007,Norfolk,East,Fraud offences to 2012/13,1130
30/09/2007,Norfolk,East,Homicide,9
30/09/2007,Norfolk,East,Miscellaneous crimes against society,691
30/09/2007,Norfolk,East,Non-domestic burglary,3945
30/09/2007,Norfolk,East,Possession of weapons offences,398
30/09/2007,Norfolk,East,Public order offences,2405
30/09/2007,Norfolk,East,Robbery,347
30/09/2007,Norfolk,East,Sexual offences,716
30/09/2007,Norfolk,East,Shoplifting,4150
30/09/2007,Norfolk,East,Theft from the person,737
30/09/2007,Norfolk,East,Vehicle offences,5754
30/09/2007,Norfolk,East,Violence with injury,4854
30/09/2007,Norfolk,East,Violence without injury,3530
30/09/2007,North Wales,Wales,All other theft offences,5038
30/09/2007,North Wales,Wales,Bicycle theft,661
30/09/2007,North Wales,Wales,Criminal damage and arson,13249
30/09/2007,North Wales,Wales,Domestic burglary,1104
30/09/2007,North Wales,Wales,Drug offences,2131
30/09/2007,North Wales,Wales,Fraud offences to 2012/13,497
30/09/2007,North Wales,Wales,Homicide,5
30/09/2007,North Wales,Wales,Miscellaneous crimes against society,527
30/09/2007,North Wales,Wales,Non-domestic burglary,3100
30/09/2007,North Wales,Wales,Possession of weapons offences,372
30/09/2007,North Wales,Wales,Public order offences,3895
30/09/2007,North Wales,Wales,Robbery,144
30/09/2007,North Wales,Wales,Sexual offences,621
30/09/2007,North Wales,Wales,Shoplifting,3321
30/09/2007,North Wales,Wales,Theft from the person,207
30/09/2007,North Wales,Wales,Vehicle offences,4386
30/09/2007,North Wales,Wales,Violence with injury,4674
30/09/2007,North Wales,Wales,Violence without injury,4148
30/09/2007,North Yorkshire,Yorkshire and the Humber,All other theft offences,6858
30/09/2007,North Yorkshire,Yorkshire and the Humber,Bicycle theft,1979
30/09/2007,North Yorkshire,Yorkshire and the Humber,Criminal damage and arson,11863
30/09/2007,North Yorkshire,Yorkshire and the Humber,Domestic burglary,2269
30/09/2007,North Yorkshire,Yorkshire and the Humber,Drug offences,2042
30/09/2007,North Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,822
30/09/2007,North Yorkshire,Yorkshire and the Humber,Homicide,1
30/09/2007,North Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,602
30/09/2007,North Yorkshire,Yorkshire and the Humber,Non-domestic burglary,4159
30/09/2007,North Yorkshire,Yorkshire and the Humber,Possession of weapons offences,338
30/09/2007,North Yorkshire,Yorkshire and the Humber,Public order offences,2822
30/09/2007,North Yorkshire,Yorkshire and the Humber,Robbery,274
30/09/2007,North Yorkshire,Yorkshire and the Humber,Sexual offences,542
30/09/2007,North Yorkshire,Yorkshire and the Humber,Shoplifting,3679
30/09/2007,North Yorkshire,Yorkshire and the Humber,Theft from the person,774
30/09/2007,North Yorkshire,Yorkshire and the Humber,Vehicle offences,6197
30/09/2007,North Yorkshire,Yorkshire and the Humber,Violence with injury,5018
30/09/2007,North Yorkshire,Yorkshire and the Humber,Violence without injury,2253
30/09/2007,Northamptonshire,East Midlands,All other theft offences,8774
30/09/2007,Northamptonshire,East Midlands,Bicycle theft,1173
30/09/2007,Northamptonshire,East Midlands,Criminal damage and arson,15581
30/09/2007,Northamptonshire,East Midlands,Domestic burglary,3622
30/09/2007,Northamptonshire,East Midlands,Drug offences,1514
30/09/2007,Northamptonshire,East Midlands,Fraud offences to 2012/13,1133
30/09/2007,Northamptonshire,East Midlands,Homicide,11
30/09/2007,Northamptonshire,East Midlands,Miscellaneous crimes against society,703
30/09/2007,Northamptonshire,East Midlands,Non-domestic burglary,5434
30/09/2007,Northamptonshire,East Midlands,Possession of weapons offences,397
30/09/2007,Northamptonshire,East Midlands,Public order offences,1563
30/09/2007,Northamptonshire,East Midlands,Robbery,1006
30/09/2007,Northamptonshire,East Midlands,Sexual offences,565
30/09/2007,Northamptonshire,East Midlands,Shoplifting,3551
30/09/2007,Northamptonshire,East Midlands,Theft from the person,1155
30/09/2007,Northamptonshire,East Midlands,Vehicle offences,9870
30/09/2007,Northamptonshire,East Midlands,Violence with injury,5608
30/09/2007,Northamptonshire,East Midlands,Violence without injury,3452
30/09/2007,Northumbria,North East,All other theft offences,13088
30/09/2007,Northumbria,North East,Bicycle theft,2242
30/09/2007,Northumbria,North East,Criminal damage and arson,32938
30/09/2007,Northumbria,North East,Domestic burglary,5517
30/09/2007,Northumbria,North East,Drug offences,4908
30/09/2007,Northumbria,North East,Fraud offences to 2012/13,1408
30/09/2007,Northumbria,North East,Homicide,34
30/09/2007,Northumbria,North East,Miscellaneous crimes against society,1840
30/09/2007,Northumbria,North East,Non-domestic burglary,7243
30/09/2007,Northumbria,North East,Possession of weapons offences,1246
30/09/2007,Northumbria,North East,Public order offences,5551
30/09/2007,Northumbria,North East,Robbery,856
30/09/2007,Northumbria,North East,Sexual offences,1168
30/09/2007,Northumbria,North East,Shoplifting,9404
30/09/2007,Northumbria,North East,Theft from the person,1237
30/09/2007,Northumbria,North East,Vehicle offences,14068
30/09/2007,Northumbria,North East,Violence with injury,12315
30/09/2007,Northumbria,North East,Violence without injury,4176
30/09/2007,Nottinghamshire,East Midlands,All other theft offences,16288
30/09/2007,Nottinghamshire,East Midlands,Bicycle theft,3046
30/09/2007,Nottinghamshire,East Midlands,Criminal damage and arson,29147
30/09/2007,Nottinghamshire,East Midlands,Domestic burglary,9941
30/09/2007,Nottinghamshire,East Midlands,Drug offences,4012
30/09/2007,Nottinghamshire,East Midlands,Fraud offences to 2012/13,1190
30/09/2007,Nottinghamshire,East Midlands,Homicide,12
30/09/2007,Nottinghamshire,East Midlands,Miscellaneous crimes against society,1570
30/09/2007,Nottinghamshire,East Midlands,Non-domestic burglary,9552
30/09/2007,Nottinghamshire,East Midlands,Possession of weapons offences,802
30/09/2007,Nottinghamshire,East Midlands,Public order offences,4418
30/09/2007,Nottinghamshire,East Midlands,Robbery,2344
30/09/2007,Nottinghamshire,East Midlands,Sexual offences,1052
30/09/2007,Nottinghamshire,East Midlands,Shoplifting,7002
30/09/2007,Nottinghamshire,East Midlands,Theft from the person,2439
30/09/2007,Nottinghamshire,East Midlands,Vehicle offences,22853
30/09/2007,Nottinghamshire,East Midlands,Violence with injury,11668
30/09/2007,Nottinghamshire,East Midlands,Violence without injury,5385
30/09/2007,South Wales,Wales,All other theft offences,14221
30/09/2007,South Wales,Wales,Bicycle theft,1713
30/09/2007,South Wales,Wales,Criminal damage and arson,27678
30/09/2007,South Wales,Wales,Domestic burglary,7063
30/09/2007,South Wales,Wales,Drug offences,4619
30/09/2007,South Wales,Wales,Fraud offences to 2012/13,1164
30/09/2007,South Wales,Wales,Homicide,18
30/09/2007,South Wales,Wales,Miscellaneous crimes against society,1387
30/09/2007,South Wales,Wales,Non-domestic burglary,7894
30/09/2007,South Wales,Wales,Possession of weapons offences,744
30/09/2007,South Wales,Wales,Public order offences,5351
30/09/2007,South Wales,Wales,Robbery,881
30/09/2007,South Wales,Wales,Sexual offences,921
30/09/2007,South Wales,Wales,Shoplifting,7127
30/09/2007,South Wales,Wales,Theft from the person,2372
30/09/2007,South Wales,Wales,Vehicle offences,23712
30/09/2007,South Wales,Wales,Violence with injury,9615
30/09/2007,South Wales,Wales,Violence without injury,4710
30/09/2007,South Yorkshire,Yorkshire and the Humber,All other theft offences,21681
30/09/2007,South Yorkshire,Yorkshire and the Humber,Bicycle theft,1670
30/09/2007,South Yorkshire,Yorkshire and the Humber,Criminal damage and arson,37599
30/09/2007,South Yorkshire,Yorkshire and the Humber,Domestic burglary,9219
30/09/2007,South Yorkshire,Yorkshire and the Humber,Drug offences,3998
30/09/2007,South Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,1252
30/09/2007,South Yorkshire,Yorkshire and the Humber,Homicide,18
30/09/2007,South Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,1243
30/09/2007,South Yorkshire,Yorkshire and the Humber,Non-domestic burglary,11583
30/09/2007,South Yorkshire,Yorkshire and the Humber,Possession of weapons offences,839
30/09/2007,South Yorkshire,Yorkshire and the Humber,Public order offences,5583
30/09/2007,South Yorkshire,Yorkshire and the Humber,Robbery,1564
30/09/2007,South Yorkshire,Yorkshire and the Humber,Sexual offences,1087
30/09/2007,South Yorkshire,Yorkshire and the Humber,Shoplifting,7989
30/09/2007,South Yorkshire,Yorkshire and the Humber,Theft from the person,2512
30/09/2007,South Yorkshire,Yorkshire and the Humber,Vehicle offences,26642
30/09/2007,South Yorkshire,Yorkshire and the Humber,Violence with injury,15940
30/09/2007,South Yorkshire,Yorkshire and the Humber,Violence without injury,4987
30/09/2007,Staffordshire,West Midlands,All other theft offences,13170
30/09/2007,Staffordshire,West Midlands,Bicycle theft,1283
30/09/2007,Staffordshire,West Midlands,Criminal damage and arson,22823
30/09/2007,Staffordshire,West Midlands,Domestic burglary,4491
30/09/2007,Staffordshire,West Midlands,Drug offences,3272
30/09/2007,Staffordshire,West Midlands,Fraud offences to 2012/13,1401
30/09/2007,Staffordshire,West Midlands,Homicide,14
30/09/2007,Staffordshire,West Midlands,Miscellaneous crimes against society,1434
30/09/2007,Staffordshire,West Midlands,Non-domestic burglary,6314
30/09/2007,Staffordshire,West Midlands,Possession of weapons offences,573
30/09/2007,Staffordshire,West Midlands,Public order offences,4184
30/09/2007,Staffordshire,West Midlands,Robbery,773
30/09/2007,Staffordshire,West Midlands,Sexual offences,1086
30/09/2007,Staffordshire,West Midlands,Shoplifting,6119
30/09/2007,Staffordshire,West Midlands,Theft from the person,1226
30/09/2007,Staffordshire,West Midlands,Vehicle offences,12290
30/09/2007,Staffordshire,West Midlands,Violence with injury,10922
30/09/2007,Staffordshire,West Midlands,Violence without injury,6984
30/09/2007,Suffolk,East,All other theft offences,6034
30/09/2007,Suffolk,East,Bicycle theft,1712
30/09/2007,Suffolk,East,Criminal damage and arson,12789
30/09/2007,Suffolk,East,Domestic burglary,1592
30/09/2007,Suffolk,East,Drug offences,1792
30/09/2007,Suffolk,East,Fraud offences to 2012/13,982
30/09/2007,Suffolk,East,Homicide,14
30/09/2007,Suffolk,East,Miscellaneous crimes against society,700
30/09/2007,Suffolk,East,Non-domestic burglary,3526
30/09/2007,Suffolk,East,Possession of weapons offences,393
30/09/2007,Suffolk,East,Public order offences,3020
30/09/2007,Suffolk,East,Robbery,263
30/09/2007,Suffolk,East,Sexual offences,657
30/09/2007,Suffolk,East,Shoplifting,2905
30/09/2007,Suffolk,East,Theft from the person,685
30/09/2007,Suffolk,East,Vehicle offences,6063
30/09/2007,Suffolk,East,Violence with injury,4103
30/09/2007,Suffolk,East,Violence without injury,2637
30/09/2007,Surrey,South East,All other theft offences,10118
30/09/2007,Surrey,South East,Bicycle theft,1553
30/09/2007,Surrey,South East,Criminal damage and arson,16760
30/09/2007,Surrey,South East,Domestic burglary,3441
30/09/2007,Surrey,South East,Drug offences,2594
30/09/2007,Surrey,South East,Fraud offences to 2012/13,1453
30/09/2007,Surrey,South East,Homicide,9
30/09/2007,Surrey,South East,Miscellaneous crimes against society,906
30/09/2007,Surrey,South East,Non-domestic burglary,4496
30/09/2007,Surrey,South East,Possession of weapons offences,447
30/09/2007,Surrey,South East,Public order offences,4970
30/09/2007,Surrey,South East,Robbery,409
30/09/2007,Surrey,South East,Sexual offences,650
30/09/2007,Surrey,South East,Shoplifting,3964
30/09/2007,Surrey,South East,Theft from the person,440
30/09/2007,Surrey,South East,Vehicle offences,10434
30/09/2007,Surrey,South East,Violence with injury,5245
30/09/2007,Surrey,South East,Violence without injury,4522
30/09/2007,Sussex,South East,All other theft offences,19257
30/09/2007,Sussex,South East,Bicycle theft,2922
30/09/2007,Sussex,South East,Criminal damage and arson,28573
30/09/2007,Sussex,South East,Domestic burglary,4241
30/09/2007,Sussex,South East,Drug offences,5439
30/09/2007,Sussex,South East,Fraud offences to 2012/13,1791
30/09/2007,Sussex,South East,Homicide,6
30/09/2007,Sussex,South East,Miscellaneous crimes against society,1790
30/09/2007,Sussex,South East,Non-domestic burglary,7022
30/09/2007,Sussex,South East,Possession of weapons offences,1104
30/09/2007,Sussex,South East,Public order offences,5398
30/09/2007,Sussex,South East,Robbery,966
30/09/2007,Sussex,South East,Sexual offences,1473
30/09/2007,Sussex,South East,Shoplifting,8221
30/09/2007,Sussex,South East,Theft from the person,3190
30/09/2007,Sussex,South East,Vehicle offences,12684
30/09/2007,Sussex,South East,Violence with injury,11049
30/09/2007,Sussex,South East,Violence without injury,10509
30/09/2007,Thames Valley,South East,All other theft offences,30622
30/09/2007,Thames Valley,South East,Bicycle theft,5332
30/09/2007,Thames Valley,South East,Criminal damage and arson,38997
30/09/2007,Thames Valley,South East,Domestic burglary,11352
30/09/2007,Thames Valley,South East,Drug offences,7601
30/09/2007,Thames Valley,South East,Fraud offences to 2012/13,4105
30/09/2007,Thames Valley,South East,Homicide,24
30/09/2007,Thames Valley,South East,Miscellaneous crimes against society,2079
30/09/2007,Thames Valley,South East,Non-domestic burglary,11894
30/09/2007,Thames Valley,South East,Possession of weapons offences,1063
30/09/2007,Thames Valley,South East,Public order offences,10418
30/09/2007,Thames Valley,South East,Robbery,2255
30/09/2007,Thames Valley,South East,Sexual offences,2154
30/09/2007,Thames Valley,South East,Shoplifting,11787
30/09/2007,Thames Valley,South East,Theft from the person,4030
30/09/2007,Thames Valley,South East,Vehicle offences,30270
30/09/2007,Thames Valley,South East,Violence with injury,14921
30/09/2007,Thames Valley,South East,Violence without injury,17243
30/09/2007,Warwickshire,West Midlands,All other theft offences,5471
30/09/2007,Warwickshire,West Midlands,Bicycle theft,932
30/09/2007,Warwickshire,West Midlands,Criminal damage and arson,9867
30/09/2007,Warwickshire,West Midlands,Domestic burglary,2650
30/09/2007,Warwickshire,West Midlands,Drug offences,1321
30/09/2007,Warwickshire,West Midlands,Fraud offences to 2012/13,647
30/09/2007,Warwickshire,West Midlands,Homicide,7
30/09/2007,Warwickshire,West Midlands,Miscellaneous crimes against society,543
30/09/2007,Warwickshire,West Midlands,Non-domestic burglary,3539
30/09/2007,Warwickshire,West Midlands,Possession of weapons offences,238
30/09/2007,Warwickshire,West Midlands,Public order offences,1801
30/09/2007,Warwickshire,West Midlands,Robbery,438
30/09/2007,Warwickshire,West Midlands,Sexual offences,407
30/09/2007,Warwickshire,West Midlands,Shoplifting,1910
30/09/2007,Warwickshire,West Midlands,Theft from the person,358
30/09/2007,Warwickshire,West Midlands,Vehicle offences,6575
30/09/2007,Warwickshire,West Midlands,Violence with injury,3914
30/09/2007,Warwickshire,West Midlands,Violence without injury,2342
30/09/2007,West Mercia,West Midlands,All other theft offences,10511
30/09/2007,West Mercia,West Midlands,Bicycle theft,1652
30/09/2007,West Mercia,West Midlands,Criminal damage and arson,19941
30/09/2007,West Mercia,West Midlands,Domestic burglary,3473
30/09/2007,West Mercia,West Midlands,Drug offences,2523
30/09/2007,West Mercia,West Midlands,Fraud offences to 2012/13,1334
30/09/2007,West Mercia,West Midlands,Homicide,12
30/09/2007,West Mercia,West Midlands,Miscellaneous crimes against society,1095
30/09/2007,West Mercia,West Midlands,Non-domestic burglary,6356
30/09/2007,West Mercia,West Midlands,Possession of weapons offences,581
30/09/2007,West Mercia,West Midlands,Public order offences,3360
30/09/2007,West Mercia,West Midlands,Robbery,545
30/09/2007,West Mercia,West Midlands,Sexual offences,1003
30/09/2007,West Mercia,West Midlands,Shoplifting,5923
30/09/2007,West Mercia,West Midlands,Theft from the person,909
30/09/2007,West Mercia,West Midlands,Vehicle offences,10120
30/09/2007,West Mercia,West Midlands,Violence with injury,8867
30/09/2007,West Mercia,West Midlands,Violence without injury,4184
30/09/2007,West Midlands,West Midlands,All other theft offences,28359
30/09/2007,West Midlands,West Midlands,Bicycle theft,3168
30/09/2007,West Midlands,West Midlands,Criminal damage and arson,52463
30/09/2007,West Midlands,West Midlands,Domestic burglary,18080
30/09/2007,West Midlands,West Midlands,Drug offences,9434
30/09/2007,West Midlands,West Midlands,Fraud offences to 2012/13,4382
30/09/2007,West Midlands,West Midlands,Homicide,35
30/09/2007,West Midlands,West Midlands,Miscellaneous crimes against society,3617
30/09/2007,West Midlands,West Midlands,Non-domestic burglary,18566
30/09/2007,West Midlands,West Midlands,Possession of weapons offences,2459
30/09/2007,West Midlands,West Midlands,Public order offences,10171
30/09/2007,West Midlands,West Midlands,Robbery,8728
30/09/2007,West Midlands,West Midlands,Sexual offences,3073
30/09/2007,West Midlands,West Midlands,Shoplifting,14919
30/09/2007,West Midlands,West Midlands,Theft from the person,2840
30/09/2007,West Midlands,West Midlands,Vehicle offences,40803
30/09/2007,West Midlands,West Midlands,Violence with injury,35319
30/09/2007,West Midlands,West Midlands,Violence without injury,11036
30/09/2007,West Yorkshire,Yorkshire and the Humber,All other theft offences,32920
30/09/2007,West Yorkshire,Yorkshire and the Humber,Bicycle theft,2345
30/09/2007,West Yorkshire,Yorkshire and the Humber,Criminal damage and arson,55178
30/09/2007,West Yorkshire,Yorkshire and the Humber,Domestic burglary,17582
30/09/2007,West Yorkshire,Yorkshire and the Humber,Drug offences,5827
30/09/2007,West Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,2419
30/09/2007,West Yorkshire,Yorkshire and the Humber,Homicide,40
30/09/2007,West Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,2839
30/09/2007,West Yorkshire,Yorkshire and the Humber,Non-domestic burglary,18304
30/09/2007,West Yorkshire,Yorkshire and the Humber,Possession of weapons offences,1177
30/09/2007,West Yorkshire,Yorkshire and the Humber,Public order offences,8253
30/09/2007,West Yorkshire,Yorkshire and the Humber,Robbery,3263
30/09/2007,West Yorkshire,Yorkshire and the Humber,Sexual offences,2227
30/09/2007,West Yorkshire,Yorkshire and the Humber,Shoplifting,11799
30/09/2007,West Yorkshire,Yorkshire and the Humber,Theft from the person,5415
30/09/2007,West Yorkshire,Yorkshire and the Humber,Vehicle offences,35635
30/09/2007,West Yorkshire,Yorkshire and the Humber,Violence with injury,21246
30/09/2007,West Yorkshire,Yorkshire and the Humber,Violence without injury,12919
30/09/2007,Wiltshire,South West,All other theft offences,6682
30/09/2007,Wiltshire,South West,Bicycle theft,1309
30/09/2007,Wiltshire,South West,Criminal damage and arson,11639
30/09/2007,Wiltshire,South West,Domestic burglary,1831
30/09/2007,Wiltshire,South West,Drug offences,829
30/09/2007,Wiltshire,South West,Fraud offences to 2012/13,791
30/09/2007,Wiltshire,South West,Homicide,10
30/09/2007,Wiltshire,South West,Miscellaneous crimes against society,422
30/09/2007,Wiltshire,South West,Non-domestic burglary,3188
30/09/2007,Wiltshire,South West,Possession of weapons offences,214
30/09/2007,Wiltshire,South West,Public order offences,1575
30/09/2007,Wiltshire,South West,Robbery,365
30/09/2007,Wiltshire,South West,Sexual offences,565
30/09/2007,Wiltshire,South West,Shoplifting,2661
30/09/2007,Wiltshire,South West,Theft from the person,847
30/09/2007,Wiltshire,South West,Vehicle offences,5282
30/09/2007,Wiltshire,South West,Violence with injury,5112
30/09/2007,Wiltshire,South West,Violence without injury,1798
31/12/2007,Avon and Somerset,South West,All other theft offences,19562
31/12/2007,Avon and Somerset,South West,Bicycle theft,3972
31/12/2007,Avon and Somerset,South West,Criminal damage and arson,30105
31/12/2007,Avon and Somerset,South West,Domestic burglary,8426
31/12/2007,Avon and Somerset,South West,Drug offences,5509
31/12/2007,Avon and Somerset,South West,Fraud offences to 2012/13,3108
31/12/2007,Avon and Somerset,South West,Homicide,12
31/12/2007,Avon and Somerset,South West,Miscellaneous crimes against society,1428
31/12/2007,Avon and Somerset,South West,Non-domestic burglary,9834
31/12/2007,Avon and Somerset,South West,Possession of weapons offences,833
31/12/2007,Avon and Somerset,South West,Public order offences,5244
31/12/2007,Avon and Somerset,South West,Robbery,1996
31/12/2007,Avon and Somerset,South West,Sexual offences,1496
31/12/2007,Avon and Somerset,South West,Shoplifting,9106
31/12/2007,Avon and Somerset,South West,Theft from the person,2216
31/12/2007,Avon and Somerset,South West,Vehicle offences,21813
31/12/2007,Avon and Somerset,South West,Violence with injury,13046
31/12/2007,Avon and Somerset,South West,Violence without injury,8659
31/12/2007,Bedfordshire,East,All other theft offences,7311
31/12/2007,Bedfordshire,East,Bicycle theft,1012
31/12/2007,Bedfordshire,East,Criminal damage and arson,10176
31/12/2007,Bedfordshire,East,Domestic burglary,4291
31/12/2007,Bedfordshire,East,Drug offences,1103
31/12/2007,Bedfordshire,East,Fraud offences to 2012/13,1409
31/12/2007,Bedfordshire,East,Homicide,9
31/12/2007,Bedfordshire,East,Miscellaneous crimes against society,703
31/12/2007,Bedfordshire,East,Non-domestic burglary,3572
31/12/2007,Bedfordshire,East,Possession of weapons offences,408
31/12/2007,Bedfordshire,East,Public order offences,1309
31/12/2007,Bedfordshire,East,Robbery,1258
31/12/2007,Bedfordshire,East,Sexual offences,351
31/12/2007,Bedfordshire,East,Shoplifting,3344
31/12/2007,Bedfordshire,East,Theft from the person,1111
31/12/2007,Bedfordshire,East,Vehicle offences,8585
31/12/2007,Bedfordshire,East,Violence with injury,4539
31/12/2007,Bedfordshire,East,Violence without injury,1851
31/12/2007,British Transport Police,British Transport Police,All other theft offences,14394
