Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b5233c9d8484b64f6c373522db49bf6f785a79bfd1680d6975e775a9f1943d38,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.742217,52.251376,On or near RUSSET CLOSE,E01030128,St Edmundsbury 005C,Investigation complete; no suspect identified
7eb0661cbc7314092d9dfa0f7cd66ac6f2919451e2986991b35ec724dc4f4c07,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.233142,52.085810,On or near THE COURTS,E01030221,Suffolk Coastal 006C,Investigation complete; no suspect identified
0c9f8bf05acb04a152827c60a067246fdf89c503be2369c728f10b654a8d1911,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.138414,52.083849,On or near LIMECROFT CLOSE,E01030036,Ipswich 001E,Investigation complete; no suspect identified
3a1a2dd72883b7b896854cb2f6fb8f79679c16978c8627a70c63b6b3463986e2,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.398901,52.252641,On or near HEASMAN CLOSE,E01029955,Forest Heath 006D,Investigation complete; no suspect identified
609ba66d2c8a48e94eb002c4855981f9e10181e892494a4fdc2fcdf2be709b17,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.711766,52.259247,On or near FORNHAM ROAD,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
79cc1ee3593223e33009de24e6c8f45511e0bdf57b5487fc00f278a877f47ba1,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.483108,52.114426,On or near MILL LANE,E01033446,Suffolk Coastal 007H,Investigation complete; no suspect identified
09dee4c79f21cf63be82732ed969edad713a8106ad49eb67b24acc96212d3437,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.752842,52.474570,On or near BEACH MEWS,E01030250,Waveney 004D,Investigation complete; no suspect identified
4c92b222ab880b7a5c4397eaaffb328da63abc8ed999388f76ea9fda465890f0,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.183279,52.048009,On or near Supermarket,E01029995,Ipswich 014C,Investigation complete; no suspect identified
c9f08e7814322beacc93152f487e29a9f1c5a8f7efaf7cf9d0eeee305aa50558,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.330561,51.963570,On or near PARSONAGE CLOSE,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
eec30635d9eb96f9d38021f445e961eec13506425b601e30a09b0d2ce17a0cd9,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.709619,52.256490,On or near NORTHGATE AVENUE,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
79aa32ba0a8157a0aa73c70a0f57b7656b74d4e1254ab64de371b93c4e0589bc,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.754207,52.476407,On or near Parking Area,E01030247,Waveney 007A,Investigation complete; no suspect identified
e5e21cd0a96cfbc432fadc12d28c58f43fba64fbea98293d2b0567a9136374c1,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.145851,52.061534,On or near GYMNASIUM STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
