Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f48477dbe15b32c0b4e8e1ea7858d9ef1a47549993aab52de207bd7f122b3e43,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
b8808440f849743967be9c198ba17372a122ca53faf92d9ef630fa36a3fb91e9,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030774,51.700921,On or near Sports/Recreation Area,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
80ebc365bad728512a8c6465a6450dae37868a4c3be123d463783fae1e82a3b3,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032779,51.700082,On or near GUINEVERE GARDENS,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
c6a203bc980ac07f5c852395cd5be47262bf6b091a99b83fe8144b3a031eae7a,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028490,51.706871,On or near LANDMEAD ROAD,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
0ffcc47ff84b5a9028c0e6e4e54a71195dc7fea358ed32d7c2bbbb8f7bb203d4,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
0e3318eddccb963d9ee747375d98acea2fb3ab88053690ec71e967d013c65540,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.042206,51.702946,On or near COLLEGE COURT,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
36271a47d650411e396e723b3fda378d0d6cf13fc2eae6ce71b3382bfc5a7872,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030837,51.702145,On or near OUSDEN DRIVE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
dbd5c38965fd49e56f2f1afad3a06baf96d9c95da93552e63e684291afc0d315,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075294,51.706964,On or near GOFF'S LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
2ba516df4a3f78b79916f8e74029c863e0b44495dc6145871df2eb81daddc05b,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036800,51.692110,On or near DUDLEY AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
e84811cf352301e701fa09a1e84a26db9afd57584fc9cdfcdbb111379982bb52,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020957,51.685451,On or near QUEENS WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
cb7d7c1f7c70ce4ceebf63488838e7eb549c0ef35466625433d548d0e2c8f844,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.047358,51.707663,On or near SHIRLEY CLOSE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
f8807a2e809e446b71392761827ec402ac6743e9d5352ce880c00b65d48dba05,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075998,51.713891,On or near POETS GATE,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
2070818e775689ee715b99055a35726fd217c7055b98a8afb2d40aced9fdb2ac,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031306,51.717008,On or near HERONGATE ROAD,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
3bfad8f117ba9c4038b6317ccfcbea073e9d578bd18e37f8acbfb3e3b3d500bd,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.076211,51.720126,On or near GREAT STOCKWOOD ROAD,E01023315,Broxbourne 007D,Investigation complete; no suspect identified
