Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9dfc4c9d67fb460d511f054be1a5fa503634975e05d062a74cb21e0a42aa1ea9,2014-04,Dorset Police,Dorset Police,-2.250043,50.618889,On or near MAIN ROAD,E01020489,Purbeck 004A,Investigation complete; no suspect identified
67656f17967302f91c6f057db2a91956a7c86bf32829a083217acdb8e0858aa0,2014-04,Dorset Police,Dorset Police,-2.086971,50.729215,On or near ORGANFORD ROAD,E01020474,Purbeck 002D,Investigation complete; no suspect identified
9e84681cc9c1c12cc0e59b3af32fdc86f4b71866abf87dced8ac2941e8dc1f54,2014-04,Dorset Police,Dorset Police,-2.166397,50.864242,On or near KINGSTON CLOSE,E01020435,North Dorset 007A,Investigation complete; no suspect identified
67c9496d2ccfc8ad7cc97829435f3299765f2bc9e07fba928aaea00e74391f72,2014-04,Dorset Police,Dorset Police,-2.682861,50.774296,On or near LIME HILL,E01020531,West Dorset 007C,Investigation complete; no suspect identified
1cb14a6051f556454e3f215433c48af304cac00da4b8b68a000d3fbf46159982,2014-04,Dorset Police,Dorset Police,-1.867220,50.869069,On or near BINGHAM DRIVE,E01020412,East Dorset 003B,Investigation complete; no suspect identified
6a4ca7781c8bca7d84e63cc4eb3b7f5f7a152e8585976629e5b188bd15aa80f5,2014-04,Dorset Police,Dorset Police,-2.060099,50.634988,On or near HOLLANDS CLOSE,E01020466,Purbeck 005A,Investigation complete; no suspect identified
1d5b6db200697694977734796d809d31d85eb359afb74e7b94dc9d0d5da86c07,2014-04,Dorset Police,Dorset Police,-2.291043,51.039806,On or near SORREL WAY,E01020463,North Dorset 001C,Investigation complete; no suspect identified
648439d615ab36a6277799aa417f793db0d26e03923e390a02ec36a287b62ec7,2014-04,Dorset Police,Dorset Police,-2.537243,50.865056,On or near BATCOMBE ROAD,E01020508,West Dorset 002B,Investigation complete; no suspect identified
80154c3983e7e6996fa1bcb154622b9dc36b865af9336968c0b871e0b2c8bbc9,2014-04,Dorset Police,Dorset Police,-2.291043,51.039806,On or near SORREL WAY,E01020463,North Dorset 001C,Investigation complete; no suspect identified
9b356879ae9b8826cf46b41f8e0554ef87aa3ef8d8afedd00b653a8380a8f320,2014-04,Dorset Police,Dorset Police,-2.949109,50.732388,On or near LYME ROAD,E01020532,West Dorset 005B,Investigation complete; no suspect identified
a946cc02e23d73c3ae3e9b4f3855b42c31c98842e4c606aa20623f85fca08f51,2014-04,Dorset Police,Dorset Police,-1.739623,50.728013,On or near ANCHOR CLOSE,E01020356,Christchurch 007C,Investigation complete; no suspect identified
a84481dc87e3a81a97f573b1f515df1d02afc0ea87478ff9178f1dd0f70d5138,2014-04,Dorset Police,Dorset Police,-2.764496,50.738736,On or near BIDDLECOME ORCHARD,E01020499,West Dorset 006B,Investigation complete; no suspect identified
a4fd3e730673a471cdf7397263042166f9e0bc182b2fa3f7c28496b96d9e377e,2014-04,Dorset Police,Dorset Police,-2.452211,50.529384,On or near Conference/Exhibition Centre,E01020566,Weymouth and Portland 009D,Investigation complete; no suspect identified
9660ce556ac35d974dc9fc911f9a17071bbfee9ff281e167cbb79273829e0de8,2014-04,Dorset Police,Dorset Police,-2.467413,50.614236,On or near LONGCROFT LANE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
d0eeb895f62aac2696358a7932806c775cfe1074a678a55b9e86c19926d36704,2014-04,Dorset Police,Dorset Police,-2.461921,50.601866,On or near VERNE ROAD,E01020583,Weymouth and Portland 006A,Investigation complete; no suspect identified
9dd699554df56f4610d653682c3729776074525afd5adabdc24fe59638b87ecb,2014-04,Dorset Police,Dorset Police,-2.197058,50.779421,On or near NORTH STREET,E01020432,North Dorset 008C,Investigation complete; no suspect identified
