Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
db591dd5a2c0dffc229ecae62973f8a120478d01a5bc41d15f5f04fd6914b999,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.306971,52.643444,On or near MALTBY COURT,E01026844,Norwich 003D,Investigation complete; no suspect identified
6e78470143bca3fc5274fe8e7dea28d7a55f2f83aa87894aaf638bf8ed2db58e,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.926646,52.718159,On or near GORSE VIEW,E01026462,Breckland 002D,Investigation complete; no suspect identified
609eff2512d5923305a61bd173c34844b65c33d1c8536e447e2496696326c406,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.396001,52.758938,On or near CENTRAL ROAD,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
1012b7cbc482f2db007711d181ebf8a59db4aa39ba2d2f11b3586aa3c4573590,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.713232,52.558754,On or near MACKENZIE CLOSE,E01026612,Great Yarmouth 010C,Investigation complete; no suspect identified
2654282f3b792e90f7eac6169d3780b1406c12afff7eabde01c132d29abe4d7c,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.935386,52.686675,On or near SANDY LANE EAST,E01026428,Breckland 003A,Investigation complete; no suspect identified
e158675efdd752a8d284959dbce9a964d3c242980064b230952abc1b3ed3ff81,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.443043,52.757069,On or near LAMPORT COURT,E01026714,King's Lynn and West Norfolk 010D,Investigation complete; no suspect identified
8571b76ca784c09bfee2e6aa985940aa76e72c51668bada50960baffbcf56c95,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.713232,52.558754,On or near MACKENZIE CLOSE,E01026612,Great Yarmouth 010C,Investigation complete; no suspect identified
2a834351cac51acd086abbaa98f7cbf84e4183bcba9dacbce92bc7f7c7747534,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.935500,52.532741,On or near THE STREET,E01026419,Breckland 010A,Investigation complete; no suspect identified
2264fe5a1d46da6b5402d368d6a0a80b36ec74a1b731e4198dbfd9c30380f4bc,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.065861,52.675168,On or near MILL LANE,E01026481,Breckland 006C,Investigation complete; no suspect identified
ca68b1d9c1390b51b3bccdb3792700844eeac995f1d23ed3983133f14fa7dc59,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.929777,52.439680,On or near SCHOOL LANE,E01026439,Breckland 014A,Investigation complete; no suspect identified
6bd2e19d8c6b869fa2b4d939228da1c214e23ea90266b4b2024c2938ea5d3111,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.279839,52.638308,On or near FREEMAN SQUARE,E01026827,Norwich 007F,Investigation complete; no suspect identified
