Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a19d6cad846f7ddda46fa08ece3480f67a814aabe0406b12a4d3f0f6d9eb5582,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031006,51.715573,On or near PRESCOTT ROAD,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
01b55691537450e4a1338e0d614028fd7d03b790513d54d31ae3201d5c780979,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
995677ac3be145cadd88a2a853de758e8af2fecc1061e8f73a89bdb0110c5794,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034717,51.702785,On or near WESTBURY,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
6822587a2f2cbdc591cb3e94c27e000e944c1c5970705561af8bb6e57902eaae,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.047358,51.707663,On or near SHIRLEY CLOSE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
c736b6a3ff15ae0add75205a3baebb53b312a7d9afb1071561dfde912f287e1f,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027380,51.687123,On or near FOUNDARY GATE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
330d1e1ec445b590cf25701688bf8eb158edd29f304d163229a3390d4d6b57a1,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050670,51.711756,On or near Petrol Station,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
c033e0cfbccd899146b2e7941cb63d50abb10e46ce34ca0c1e3b30f905df46d3,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029016,51.692762,On or near SOUTHFIELD ROAD,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
69da1700aae8fb52a931736ba011c7b02d565027d7d77ec38e6888d78ac6c52d,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033266,51.693508,On or near CECIL ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
59dd6b77212df75afbc53ac433990554580c1fe3edb235b7a35069ef132bf2c8,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.059089,51.709539,On or near ELDERBECK CLOSE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
85e7e9b48342b6527088733e4123ca033113740a88877b8b56d8f7aa418061df,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
85e7e9b48342b6527088733e4123ca033113740a88877b8b56d8f7aa418061df,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
5310ac2665b2b623b94a3d3dae24b5ac855dce304dd40a10a88fd400efd2eb3a,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.016172,51.685712,On or near FISHERS CLOSE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
b15e7fd1fa4f4959036a59f24659da05a17df3e3290b9be87c21ad73ef941b64,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048548,51.708942,On or near Supermarket,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
9c0ff720e5eec2c5758b003b50de5c3ace812f734e1df33b7eae227b9b121850,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.071650,51.720492,On or near SOUTHVIEW CLOSE,E01023308,Broxbourne 006B,Investigation complete; no suspect identified
49985195fbdb36dd7862534b24b8dc32c9b56c054aab82ee927239cb6af5e8c7,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.060091,51.714537,On or near Pedestrian Subway,E01023324,Broxbourne 009B,Investigation complete; no suspect identified
376122cb7422bf0ddfae4c269fb9808fd9fa2595c2e17f6375dfb3a8b51b8e76,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075294,51.706964,On or near GOFF'S LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
6f90c60e2c0322f48137c16d91b2ac02147a6d0c3d466f73b4a0e90d53fd190b,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031814,51.694302,On or near SPRINGFIELD ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
8ed962dd8f3915c3f00b9ffb2c02d83f36ecfea3a6e2778f02c6c0e05a3e1655,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
