Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b027a17e2da04841e11d63a87788a1addaaaa9b622a258afba862d38902cce14,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.401845,52.249910,On or near BEAVERBROOK ROAD,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
ae28cae289c3b265550cefd6bfa073f24edd351397d7b3d9e7b8544c44bfc913,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.410563,52.246127,On or near Petrol Station,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
6856ca6f748329a37342aedbda3a65a2a80da9396f5305bf77cb0679a4c0727b,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.123735,52.050935,On or near BUDDLEIA CLOSE,E01029984,Ipswich 010A,Investigation complete; no suspect identified
6f36bced82dd293beca415830919e2c5693e254a9f1c13063452a8af26320a79,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.903132,52.130137,On or near SEWELLS,E01029876,Babergh 001A,Investigation complete; no suspect identified
531ad0a7534a96474ba9ccc25aad171e0c3b725c8a0781e81959dacc011192ee,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.176192,52.036931,On or near BONNINGTON ROAD,E01029980,Ipswich 016C,Investigation complete; no suspect identified
fe380281c155ea402c9cd59ed86a5e3ed8d9d7d6c41e1099a07428fe85e0b763,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.277346,52.066033,On or near Petrol Station,E01030190,Suffolk Coastal 010C,Investigation complete; no suspect identified
c1f477fba29a31ea8ddd70252b0c532d2a1f050b73a0f95e316a061e8523a417,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.992747,52.196452,On or near Sports/Recreation Area,E01030076,Mid Suffolk 010D,Investigation complete; no suspect identified
51258d8e20e815ac12931e5da48f966381805accc606a8fca2ec95322b7cddf3,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.363319,52.248917,On or near Petrol Station,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
88c0e88e5574a2333c0bfc46b4fce3121c1eabe4c920016b4f1e0ceca4055395,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.334851,51.952718,On or near BEACH STATION ROAD,E01030163,Suffolk Coastal 015B,Investigation complete; no suspect identified
b3cdfecbdd01cd775275300806dc6b6076a35ca2f1b3398ff2dfaf715c707840,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.761216,52.067583,On or near CANON PUGH DRIVE,E01029923,Babergh 006D,Investigation complete; no suspect identified
c5800ab984eef561f35e48e91c458d386ff5f3d6273023dbff3ceaa85ab6fbfa,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.314550,51.963437,On or near PARKER AVENUE,E01030171,Suffolk Coastal 012A,Investigation complete; no suspect identified
