Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7ff5c3ed0f83e00ea2ee463d7b4abf49e214c96bfec24519d1376afcb2f70ef,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286218,53.700294,On or near LONGHOLME ROAD,E01033281,Rossendale 004G,Investigation complete; no suspect identified
d955ad0ff68935058f971072e3d1e4d3a1c218d1833871bb3c584cd43005efe8,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.294619,53.701577,On or near HAWORTH AVENUE,E01025387,Rossendale 004F,Investigation complete; no suspect identified
05cb249419740e73dcf6797987033006f823be48e635052b2941e5f0c652e5f0,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.285788,53.697077,On or near FALLBARN CRESCENT,E01025385,Rossendale 004D,Investigation complete; no suspect identified
31a78133eadea160d943af630479bb72b8e1a93801314a27361a5b877f482747,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286218,53.700294,On or near LONGHOLME ROAD,E01033281,Rossendale 004G,Investigation complete; no suspect identified
7a7b8b98c2eda259f555ba18bda504c7d1c1af97e59e347f204d69f687cfe550,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.281404,53.700566,On or near FALL BARN ROAD,E01033281,Rossendale 004G,Investigation complete; no suspect identified
11f00ff5c67dd69ab1c0c753bdaac28df97b60241107a4067593a86a217da0fb,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.285788,53.697077,On or near FALLBARN CRESCENT,E01025385,Rossendale 004D,Investigation complete; no suspect identified
aa3add7343cea9e0108889ad970962b67d58bda017521ed2ffbe201fc89428d4,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.248874,53.699020,On or near NEW ROAD,E01025374,Rossendale 010B,Investigation complete; no suspect identified
e50b1bdf04b054429b35d2b472110d1cf95febccf673806ed2ccea0d88a3b622,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.252842,53.698904,On or near GREENDALE AVENUE,E01025374,Rossendale 010B,Investigation complete; no suspect identified
8282d3dd1fe1a20a25b761b5841131ac4151f8edbaa9a337b4e1f62a729758ea,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.249483,53.699405,On or near NEWBIGGING AVENUE,E01025374,Rossendale 010B,Investigation complete; no suspect identified
431281103e34d6e70ea9ab57d5df2492dbe4951d5f19826f6e00bf454032fb30,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.254304,53.692672,On or near WILLOW STREET,E01025371,Rossendale 010A,Investigation complete; no suspect identified
65e752507c5cfcd30af211202c4ff6eefe9feb95d1200722264b28b0bfc7c20c,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.254450,53.696806,On or near CHURCH LANE,E01025371,Rossendale 010A,Investigation complete; no suspect identified
cd75df962b99bf87f71de5732ec67f7c4562ceb96042fb31a4f66e15945b31ec,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.254817,53.692365,On or near KING STREET,E01025371,Rossendale 010A,Investigation complete; no suspect identified
99ebd77e318ab53b63fe71503ca643b487fc5ccdf341e3fda4892317337ad525,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.268836,53.698779,On or near NORTH ROAD,E01033281,Rossendale 004G,Investigation complete; no suspect identified
d98bc0ab814a152c47b304c18da33475ef59c8b1f266f6736972d4875e59effd,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.259302,53.692751,On or near FERN LEA STREET,E01025371,Rossendale 010A,Investigation complete; no suspect identified
6b45ce0e7bf1ebbfef879bcd871eb0a9de958e54e3dcd6dc0939764b2402be3f,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.278388,53.700429,On or near BOCHOLT WAY,E01033281,Rossendale 004G,Investigation complete; no suspect identified
7148eed5a14647d4c6ef1b5214f2813c7f6d8469a89816d6c63392a83e7665ef,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.269431,53.699524,On or near PEEL STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
59c76ad96ebf48a672017b224eb2c981ff34944dafe6cb5e7bbcb91b140dd025,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.259302,53.692751,On or near FERN LEA STREET,E01025371,Rossendale 010A,Investigation complete; no suspect identified
ed5138995e76c117d55c624114c0d24bf4a912ede025e5c63332e73203ab013a,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286756,53.701317,On or near Shopping Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
161b833da1da0f29da9e913e6a91287fce38416da105d2487ae4e8a7936f7b91,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.284082,53.702402,On or near GRANGE CRESCENT,E01025373,Rossendale 004C,Investigation complete; no suspect identified
23ac072bf26da3e77fa2d406b2972a573afc8de180fa2803c2893b80ae3904f8,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.284082,53.702402,On or near GRANGE CRESCENT,E01025373,Rossendale 004C,Investigation complete; no suspect identified
308da593847b9a041eb0c5b9e4b053f6ae95506f299d004fe7db0ec7d4fd1b42,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.281910,53.703818,On or near ALDER BANK,E01025373,Rossendale 004C,Investigation complete; no suspect identified
728b399528690025c8177d32e14f77772231490eeecd552c2b6b6c47b81beb20,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.279092,53.701515,On or near Sports/Recreation Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
f04cf7e5004b26e1f041f0eb6219c3d019fdccf70db1c02e395ca3804b0edefb,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286756,53.701317,On or near Shopping Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
adfa5fa7dc5a18df766f18ab073263060d17bce52051d2c28573be2b83c00edc,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286188,53.702487,On or near ST MARY'S WAY,E01025373,Rossendale 004C,Investigation complete; no suspect identified
8c273703579137b046df8936b5735f96ca9c22e415c60ba91ed55294311603d0,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.275738,53.700489,On or near LEVER STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
65f418e5d0c5fc1acfc33be569f480bdb205a41cf1a60cee29f5cc39e4670412,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286756,53.701317,On or near Shopping Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
5dd416e791c95afc364732e102edbd93e8e463e5df0ddfccdeae53a929888f3b,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.277803,53.701221,On or near PLANTATION STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
145b5501860be25f97566740bc6e865ff2bee20e9b2a108caf377c2f1b0dcb0d,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286756,53.701317,On or near Shopping Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
b8d05444d40a62b68415d9cee799655426462b6e87202d353c8a204548660eb4,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286756,53.701317,On or near Shopping Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
f5fe8368e57b7d2ef38504b511175b6833a018dd25f645ff42d4b9b33a70c5b8,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.285268,53.703073,On or near ORMEROD STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
9db828e6d9d69ef9f6334f69f096223230f191e43c893a4b74302cf9fe925895,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.286756,53.701317,On or near Shopping Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
6690b80fe34ea1b0b4ce12b9bedadb230dcb7e43918127344fedf6f6f050e704,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.283531,53.701567,On or near HAMER STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
6e5c47b46b9e208de435c7cd9126a4b849b297f522674d948b0db1f366b8390b,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.285457,53.704125,On or near BARLOW STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
2be3407ece2a0032fb2b7364497ae91638fb24f064ccf788eae47977dc87a0f3,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.287445,53.706852,On or near Petrol Station,E01025356,Rossendale 004A,Investigation complete; no suspect identified
328522f8bdab861919b82ee6b35146abc1b3fcc22ddcfb4811169cbf8ae688b9,2013-09,Lancashire Constabulary,Lancashire Constabulary,-2.285457,53.704125,On or near BARLOW STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
