Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e1e9d3c0fea98361fd9390469de5edaa8285e37028f2f35fae44c3066bc8086c,2013-09,Essex Police,Essex Police,0.189935,51.951843,On or near BRICK KILN LANE,E01022072,Uttlesford 003C,Investigation complete; no suspect identified
0088ba78fcdf7cc26a76887f5805cde672a679b633b23200b010ed3e899123ab,2013-09,Essex Police,Essex Police,1.136755,51.801058,On or near WISTARIA PLACE,E01022024,Tendring 015B,Investigation complete; no suspect identified
23b9942da29b442b228bfef94c5385605f44401a1ba7f11452cae168ed4c2a51,2013-09,Essex Police,Essex Police,1.082635,51.774555,On or near LINKS ROAD,E01022045,Tendring 018D,Investigation complete; no suspect identified
7d8d8d9e3c5e4f40ee9f7caef01f571aa182cff06445e4fae3371ff9a134f5bd,2013-09,Essex Police,Essex Police,0.505657,51.565066,On or near HIGH ROAD,E01021316,Basildon 018D,Investigation complete; no suspect identified
2ea94eefdcb7459f8152df6eab709984446f4520e031b2ed37c2101917ba43c1,2013-09,Essex Police,Essex Police,0.423310,51.583298,On or near VICTORIA CRESCENT,E01021274,Basildon 010D,Investigation complete; no suspect identified
d16497b8dd3fa72e67056afb8710c48961b006143de9b8c6519a338cbbcdfe2f,2013-09,Essex Police,Essex Police,1.050640,51.947777,On or near MUNNINGS WAY,E01022013,Tendring 003B,Investigation complete; no suspect identified
8788f8a665ee2c0bb869560091c91191e0295189b764eaf90b18b0d11840694f,2013-09,Essex Police,Essex Police,0.142716,51.711328,On or near FOREST GLADE,E01021761,Epping Forest 005B,Investigation complete; no suspect identified
69b50aefdc4aadb0ab095bd05e4a547d4b772bf633790589ff113b413f7f50ca,2013-09,Essex Police,Essex Police,0.910367,51.885911,On or near GEORGE WILLIAMS WAY,E01021686,Colchester 011D,Investigation complete; no suspect identified
4434ec4426c279f2efbfa50478de7ced354e39bbd43cffb7a29f042e1bbee417,2013-09,Essex Police,Essex Police,0.455928,51.794587,On or near BROOK MEAD,E01021539,Chelmsford 001B,Investigation complete; no suspect identified
9754d430807a84a8dab9b8e3918a7427f529f281b91ad53a97240dba5ee319b5,2013-09,Essex Police,Essex Police,0.623744,51.804576,On or near BURE DRIVE,E01021427,Braintree 016C,Investigation complete; no suspect identified
199711359c91b115aaebd4ce573b9271ce0bb9df0171a554f2bd8ce5772395d1,2013-09,Essex Police,Essex Police,0.466702,51.578752,On or near THE UPWAY,E01021268,Basildon 015B,Investigation complete; no suspect identified
dbd68642f8c710626e03566f9e83e05e3f89079bb26da934c48d38eae68746a5,2013-09,Essex Police,Essex Police,0.591332,51.560578,On or near Petrol Station,E01021511,Castle Point 002C,Investigation complete; no suspect identified
d381e62f148c9e8af9ce8cfe9217d8596c7b3cd29691727266df0d358c6b49cb,2013-09,Essex Police,Essex Police,0.496235,51.582713,On or near FRAMPTON ROAD,E01021269,Basildon 012C,Investigation complete; no suspect identified
d85818ffb4d5991d6824b97519212d200bc00db235e61b1a995e261c83b2ffe9,2013-09,Essex Police,Essex Police,0.473787,51.529265,On or near GILDBORNE CLOSE,E01015946,Thurrock 001C,Investigation complete; no suspect identified
7df8835a345484cec1a787dc84074449eb7042f78a6d69fa3a1f8df6b58a3857,2013-09,Essex Police,Essex Police,0.475802,51.698511,On or near Supermarket,E01021553,Chelmsford 017B,Investigation complete; no suspect identified
35a2f109ff7fec01d43c6ec2cab5b18957f7f7b1b3e46cdfd7ac09a9fb872e44,2013-09,Essex Police,Essex Police,0.513236,51.574005,On or near KENNETH ROAD,E01021314,Basildon 018B,Investigation complete; no suspect identified
c7f6a742233c3e35c8813072a00d31042837f23857eb9f930f189e8e90847386,2013-09,Essex Police,Essex Police,0.680506,51.721608,On or near DRYDEN CLOSE,E01021895,Maldon 005C,Investigation complete; no suspect identified
cdfaa90d8138a8605e9278634d5569deea5b90d6e93d0a4453b1ae19e0ef84da,2013-09,Essex Police,Essex Police,0.720578,51.533386,On or near LUCY ROAD,E01015841,Southend-on-Sea 014C,Investigation complete; no suspect identified
20be22a22a2942edb3363eb4f30dbc2868586f2c94f84921677623ccd68da65e,2013-09,Essex Police,Essex Police,0.452281,51.571751,On or near Park/Open Space,E01021319,Basildon 017E,Investigation complete; no suspect identified
cf80f757e93175a1c657610c144dc275dbba4d57aaf92db1820a0ee799de759a,2013-09,Essex Police,Essex Police,0.550842,51.878655,On or near Shopping Area,E01021365,Braintree 009D,Investigation complete; no suspect identified
4c706ad38416d596c8966917abe15206d86bf4a5f1ca5e06b8bd9e0ade49f96c,2013-09,Essex Police,Essex Police,0.021086,51.687441,On or near HILLHOUSE,E01021816,Epping Forest 007E,Investigation complete; no suspect identified
3a423a03c9db84bda972769588b30f4a447bffbb322bfe370cee640d8875485c,2013-09,Essex Police,Essex Police,0.704765,51.550264,On or near HILL ROAD,E01015861,Southend-on-Sea 004E,Investigation complete; no suspect identified
f7351b4fb9c697757ab8b4f1da776550d092801251b9a3c10fd902b6710773b7,2013-09,Essex Police,Essex Police,0.469016,51.569512,On or near EAST THORPE,E01021321,Basildon 015E,Investigation complete; no suspect identified
436c9c6c2e7d3dca64dc2899a0de979d7060382ab2720d54d2b483c7534306e7,2013-09,Essex Police,Essex Police,0.899288,51.889233,On or near Shopping Area,E01021649,Colchester 007D,Investigation complete; no suspect identified
1b6a047f0d623853dce9f65df6e110fb795c8bc6c8081185372ec2ac46e298e2,2013-09,Essex Police,Essex Police,0.788599,51.528182,On or near ST GEORGE'S LANE,E01015876,Southend-on-Sea 013A,Investigation complete; no suspect identified
d4950e1a57a8e93f2b8bb9690bec826f862212a563671cf3ee21d41794a72870,2013-09,Essex Police,Essex Police,0.638049,51.802610,On or near COLLINGWOOD ROAD,E01021416,Braintree 017B,Investigation complete; no suspect identified
d4e429ec639ab02575471474ad4f23496ea3910dad11d2b7afb43bc6870b1bfa,2013-09,Essex Police,Essex Police,1.153185,51.807607,On or near NORTH ROAD,E01022044,Tendring 013E,Investigation complete; no suspect identified
4dfbd72873b58d2b8407543f70784ea886cb8e001de99332ba434ba5acefaf24,2013-09,Essex Police,Essex Police,0.328116,51.636504,On or near ST MARY'S AVENUE,E01021467,Brentwood 005F,Investigation complete; no suspect identified
e6bae3510225577f0d73ce7d6cdb08dcb0e29c924d6f20ba0a11202860343725,2013-09,Essex Police,Essex Police,0.563053,51.628020,On or near A132,E01021594,Chelmsford 021B,Investigation complete; no suspect identified
df9ce8645b6a6e7119d15ddadf2a0eec23dacd97983ba2c9d28ba7cbcf66a692,2013-09,Essex Police,Essex Police,0.301208,51.479657,On or near PALMERSTON GARDENS,E01016015,Thurrock 015F,Investigation complete; no suspect identified
2e5b4ca7804320b663c90f51604a04cbf65d81381d1dd7f3a73a1f98d16988cf,2013-09,Essex Police,Essex Police,0.713727,51.545965,On or near GRAINGER CLOSE,E01015898,Southend-on-Sea 010D,Investigation complete; no suspect identified
73e99cbb94e03b0871bb2560f4f93346e95e2a7955001f1f6952e7dbcbc49a07,2013-09,Essex Police,Essex Police,0.694351,51.537095,On or near LEONARD ROAD,E01015851,Southend-on-Sea 015A,Investigation complete; no suspect identified
4f2c022550cd752183071a4de88d00f6ab6861afe235ac0d288841842dc25dee,2013-09,Essex Police,Essex Police,0.470667,51.754862,On or near SKERRY RISE,E01021588,Chelmsford 006B,Investigation complete; no suspect identified
9e7603822350b99db04318092fef8795e7718b6e6cc91fc4ff486dda3f38f43d,2013-09,Essex Police,Essex Police,0.482836,51.750837,On or near TAMAR RISE,E01021623,Chelmsford 004E,Investigation complete; no suspect identified
199248d71d6f1d5be9f85c251ad32bf05a5a698a78361ab1102169f8da61fb83,2013-09,Essex Police,Essex Police,0.532590,51.865695,On or near COOPERS CRESCENT,E01021384,Braintree 013C,Investigation complete; no suspect identified
8772fad11192c2cf76f51fc53abeca8958845d10c154ca37ff092ff8a0e221c9,2013-09,Essex Police,Essex Police,1.084583,51.922365,On or near CLACTON ROAD,E01022019,Tendring 003E,Investigation complete; no suspect identified
0c0492fa96df82f071ddb637a2780f592768dcb96b1f75806b99ef6e5726c666,2013-09,Essex Police,Essex Police,1.144725,51.784044,On or near ST VINCENT ROAD,E01022037,Tendring 017D,Investigation complete; no suspect identified
6fae92c4dfbc1b919849fa8b014ef65aaac43cb2c2d1d693bf98b1b5159f503b,2013-09,Essex Police,Essex Police,0.841355,51.888111,On or near Petrol Station,E01021719,Colchester 012B,Investigation complete; no suspect identified
9722b84110ab74f34cdab375c5e06472142f18a661430546df1cc04315094698,2013-09,Essex Police,Essex Police,0.424066,51.561708,On or near THE HYDE,E01021283,Basildon 021D,Investigation complete; no suspect identified
5a952f17a95bc3cb5a9f0a8aa8521e9e9a82af7ff287f4262c50679cdc2c3e39,2013-09,Essex Police,Essex Police,0.377732,51.515991,On or near Conference/Exhibition Centre,E01015980,Thurrock 004D,Investigation complete; no suspect identified
fb539d80dbccc2fad65ee6686ffcb1854eceac672a45a7c362ad29ff224fbfda,2013-09,Essex Police,Essex Police,0.573447,51.712285,On or near Parking Area,E01021569,Chelmsford 016C,Investigation complete; no suspect identified
62e261a868d806313da3f3cd068354d0210262673905d88b42f74adc5c0a87bd,2013-09,Essex Police,Essex Police,1.137285,51.899251,On or near COLCHESTER ROAD,E01021991,Tendring 004A,Investigation complete; no suspect identified
2bc998da9010483cd832231ceeb6ab5e9eab827f060c72181c44fcd93877bd2b,2013-09,Essex Police,Essex Police,0.468148,51.728322,On or near ANCHOR STREET,E01021582,Chelmsford 010D,Investigation complete; no suspect identified
66a12c16e2c51dde445cb417d4236388f9639b221cc3d9e887088be22407bacc,2013-09,Essex Police,Essex Police,0.499051,51.747993,On or near HAVENGORE,E01021621,Chelmsford 007B,Investigation complete; no suspect identified
9b49e6cbfb2d65c4db2a58f15dc6d50342fb03dbc88827d7efdb3d4d21685c2b,2013-09,Essex Police,Essex Police,0.282488,51.487496,On or near Shopping Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
