Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
09cb9ea83ad841d7a9260ead7b7d59be74efa60697806ccb44e513f65905a756,2013-09,Greater Manchester Police,Greater Manchester Police,-2.229220,53.463017,On or near Parking Area,E01005062,Manchester 018B,Investigation complete; no suspect identified
c90971789987c875f09d84133df320649f57a0e6d37b44e80ed2eef5cc94e7a2,2013-09,Greater Manchester Police,Greater Manchester Police,-2.264022,53.437616,On or near Sports/Recreation Area,E01005156,Manchester 033B,Investigation complete; no suspect identified
4650400f146c3c5ee621a1035aa8e5fa71af38fb540b78a15de4fdf3e6a1865d,2013-09,Greater Manchester Police,Greater Manchester Police,-2.272906,53.442710,On or near Petrol Station,E01005296,Manchester 029E,Investigation complete; no suspect identified
2273636a91013a38c41b94d761401c1fc9362759b98386fff922688f2df261f2,2013-09,Greater Manchester Police,Greater Manchester Police,-2.203780,53.459828,On or near Petrol Station,E01005239,Manchester 020E,Investigation complete; no suspect identified
86215282eaf8b79b278880606a26d668a881397aacdb030d612d8d9bf492221f,2013-09,Greater Manchester Police,Greater Manchester Police,-2.190023,53.438116,On or near WOODLAND ROAD,E01005216,Manchester 034D,Investigation complete; no suspect identified
7853fef4ff8c57c15e23618b6a2c9a3e2018c0d3c8f6980155ca97f391020162,2013-09,Greater Manchester Police,Greater Manchester Police,-2.206941,53.468676,On or near ERCALL AVENUE,E01005061,Manchester 018A,Investigation complete; no suspect identified
970fafa8a12818445553330c38641bc2fa14eb8ee78c9bf2df7d12f1be8e8365,2013-09,Greater Manchester Police,Greater Manchester Police,-2.227933,53.436441,On or near LAUSANNE ROAD,E01005273,Manchester 035C,Investigation complete; no suspect identified
4ce0858a117a0d5784820652670cc30d1936601b7340ed682640ac65ee84f448,2013-09,Greater Manchester Police,Greater Manchester Police,-2.232360,53.464324,On or near Theatre/Concert Hall,E01005209,Manchester 019B,Investigation complete; no suspect identified
61b5d1ba8156e8b650a21472f4078d5a65029fcc34d0f380f603c14c312a8a9f,2013-09,Greater Manchester Police,Greater Manchester Police,-2.215308,53.428375,On or near FERNSIDE AVENUE,E01005123,Manchester 041D,Investigation complete; no suspect identified
5054fe8952a95f1798afe5c18fa77319aa9068b3c0d967154f8a938a3945930c,2013-09,Greater Manchester Police,Greater Manchester Police,-2.205453,53.460005,On or near HAYLEY STREET,E01033657,Manchester 022G,Investigation complete; no suspect identified
8cfb435a8952dc9214a2c0ffead1e622c4650025041508a3cb889cf1ef8d20cc,2013-09,Greater Manchester Police,Greater Manchester Police,-2.214397,53.459539,On or near ESTON STREET,E01005231,Manchester 022C,Investigation complete; no suspect identified
