Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f7d8af823c97514c9d82cf581de6fb4b2da30cd6939395734dc6ed25a950a739,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137879,52.175112,On or near Parking Area,E01017993,Cambridge 013B,Investigation complete; no suspect identified
a5c467240a39f6292a133d8655af64590653377eb88694ab14871d3f3aa13c5f,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131946,52.201521,On or near MORTIMER ROAD,E01017988,Cambridge 008B,Investigation complete; no suspect identified
64898b91075b988f1af8ee888d76c77a921d6636cd9092d8514b1829f5be9dc6,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.115760,52.210444,On or near Further/Higher Educational Building,E01017958,Cambridge 005D,Investigation complete; no suspect identified
2d408718099bd0e9882082f4969929b73055028008fb3093536160348a7dc791,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.027635,52.111175,On or near JOHN BREAY CLOSE,E01018270,South Cambridgeshire 018E,Investigation complete; no suspect identified
4859d637165b965cffa455ed1dc66d0746ff45a5b9eb16701b8dcb0b5bd91789,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.261524,52.396446,On or near BARTON SQUARE,E01018025,East Cambridgeshire 004B,Investigation complete; no suspect identified
fe0c53ee7e3674b6a08b295f3294ab880dd6cc4cc8784b1726495416da1787ad,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.174277,52.317701,On or near GRANARY CLOSE,E01018132,Huntingdonshire 014B,Investigation complete; no suspect identified
4a15b8befee9c8b7fc5e3f542cd46edb60db9f35e20d8ea0b8802e0012a97dfd,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.055783,52.078349,On or near PLAYLES YARD,E01018228,South Cambridgeshire 019C,Investigation complete; no suspect identified
672d0d6545bab53268cbb4026b8bcf7608f6359de882a13b54fae270e2dce6ba,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.053774,52.215646,On or near BRACE DEIN,E01033119,South Cambridgeshire 020E,Investigation complete; no suspect identified
c06754834123d8be2ea812d89f0e3c00a056e4d20a5fb60847352cde02a08738,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.015416,52.616592,On or near LINDENS CLOSE,E01018091,Fenland 004E,Investigation complete; no suspect identified
b25ba8e36ae5ebfb23ac96d937a1a125f8652ed0f8ef740d25a1f8f84aa201dc,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.097076,52.222108,On or near HOWES PLACE,E01017956,Cambridge 005B,Investigation complete; no suspect identified
