Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
aaa465e7abcfc3e6b3a418afba43fb000b873b93d1cd504584be28ba845216ac,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.375292,52.602134,On or near PRIORY TERRACE,E01033038,King's Lynn and West Norfolk 017G,Investigation complete; no suspect identified
9398bfce80996d61fa9f19387b7ee31374510acf221ea1e50d879775cf39433c,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.309617,52.634439,On or near A147,E01026848,Norwich 015A,Investigation complete; no suspect identified
2eca5e34bb9bb36038944d4e646cd4bf88f6d94ec96e7b0faf826c332c3767db,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.735481,52.607767,On or near Shopping Area,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
7a70dba7102e9dabdd5cc8362ffaf4c315b856864269f8a8eaada56f0370af92,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.715056,52.573340,On or near WINDSOR WAY,E01026604,Great Yarmouth 009D,Investigation complete; no suspect identified
6db207c4c3601ce969cb58788caa065c4adea4d0309d8bc1f189fc405df84d84,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.290869,52.631832,On or near COSLANY STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
91ba0212ddba30a48010d325396028edd709b0a379745b629eca034648e5cf0e,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.726527,52.620625,On or near TAR WORKS ROAD,E01026640,Great Yarmouth 004C,Investigation complete; no suspect identified
688c2b33f5014f7541938ec9df1343b2fc73fb4184fbfc09ba37ad1966d5b462,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.292642,52.629265,On or near Supermarket,E01026823,Norwich 007B,Investigation complete; no suspect identified
e79017b754cf105f3a7b685ffd797569b6875758785c75046f90bd58100e7317,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.583862,52.543273,On or near ST ANDREW'S CLOSE,E01026651,King's Lynn and West Norfolk 019D,Investigation complete; no suspect identified
c27335b4d347e446c459589070e4b39eb6f56a7bbf4cbe500bc6bd65413e56ca,2014-06,Norfolk Constabulary,Norfolk Constabulary,1.290396,52.634975,On or near ST MARTINS LANE,E01026823,Norwich 007B,Investigation complete; no suspect identified
fcf633497966d3450ccc7683bf6bd4b498fe9c72e7515f861320e087b4160345,2014-06,Norfolk Constabulary,Norfolk Constabulary,0.434015,52.750646,On or near BIRCHGROVE ROAD,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
