Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7eae0003d47a1b8061c767e413dfb516bd1071b54dc8d1c60cb7e4d00d4ea9db,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127852,52.217223,On or near MILTON ROAD,E01018008,Cambridge 004C,Investigation complete; no suspect identified
1ac6aadefa9c1f531b469ee5ae4a6e8f1a3db93bbb96daeef290f58d80327074,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.135524,52.215411,On or near ELIZABETH WAY,E01032802,Cambridge 003G,Investigation complete; no suspect identified
231def3dbaa3c0be3eaf4c63c29de1b7cff1af8f4146410554c162ad0ab014be,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157880,52.093639,On or near GREEN STREET,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified
4a80b67d3d40cc69f39bb3406b52532f13cb53d7acd8babc7a12e9dfec3a25e7,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.264534,52.519689,On or near RILEY CLOSE,E01018216,Huntingdonshire 001E,Investigation complete; no suspect identified
ac1c87104cf64081bda83e2bc25cc57d88da368eeac83983a1ec1f4132610f15,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.279526,52.619913,On or near SWALLOWFIELD,E01015679,Peterborough 001D,Investigation complete; no suspect identified
6eeb067a36f3c989ab903038097f020c1fd2694a8ac99b554d173af249a4b6e6,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.238101,52.604874,On or near SHEEPWALK,E01015657,Peterborough 007D,Investigation complete; no suspect identified
cfc5300b7f99d9c8b48cd48c4ee94822f189741c7c602a5cf4c76186dbadb27d,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.415995,52.584299,On or near BLACK SWAN SPINNEY,E01015628,Peterborough 004D,Investigation complete; no suspect identified
5cd12541ca873704a9ee088f3a9b0b94c0590aaf9c373c333b7e6bbc14139649,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.168008,52.315311,On or near PEATE CLOSE,E01018133,Huntingdonshire 014C,Investigation complete; no suspect identified
2438e8e018087a0e2eff182f153c8ca39882602930e3ad96390e1475263d2bc0,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.088504,52.549141,On or near Parking Area,E01018077,Fenland 007A,Investigation complete; no suspect identified
6309d1f12f108ad387766860787b16c5788596907c2e99e0fa9d535396eded64,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.238101,52.604874,On or near SHEEPWALK,E01015657,Peterborough 007D,Investigation complete; no suspect identified
f8fc57e80275fa2c9d5d794f9d32e91cda631823e950e643819c4e78feed73d0,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.279692,52.225019,On or near ST NEOTS ROAD,E01018172,Huntingdonshire 020A,Investigation complete; no suspect identified
