Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b1416cd7da6204a2c3009b00283ff0bd1ad7da7eb1f5e07081938c92637bc21d,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.242425,52.635741,On or near MOTUM ROAD,E01026867,Norwich 006E,Investigation complete; no suspect identified
3ed9db82044056445f0aeb992c51ce60150e0e1967adbd824018d13c3a60dc92,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.296103,52.625760,On or near ALL SAINTS STREET,E01026822,Norwich 007A,Investigation complete; no suspect identified
4ea78a1644504dfd0b1937231cabe960f118e48c9e6532b93701f52e36893d38,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.282717,52.632517,On or near DEREHAM ROAD,E01026824,Norwich 007C,Investigation complete; no suspect identified
758c092da332e5c8a227a6d3e1877d9bcd3a943292f19b84c0eabe6ee3db0a24,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.331518,52.652046,On or near BLITHEWOOD GARDENS,E01026560,Broadland 013D,Investigation complete; no suspect identified
7eb34d131ebc4e8e598fcf59e86a1c2de4be2a8a17dfe757ce524605805967f1,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.684726,52.651580,On or near CORONATION GROVE,E01026459,Breckland 007E,Investigation complete; no suspect identified
f5db1fab8417b486d75ab06d7559c6e34fae378dba324634563d180e7c332467,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.941318,52.681357,On or near Supermarket,E01026426,Breckland 005B,Investigation complete; no suspect identified
c6ed18e18927fc59e3193e02d9c731e8cf58d8236f4015705d5d938b43ad50eb,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.944205,52.680278,On or near NORWICH STREET,E01026426,Breckland 005B,Investigation complete; no suspect identified
0aa797c9f0e2516ebb3011bc243b34a36b0fe4cd6e26a9b8cdde600a15ce236f,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.941145,52.680327,On or near HIGH STREET,E01026426,Breckland 005B,Investigation complete; no suspect identified
83193bd2614a69df14704feb2131185b3b21b3c19cd271afe7cf565c76331503,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.297449,52.930035,On or near Parking Area,E01026735,North Norfolk 003B,Investigation complete; no suspect identified
65ee86f908887c1119ed32e7347af0b0bca91c67262780504651f52cc32f48e5,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.216195,52.644929,On or near GRAYS FAIR,E01026917,South Norfolk 001B,Investigation complete; no suspect identified
be4ac329838566d455e1c226f841ddbd3da3b1fd2c40920aa6484d6123e7077b,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.704432,52.969840,On or near Park/Open Space,E01026645,King's Lynn and West Norfolk 002A,Investigation complete; no suspect identified
f29bb879649a40ce5d268f560e49bca6992bdd20c90b031eebe6bb9a6450323e,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.688630,52.650862,On or near STATION STREET,E01026459,Breckland 007E,Investigation complete; no suspect identified
5f26923f9ca7a6f2f96b1e239ab62c3f3d893eaa7e365efbb208dbf4451939ad,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.200651,52.637303,On or near THE WROE,E01026661,King's Lynn and West Norfolk 016C,Investigation complete; no suspect identified
d0f8a5aff477a0e1d105c29b0087f5123ef8ee29a3e14952ba7cdbb9d92ef4ac,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.717772,52.578913,On or near CHURCH LANE,E01026604,Great Yarmouth 009D,Investigation complete; no suspect identified
2c5c49d5220dc2a0898bfe9945bd1a2df212a8a7cff142487cf7a51bc22d7743,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.489374,52.662627,On or near ST MARY'S CLOSE,E01026505,Broadland 014B,Investigation complete; no suspect identified
1d41034744f1d162b3e724fef4c0abcd3e304c9804ddc19a4a1b5289897dfb23,2015-06,Norfolk Constabulary,Norfolk Constabulary,1.280650,52.632557,On or near DOURO PLACE,E01026824,Norwich 007C,Investigation complete; no suspect identified
d3f767aa904a04f456451038e880adc9a7d50c376ca6b07310484fd8ea311c16,2015-06,Norfolk Constabulary,Norfolk Constabulary,0.406321,52.733750,On or near ENTERPRISE WAY,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
