Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d5c35f6b9da20e1e6881b6589e9b2e004aff1a6cbeaadeb7416b84d4a9358519,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.182785,51.903624,On or near Sports/Recreation Area,E01023756,Stevenage 008B,Investigation complete; no suspect identified
d3330833d4c9648d56759241a4af932ffa22b357f5deb9290f7e15d209de051b,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.201129,51.904760,On or near Parking Area,E01023758,Stevenage 008D,Investigation complete; no suspect identified
681de15335018df86f043f0aaeadc66aa4643faf3a5b4de93bdb9a8b85dc51dd,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.342354,51.806773,On or near Parking Area,E01023697,St Albans 005C,Investigation complete; no suspect identified
fd14964cab1ee55fdc86457aab3386c3214dff51e4cd2ca63f23d78e661c6daf,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.359823,51.819427,On or near Petrol Station,E01023699,St Albans 003A,Investigation complete; no suspect identified
000c449808b13443d836026b477e60baf136a2bd11fa0c7ef3b1020b959a288f,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.368214,51.823698,On or near OTTERTON CLOSE,E01023690,St Albans 001A,Investigation complete; no suspect identified
99d2b6962bee796c8307408429d776ac3b5f0b07da0d2c8837c8b8e7c2836b20,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.353693,51.794541,On or near NETHERFIELD ROAD,E01023696,St Albans 005B,Investigation complete; no suspect identified
2678dd8dbb370977e5436f808e0256869f1cda223f30c635c73ea62118f89f7d,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.293246,51.805837,On or near HEWITT CLOSE,E01023746,St Albans 004A,Investigation complete; no suspect identified
2e7b72e24593d39d130951e3f000966b0938deab3ace6838ca880b823bfae111,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.347319,51.826877,On or near WILLOUGHBY ROAD,E01023693,St Albans 001D,Investigation complete; no suspect identified
8d69e0265691a25b7a17dcfaf74abf817ebcc3d8987b469052889dc44a3b1fbc,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.362118,51.824548,On or near LAMBOURN GARDENS,E01023692,St Albans 001C,Investigation complete; no suspect identified
f11dba5b7e8f959b6b57ce63596b6e6570767ba4bd9a128e23e5c986e20a9833,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.358880,51.822615,On or near WORDSWORTH ROAD,E01023699,St Albans 003A,Investigation complete; no suspect identified
767dbd60bed9747a071e9ed221164f57acfeebb9b1a04fefef994c1b5d43eb5f,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.336271,51.814015,On or near WENDOVER CLOSE,E01023685,St Albans 002A,Investigation complete; no suspect identified
328473fdf02a319fa84a420f67ada61eecae76743107b19dcaa19593fc9f2125,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.346229,51.818598,On or near STATION ROAD,E01023686,St Albans 002B,Investigation complete; no suspect identified
ee8d4558634c0d63b77c1b9d97fe5c60b8b3b20932d6cfe4f006fc29def68541,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.361143,51.823024,On or near CLARENCE ROAD,E01023699,St Albans 003A,Investigation complete; no suspect identified
c63b05cec9d17d35b5ecd0c4a611cc12651ecafe01045f33c1834c1c139e664b,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.346229,51.818598,On or near STATION ROAD,E01023686,St Albans 002B,Investigation complete; no suspect identified
d27fed62bd725b7e9b08acdaa9126cd5552f12f74cb05a66977bac39fb16dd17,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.289052,51.808167,On or near CAESARS ROAD,E01023746,St Albans 004A,Investigation complete; no suspect identified
d4f7ed0508e50eb78b1dae39fbb0a9e0127253dfa995f8e87261b29e2914d2d5,2015-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.395147,51.796724,On or near FISH STREET,E01023724,St Albans 006C,Investigation complete; no suspect identified
