Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1c078648d3b26ce7cc3753808f7083afb8cd564e762262c261030d170127683b,2012-09,Sussex Police,Sussex Police,-0.222881,51.104243,On or near GOODWIN CLOSE,E01031548,Crawley 010B,Investigation complete; no suspect identified
3ec962b41413f9a656ce83f889851c8e3ff1d11f30cbd6748dd01bbf6aa9a04f,2012-09,Sussex Police,Sussex Police,-0.219062,51.106622,On or near JUXON CLOSE,E01031551,Crawley 012B,Investigation complete; no suspect identified
0ec83ddd7b9e35e55e6045b0f8a56b802eb4e9f53f25c69609be7273e8540b8e,2012-09,Sussex Police,Sussex Police,-0.209360,51.114073,On or near FILBERT CRESCENT,E01031564,Crawley 006A,Investigation complete; no suspect identified
9b060764b64eb0b764b6d2d8243e8e553acce92873a71869b7402cd7ca0b6c16,2012-09,Sussex Police,Sussex Police,-0.207263,51.109184,On or near CHATFIELDS,E01031566,Crawley 006C,Investigation complete; no suspect identified
022a27852e6bad3da5d70b076570ad6f3a7e730aa0175f28def6299bb4ea9fbc,2012-09,Sussex Police,Sussex Police,-0.187030,51.108189,On or near BREWER ROAD,E01031595,Crawley 011A,Investigation complete; no suspect identified
b911fb1b7980e9c4d15308b2092382d99a69fd8bb840d87cc71972eb3c220b97,2012-09,Sussex Police,Sussex Police,-0.187030,51.108189,On or near BREWER ROAD,E01031595,Crawley 011A,Investigation complete; no suspect identified
6d838db0d667b2dc2e24d0a099da66a1bc6ea6059f510e3ecbfb490287a781a8,2012-09,Sussex Police,Sussex Police,-0.194800,51.104946,On or near DITCHLING HILL,E01031596,Crawley 007A,Investigation complete; no suspect identified
4ad5922934a0b8c012f4ca38bad4412192160c67b33aa2a3ba54669a809de710,2012-09,Sussex Police,Sussex Police,-0.197493,51.105833,On or near HAMBLETON HILL,E01031596,Crawley 007A,Investigation complete; no suspect identified
d5ba036baddc20434d9e1abe08f69f9f6a35595412d8c4deb799aaf060925a23,2012-09,Sussex Police,Sussex Police,-0.193524,51.112390,On or near DENNE ROAD,E01031598,Crawley 007C,Investigation complete; no suspect identified
5258cfe53a2b00c9e38ad950a273a5b29f7c6ee6b54bc1d078023c993ee2da48,2012-09,Sussex Police,Sussex Police,-0.201723,51.123452,On or near ARDINGLY CLOSE,E01031572,Crawley 003C,Investigation complete; no suspect identified
e8361916b77b40eb34fad153ebddc5423c7712032667b17cb46a80c3aafe1dee,2012-09,Sussex Police,Sussex Police,-0.193943,51.123629,On or near CRAWLEY AVENUE,E01031573,Crawley 001A,Investigation complete; no suspect identified
a5740c781e4cf86100346bc144ea9396ee9309468c8b35eca860a0168965489b,2012-09,Sussex Police,Sussex Police,-0.210628,51.127842,On or near PINOVA CLOSE,E01031574,Crawley 001B,Investigation complete; no suspect identified
f2afee2776ea42a0ba6d7f7cd083b2c55de60523878ae897ebd233d83101f4c9,2012-09,Sussex Police,Sussex Police,-0.203232,51.130598,On or near FIR TREE CLOSE,E01031574,Crawley 001B,Investigation complete; no suspect identified
41a374ecc3b6f0134a39ec57ab06a7b9c6089168646b91f559d74a4083b20cfa,2012-09,Sussex Police,Sussex Police,-0.194415,51.125066,On or near ROBIN CLOSE,E01031576,Crawley 001D,Investigation complete; no suspect identified
7c25b04132c067a42c6faaec34d8e570818af159cd7b042860e9c0b684d0f882,2012-09,Sussex Police,Sussex Police,-0.191568,51.105399,On or near CHANDLER CLOSE,E01031596,Crawley 007A,Investigation complete; no suspect identified
c2816da6c593c27a6ec1e986acaa086e3fe91280b05ebeee89ff318e019764e9,2012-09,Sussex Police,Sussex Police,-0.195746,51.116966,On or near WEST GREEN DRIVE,E01031608,Crawley 007E,Investigation complete; no suspect identified
8a23cab10d752c717790de98fd31599284198fed3112c964ca78869e36155780,2012-09,Sussex Police,Sussex Police,-0.200809,51.126019,On or near STAGELANDS,E01031573,Crawley 001A,Investigation complete; no suspect identified
c8ef421afd92378ce80b03e40258f7b0bd808184cea76cb31c4df5cf09f816e8,2012-09,Sussex Police,Sussex Police,-0.202343,51.130323,On or near LANGLEY WALK,E01031574,Crawley 001B,Investigation complete; no suspect identified
32bb9c66eb46416d89e957ac01f6b917979650c74c49595ffc8aad24e213e5f6,2012-09,Sussex Police,Sussex Police,-0.205178,51.127246,On or near FITCHET CLOSE,E01031574,Crawley 001B,Investigation complete; no suspect identified
c94b966b016c4ef1db0aed4253ffe1d3f0edda46207db328b7f707aab0381953,2012-09,Sussex Police,Sussex Police,-0.187085,51.129782,On or near DOBSON ROAD,E01031575,Crawley 001C,Investigation complete; no suspect identified
8649293e2ed1ec2b95fc4c7f4690c255e3338c8708d44a0407581d7b70b3f44d,2012-09,Sussex Police,Sussex Police,-0.190917,51.135606,On or near COUNTY OAK LANE,E01031575,Crawley 001C,Investigation complete; no suspect identified
340c22f12a6cfe1f7ca0d64a905ca75785e8bc8a2217982e8f1c6dc036ed5ced,2012-09,Sussex Police,Sussex Police,-0.197498,51.128468,On or near LANGLEY PLACE,E01031576,Crawley 001D,Investigation complete; no suspect identified
82ef43ce2327b847429242ae02676ca63cc0c4c10955319f8caa1a63738d873c,2012-09,Sussex Police,Sussex Police,-0.189295,51.127001,On or near JORDANS CRESCENT,E01031577,Crawley 001E,Investigation complete; no suspect identified
18d4b7a8369aca278fd380d8442179411cc84e6e7dfb6bc03316cc6388ac2b5f,2012-09,Sussex Police,Sussex Police,-0.188203,51.120932,On or near BEECH TREE CLOSE,E01031585,Crawley 004C,Investigation complete; no suspect identified
ffc575c96ec810e7a5d5e12466ef4e70e2b048c14ae15277edce37ca9c46eab1,2012-09,Sussex Police,Sussex Police,-0.217680,51.120639,On or near RUSPER ROAD,E01031567,Crawley 006D,Investigation complete; no suspect identified
157a43b53809138d346ff3096fe3ad7750a22a86b5d483055ddad33d1294f408,2012-09,Sussex Police,Sussex Police,-0.231661,51.111867,On or near PRESTWICK CLOSE,E01031569,Crawley 010E,Investigation complete; no suspect identified
18b93d181fce6b51b82e3bff065a5d4bbb74107008025bcb5b8b8b965dd567a0,2012-09,Sussex Police,Sussex Police,-0.209094,51.122801,On or near FRISTON WALK,E01031572,Crawley 003C,Investigation complete; no suspect identified
686ce7c960700c16b6836077311e2d3db89fed8425b0883cbe24fb2d5558f940,2012-09,Sussex Police,Sussex Police,-0.193943,51.123629,On or near CRAWLEY AVENUE,E01031573,Crawley 001A,Investigation complete; no suspect identified
db73a505b08cc2eda8b955b6913a8dfc28e1bdcf6aa20aab4b1b8e3ace86d240,2012-09,Sussex Police,Sussex Police,-0.205178,51.127246,On or near FITCHET CLOSE,E01031574,Crawley 001B,Investigation complete; no suspect identified
d859afb0545d0dd76212da8998ad55267e7f9cfd6bd497216df62ae2a17e25db,2012-09,Sussex Police,Sussex Police,-0.197594,51.128218,On or near Supermarket,E01031576,Crawley 001D,Investigation complete; no suspect identified
7d4dca493ff9a2ac66afc92dd655e2cf561c64197c4f423169e68a7396db91a1,2012-09,Sussex Police,Sussex Police,-0.187772,51.121744,On or near MARLOW COURT,E01031585,Crawley 004C,Investigation complete; no suspect identified
aacd80b93c6539aa4570b0441c9d33568ddcc1ac059e982573db8ed5093c6ff6,2012-09,Sussex Police,Sussex Police,-0.203811,51.115309,On or near CHILTERN CLOSE,E01031609,Crawley 003D,Investigation complete; no suspect identified
5f56d75529fe892757ffac737746031573fee05ab607b11d28dd49b1166afdf1,2012-09,Sussex Police,Sussex Police,-0.213814,51.122324,On or near LINCHMERE PLACE,E01031571,Crawley 003B,Investigation complete; no suspect identified
e072ad6ae29951609b2e193f7c76487bc18b2a0adfe3adc26750573a62082211,2012-09,Sussex Police,Sussex Police,-0.195439,51.131062,On or near CHERRY LANE,E01031575,Crawley 001C,Investigation complete; no suspect identified
a76739804e303c499c07ef731bb827db77b4629d33ab9decbfc04ebc4172e3cf,2012-09,Sussex Police,Sussex Police,-0.188203,51.120932,On or near BEECH TREE CLOSE,E01031585,Crawley 004C,Investigation complete; no suspect identified
85433af9e9cf0a7e0b61fefccc3b9945d8dad8638463cb869ef329022805d69e,2012-09,Sussex Police,Sussex Police,-0.200807,51.116891,On or near THE TWITTEN,E01031609,Crawley 003D,Investigation complete; no suspect identified
ec766c7162afbc6e67cb61449b00208becebf4df81281a5bd3042cb67ba7302e,2012-09,Sussex Police,Sussex Police,-0.191688,51.119151,On or near TOWN MEAD,E01031610,Crawley 003E,Investigation complete; no suspect identified
