Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe001896096ae32df7ef972c4440310faca904d10979d6e18ecf3129a447719d,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.636412,53.385569,On or near ROSSALL ROAD,E01012495,Warrington 016A,Suspect charged
dece8c9af105b6a1b02102037cefd27260076e3f6f9fe900672813a079a8a78f,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.445466,53.082314,On or near BROOK HOUSE DRIVE,E01018446,Cheshire East 045B,Investigation complete; no suspect identified
5a5ccc5369d68028d67503d4e3ac8c6ff87cba8dc10ab27137f47132749e2e96,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.351300,53.308062,On or near ST. JOHNS VALE,E01018611,Cheshire East 009D,Investigation complete; no suspect identified
607ecb6c95a3a3f1bebc2e5a67d8629e1f24795b9e1a179f82f45ae78189e0b1,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.456312,53.091523,On or near BUCHAN GROVE,E01018488,Cheshire East 043C,Investigation complete; no suspect identified
0af989f196d6ec03c69a672ab2d47dabc1ac71d38ee5f4fe49654833834ad50e,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.605550,53.403869,On or near MOLYNEUX AVENUE,E01012455,Warrington 013C,Investigation complete; no suspect identified
3b4649ad306ddfdfc676468b725c71be61b69294135af462a828481755958c82,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.583008,53.415271,On or near BENTHAM AVENUE,E01012535,Warrington 006C,Investigation complete; no suspect identified
2b1d63995db5de914f93774915b27a5a19a62bf27ac0c124be44a7a9ce7273d9,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.603741,53.428040,On or near BROWNING DRIVE,E01012468,Warrington 003B,Investigation complete; no suspect identified
b82f489fd1610f4707225467530fa2eb4c537648b96b69a3a77a76fa10917e09,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.924508,53.199805,On or near BRIDGEMAN ROAD,E01018316,Cheshire West and Chester 031D,Investigation complete; no suspect identified
ae4c44956cac031dc744a6fbabbc22fb680a0920a92dcd4a6b7711e5ff7c1339,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.439858,53.103369,On or near AUDLEY STREET WEST,E01018463,Cheshire East 035A,Investigation complete; no suspect identified
ad15fd1dc1de0abe36be25e8e805f7e1cdd6cf2094162b5b72ddd18583a97d9b,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.735601,53.354383,On or near MILTON STREET,E01012441,Halton 007D,Investigation complete; no suspect identified
449883aae75c50721dc56563d8f5b6505c67b2e354f40a8fdd93061b8a4105f5,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.439711,53.083117,On or near BRIGGS AVENUE,E01018446,Cheshire East 045B,Investigation complete; no suspect identified
379ba961b34f5207fbb7d0a09d6aad277d5ccab9ec6e9c432262892e4b46a01b,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.440147,53.096527,On or near MOSS SQUARE,E01018464,Cheshire East 039B,Investigation complete; no suspect identified
