Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ab8513231cac1d6a810be4ba4afcaccfaefaf2adf3367c200ec0ada48865236b,2013-11,Dorset Police,Dorset Police,-1.875671,50.822165,On or near ELMHURST ROAD,E01020424,East Dorset 006D,Investigation complete; no suspect identified
7a2314f517b44a834c959a960dd0278de97aaa2ee363d9b138ce6352e27d8998,2013-11,Dorset Police,Dorset Police,-2.600171,50.666218,On or near CHURCH STREET,E01020512,West Dorset 012A,Investigation complete; no suspect identified
0dbdfa1c72e2903023b6d8bf04819171b16ffa7ecf71a867e046dec5de07c668,2013-11,Dorset Police,Dorset Police,-2.279578,51.040356,On or near ORCHARD ROAD,E01020463,North Dorset 001C,Investigation complete; no suspect identified
6a15d9b4973f4117bb4011ff0b663f22a2d05fbeff166eb5959c2fd12d9ea31f,2013-11,Dorset Police,Dorset Police,-2.528891,50.943095,On or near NOAKE ROAD,E01032642,West Dorset 001H,Investigation complete; no suspect identified
84c35f526b6f351520c158f105bd17873f5ca8717a9903b59c3309b1972110e7,2013-11,Dorset Police,Dorset Police,-2.467413,50.614236,On or near LONGCROFT LANE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
7f7a5947a64acb137325313dbcbe423b9849ea4af930f889f395daa80c1c4477,2013-11,Dorset Police,Dorset Police,-2.272272,51.037352,On or near SCHOOL LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
6bbab1ba69284d63c1d482feede5f3c4b1891b13cd9eb12ee7bdf74047b3f4fa,2013-11,Dorset Police,Dorset Police,-2.302913,50.928739,On or near DROVERS,E01020459,North Dorset 004E,Investigation complete; no suspect identified
9f095429ffc779d3b47ed99a9791f4712231364ad822aeae893753e0df837225,2013-11,Dorset Police,Dorset Police,-2.733491,50.833152,On or near AXNOLLER LANE,E01020494,West Dorset 003A,Investigation complete; no suspect identified
be199683eff287a05a5ec65e0aa7b68e74a4ff4a7e67e17c5915ed626fccecb8,2013-11,Dorset Police,Dorset Police,-2.418746,50.652065,On or near OLD BINCOMBE LANE,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
d79bf2b0d59a5ab85e16f88e4e0a77db367160e8d28fc886d56720f2d182eaa8,2013-11,Dorset Police,Dorset Police,-2.487716,50.616266,On or near HAMPSHIRE ROAD,E01020516,West Dorset 012E,Investigation complete; no suspect identified
0cca0e22b0571fa5b6f24df1b11d29c572aff7f9b568d9732a598bb76be987d2,2013-11,Dorset Police,Dorset Police,-2.597844,50.665717,On or near RODDEN ROW,E01020512,West Dorset 012A,Investigation complete; no suspect identified
b783941c410b0fce1747ccc39fcfee17c1b8eca67fe30ae9633676e40d08a97b,2013-11,Dorset Police,Dorset Police,-2.049345,50.761583,On or near RUSHALL LANE,E01020472,Purbeck 002B,Investigation complete; no suspect identified
29a4219d9194d0b3730f4559ebffd01aab86e5d33a0aae27a323fd0e58a419d1,2013-11,Dorset Police,Dorset Police,-2.273717,51.033284,On or near BRICKYARD LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
683bdce8b9306906ac525afcbbf3afa809e679a37109c1f5cd4836c3f2b3a507,2013-11,Dorset Police,Dorset Police,-2.354833,50.883676,On or near HILL VIEW,E01020448,North Dorset 008E,Investigation complete; no suspect identified
a7574d15052a8a84ff6b88ae48c715205287d35bfc6734954378eed48f42946e,2013-11,Dorset Police,Dorset Police,-2.023939,50.735909,On or near FACTORY ROAD,E01020473,Purbeck 002C,Investigation complete; no suspect identified
