Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5cfe1b9c7fa8faadba1dbc7489fb3579064415233c6631d82b632896e0ef0e8f,2013-12,Essex Police,Essex Police,0.233770,52.023542,On or near Parking Area,E01022075,Uttlesford 001B,Investigation complete; no suspect identified
e9ba935bd586204a8ae814f16636f7f980db3690cf9c33adc14f9b999f74aa5e,2013-12,Essex Police,Essex Police,0.546007,51.885658,On or near LANCASTER WAY,E01021358,Braintree 008C,Investigation complete; no suspect identified
d56cd87d088ae24d496a2ef1563333cb9cc37132a325fc0b1f24ac9b9fc6972c,2013-12,Essex Police,Essex Police,0.423394,51.579178,On or near CLAREMONT ROAD,E01021274,Basildon 010D,Investigation complete; no suspect identified
b3f63753676b6ec60c09b61c3e0636abcf9bf1019d0ac7b074b19eb178502544,2013-12,Essex Police,Essex Police,0.428854,51.579253,On or near BYRD COURT,E01021279,Basildon 010E,Investigation complete; no suspect identified
94e946353f27fc12dd8027d17b592f2d7af3e2ba6ac6ed2b7daa03f2a2c3c64e,2013-12,Essex Police,Essex Police,0.717736,51.534325,On or near HERBERT GROVE,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
60963e04c504f2a5409545aec6de607e8d2baa29a77eac78897aa571d607a096,2013-12,Essex Police,Essex Police,0.292097,51.509620,On or near FOXGLOVE ROAD,E01015932,Thurrock 006A,Investigation complete; no suspect identified
6390d98aded9f35b58fd5df280f1ef1a0b6de47bcf9b701b181e450508a597e7,2013-12,Essex Police,Essex Police,0.667794,51.601053,On or near GLENCROFTS,E01021934,Rochford 003B,Investigation complete; no suspect identified
91dbe96f76a380255038944271bc6a86d06a5c68ab8640341b0a2956d5ee7bb1,2013-12,Essex Police,Essex Police,0.519559,51.602998,On or near MAUGHAM CLOSE,E01021342,Basildon 008B,Investigation complete; no suspect identified
c58bff2482de883729eb680db0760b78618380cdbee6e514d4385814eae52a44,2013-12,Essex Police,Essex Police,0.953652,51.865801,On or near WESTLAKE CRESCENT,E01021736,Colchester 017A,Investigation complete; no suspect identified
b449a07328bef32d1c65ec0c309ba9c9f88cb651707fa1472f531d969d873923,2013-12,Essex Police,Essex Police,0.667652,51.560180,On or near BRIDGWATER DRIVE,E01015824,Southend-on-Sea 005E,Investigation complete; no suspect identified
26fc21829eca909a4dcf86f5e12de13db432cbb840725f894357f993e219b6bb,2013-12,Essex Police,Essex Police,0.732972,51.540950,On or near LOVELACE GARDENS,E01015839,Southend-on-Sea 014A,Investigation complete; no suspect identified
83f1a743913b181eca30bbb71dc28d2ff8e1329828131de21434a9d47db520bb,2013-12,Essex Police,Essex Police,0.072211,51.747529,On or near TAYLIFERS,E01021866,Harlow 011D,Investigation complete; no suspect identified
82f68c37e6915bd8638f710b3875c8567e15f3b8fe6fa06b7a0378b664f2ad22,2013-12,Essex Police,Essex Police,0.109490,51.753529,On or near SAKINS CROFT,E01021861,Harlow 010E,Investigation complete; no suspect identified
1ae2063338e9d4dbe04f0c83247159ede9eadbae214ee1ce8832572f38a17e68,2013-12,Essex Police,Essex Police,0.891086,51.888482,On or near RAWSTORN ROAD,E01021646,Colchester 007A,Investigation complete; no suspect identified
873efb1ffe8627ede085c9e7b45cedf7b75b01b59d246702e7690b2491708a68,2013-12,Essex Police,Essex Police,0.599484,51.880315,On or near COGGESHALL ROAD,E01021380,Braintree 012E,Investigation complete; no suspect identified
ce81857a21355fd2320416e03c7646a9f2fcc564fc24d661c9fd431410577c2b,2013-12,Essex Police,Essex Police,0.454036,51.523673,On or near PARK ROAD,E01015987,Thurrock 002C,Investigation complete; no suspect identified
ab17ca794a8f89858b94f32014fe6ecbf4a7f9fe0408007bdcd2f9496379c301,2013-12,Essex Police,Essex Police,0.304923,51.515619,On or near MOLLANDS COURT,E01015932,Thurrock 006A,Investigation complete; no suspect identified
81fe3ab079ce098f351dde00358801dc32b74fb6f97ba88b7836bbaef360e334,2013-12,Essex Police,Essex Police,1.244191,51.929511,On or near ABDY AVENUE,E01033051,Tendring 002F,Investigation complete; no suspect identified
1421b7526b67320525a72f1f303c6a19587930f217e81f7747eb0e5fdccbaf2d,2013-12,Essex Police,Essex Police,0.741579,51.815979,On or near QUEENSWAY,E01021727,Colchester 020E,Investigation complete; no suspect identified
d74b476cb724812c298179942390fcb3e66cc65e07db526eb9e721f9b69ea5c9,2013-12,Essex Police,Essex Police,0.284143,51.486609,On or near Shopping Area,E01016011,Thurrock 015B,Investigation complete; no suspect identified
6be134c8e4bdb589712220a4396877f93c20508cec511905ba4c9c785679a407,2013-12,Essex Police,Essex Police,0.418368,51.582923,On or near Sports/Recreation Area,E01021278,Basildon 014E,Investigation complete; no suspect identified
c5535897d195b3c6b1b858e20287ec3a5f0630037a8c37c5f80e11e62e056829,2013-12,Essex Police,Essex Police,1.159276,51.789733,On or near CHURCH CRESCENT,E01022027,Tendring 016D,Investigation complete; no suspect identified
a7ce18b6d68f61dbd5217303dd9c4c5448aa0420397f7fb957b9c2d33289cab2,2013-12,Essex Police,Essex Police,0.503557,51.716286,On or near NEW ROAD,E01021562,Chelmsford 014A,Investigation complete; no suspect identified
3f958ece28fddc8febd7d8a27d23834b08505b9b58a8c24c5135ad60ba30e748,2013-12,Essex Police,Essex Police,0.461285,51.739006,On or near RAINSFORD ROAD,E01021575,Chelmsford 009B,Investigation complete; no suspect identified
0c64daaabdd159b38fe792ace3244f044d0e12217184b7d2ed7a3f7152a47f95,2013-12,Essex Police,Essex Police,0.589932,51.643267,On or near TABRUM'S LANE,E01021594,Chelmsford 021B,Investigation complete; no suspect identified
71c82be4e6a329829edd14ea628afa1e1e3cb50869f91bb992d8828ca981d6fb,2013-12,Essex Police,Essex Police,0.726073,51.540157,On or near SOUTHCHURCH ROAD,E01015839,Southend-on-Sea 014A,Investigation complete; no suspect identified
37dad9830273c2a2d4c4ebe6162c35f831f88f84a831e9ab5cd3224af70e457c,2013-12,Essex Police,Essex Police,0.419134,51.579409,On or near BRIAR MEAD,E01021273,Basildon 014A,Investigation complete; no suspect identified
a08026874405e769a6d8a840ab82c39221701845c8b871fff52b2591aafa5555,2013-12,Essex Police,Essex Police,0.097639,51.752923,On or near SOUTHERN WAY,E01021871,Harlow 007D,Investigation complete; no suspect identified
5a0a4ad9af160a0a7e11ac02680870899bda281af6ff7acf9cbd08e909dcacfa,2013-12,Essex Police,Essex Police,0.246703,52.027990,On or near CORNWALLIS PLACE,E01022078,Uttlesford 002C,Investigation complete; no suspect identified
784e35d1057eccd5b00e3e72ee0da38448957d86c5c841d9b626bcce61ffee00,2013-12,Essex Police,Essex Police,0.629345,51.546952,On or near COTTESMORE GARDENS,E01015910,Southend-on-Sea 008C,Investigation complete; no suspect identified
