Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fea2f8fe5def5c461b86b25356c158cf91edd7e8016372850806762693972893,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023684,51.718822,On or near CANONS GATE,E01023344,Broxbourne 005E,Investigation complete; no suspect identified
c184d10f4d21a989dbf03416ca05ec0148da679ebaf2d03ef82906c5df6fb842,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010523,51.762699,On or near Hospital,E01023323,Broxbourne 003D,Investigation complete; no suspect identified
3cac0c4b663bd1b06a107718062f1ad9ab05078b0dfad2148b6898d019955a20,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010752,51.754861,On or near YEWLANDS,E01023321,Broxbourne 003B,Investigation complete; no suspect identified
83dff69714cd504ef621d10035e79552e30c3499c3d98c6543c7f60bed737335,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.012491,51.759792,On or near Supermarket,E01023320,Broxbourne 003A,Investigation complete; no suspect identified
008c632d78f9d5c4f4d38a4018f4b46868f6785482afc31b8372a8c8b25beac0,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018954,51.744569,On or near MILL LANE CLOSE,E01023292,Broxbourne 004D,Investigation complete; no suspect identified
922ef056713393aff19524afd28da9c2d107637f55c9f24dbe06f86e589d5166,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023409,51.749697,On or near PARK LANE,E01023290,Broxbourne 004B,Investigation complete; no suspect identified
4b858381e60aff050d67ce8e58be3cf3485e1f06956352510d2ca68ff6b2daec,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029842,51.723386,On or near VANCOUVER ROAD,E01023342,Broxbourne 005C,Investigation complete; no suspect identified
10e10084addba8b721131d486a718b733a63b79f406e34d913d2684e56de5fff,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,0.000363,51.768674,On or near RUMBOLD ROAD,E01023330,Broxbourne 002D,Investigation complete; no suspect identified
207f0cae30d55c28acf645970d937ed7e657faa7b2c9e5f6c6245f68a5f66ab0,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.021587,51.736034,On or near VIRGIL DRIVE,E01023340,Broxbourne 005A,Investigation complete; no suspect identified
565a135d8bdf71329c41a7aeef41cbba6319b3079de42041daf78b7cfbb6e8f3,2013-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.022488,51.737282,On or near HIGH ROAD BROXBOURNE,E01023340,Broxbourne 005A,Investigation complete; no suspect identified
