Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
29c23ae4b8a067d5831370c01b57f3fee07021ca9f3548ce7bbdb433825edf76,2013-12,Surrey Police,Surrey Police,-0.140592,51.292948,On or near BOWEN WAY,E01030569,Reigate and Banstead 004E,Investigation complete; no suspect identified
a6a092b07ca1595c93f8e7ff513661981784de4aee2bb06d2fff4a903358a486,2013-12,Surrey Police,Surrey Police,-0.023479,51.184048,On or near COBHAM CLOSE,E01030834,Tandridge 010D,Investigation complete; no suspect identified
e8650456d611e19b9c1f7bb848a458dc1e4d6c10cfdf22e550dd9d0064161c66,2013-12,Surrey Police,Surrey Police,-0.329960,51.224112,On or near ORCHARD WAY,E01030536,Mole Valley 010B,Investigation complete; no suspect identified
7c80ae421674a7ce9aa3afc04b20489d3fdb6d87986147674d8bac6cd1c37f38,2013-12,Surrey Police,Surrey Police,-0.592554,51.254956,On or near QUEEN'S DRIVE,E01030485,Guildford 006A,Investigation complete; no suspect identified
a85cb3b3dee1e566222e42ccb78648ff5bbc618470f971810407560be418934c,2013-12,Surrey Police,Surrey Police,-0.608122,51.247642,On or near BROOMFIELD,E01030496,Guildford 012C,Investigation complete; no suspect identified
01e29c9a298f5d2c80a0a3c89c0653cdbdf49cee3d968d47e0f41db3240344de,2013-12,Surrey Police,Surrey Police,-0.418748,51.385341,On or near HIGH STREET,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
c173068b5e2fb1dafd4ce753f7253d59a5443a394c606f3de64a6aae04a06298,2013-12,Surrey Police,Surrey Police,-0.422007,51.384998,On or near Parking Area,E01030360,Elmbridge 007D,Investigation complete; no suspect identified
2686cfeca0993d0b179f8c46c8ce3ac0a47ef7453e119ebf65eef7906a0d8d0d,2013-12,Surrey Police,Surrey Police,-0.497468,51.220322,On or near ALBURY STREET,E01030490,Guildford 018A,Investigation complete; no suspect identified
e3ac8b110ef554c1a03a7770460e7fe9b8e02569f257ae0a5316850cd18ebe69,2013-12,Surrey Police,Surrey Police,-0.570660,51.237749,On or near CHERTSEY STREET,E01030451,Guildford 013C,Investigation complete; no suspect identified
742cc81f944b32ed66132fd9fd0f385086007e338a3941bb9d9055748186f9d7,2013-12,Surrey Police,Surrey Police,-0.274675,51.340980,On or near KENDOR AVENUE,E01030403,Epsom and Ewell 007C,Investigation complete; no suspect identified
1929d1ad0639a7407c9cad63d4787fcdc3befd40bad8746aab2bc367e3c5481f,2013-12,Surrey Police,Surrey Police,-0.559067,51.321290,On or near VICTORIA WAY,E01030954,Woking 008A,Investigation complete; no suspect identified
4946a027ed83eb982c35c0f8a3d2a4ebf2840c911e97f25bf569bf84c69dda1d,2013-12,Surrey Police,Surrey Police,-0.787349,51.215016,On or near BRIDGEFIELD,E01030888,Waverley 004C,Investigation complete; no suspect identified
dac9a09f58e22845e4a69ba2a16167c1ba186d729860ad2c5bda398fc5d61c26,2013-12,Surrey Police,Surrey Police,-0.655411,51.160411,On or near MERRYACRES,E01030939,Waverley 011E,Investigation complete; no suspect identified
