Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01505ba3d166d34def1978cd7c26cfe6590d1a79dcda173f4e83a5babf5ae9f3,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.179035,52.572350,On or near Park/Open Space,E01015617,Peterborough 005A,Investigation complete; no suspect identified
e21b59a04edeec466dbd6a9b1431be54b69584ae66b2eb53be5d3811161438af,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.052387,52.120806,On or near WIMBRIDGE CLOSE,E01018275,South Cambridgeshire 013D,Investigation complete; no suspect identified
751c1fd13e1b360469be1a8d8c74b034288f496b9af9ae2a14d2562c50cef309,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.116116,52.090388,On or near FLECKS LANE,E01018290,South Cambridgeshire 019D,Investigation complete; no suspect identified
43ed0714610c85b5e6095615b54dfbc78d1ed9346b1e07b645b16b47cef75b30,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.097846,52.549273,On or near Supermarket,E01018078,Fenland 007B,Investigation complete; no suspect identified
aa75bc08706699abcba639b2214871eeb6082578834ba41e406099e7929b9289,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.175228,52.315630,On or near ALLEN FARM CLOSE,E01018132,Huntingdonshire 014B,Investigation complete; no suspect identified
a7277901ec910efd8787067b708e0ee945a5593a2d3e214cd73962cc46a2217f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.154069,52.195679,On or near MONTREAL ROAD,E01017999,Cambridge 009C,Investigation complete; no suspect identified
a8e676cc4607909adb75ad8b5531a8929df0be73edd37da9f9417a88161fde91,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241243,52.228003,On or near THE RUNNELLS,E01018135,Huntingdonshire 018A,Investigation complete; no suspect identified
e4d826aa092484ba49830694eb64b16a6c60108ca15249d6924426306a998974,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129528,52.200225,On or near GRESHAM PLACE,E01018005,Cambridge 012D,Investigation complete; no suspect identified
b1fd3c0306258af1e212ccd3e42868de4d2a97ff57bcc0bce8a697a13ea5c59e,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.249158,52.566458,On or near GEORGE STREET,E01015622,Peterborough 016A,Investigation complete; no suspect identified
0e93d1829ffed0c5f1f693c9deb5a80331a70cbc5025217bea2ad9495b41c9b2,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.162929,52.663884,On or near STERMYN STREET,E01033112,Fenland 003I,Investigation complete; no suspect identified
48d6f5ab3e558973288be94d2a5c54e7b2c6d69e4b27b06acbd1c8cf6313529f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245401,52.572984,On or near KING STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
20b6a1c8cb4ea1c06755ca8adca58e0a50e9d3c7a1e63a671932fde6f9219f26,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.271237,52.585816,On or near DEENE COURT,E01015664,Peterborough 009E,Investigation complete; no suspect identified
fff02a9291bd4eb27728156125033f3afd5f8c2169299e7a8ab921a0ed2ae3a7,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.254927,52.293870,On or near GEORGE LANE,E01018120,Huntingdonshire 017C,Investigation complete; no suspect identified
5de5bb9f44cfecd5daa046bd26ca8a4f5b18fe288d5c42d657f1cae2ea38717b,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.163280,52.663203,On or near ROYAL PLACE,E01033112,Fenland 003I,Investigation complete; no suspect identified
f2c7ff94e92fd3ab31b14193066168fc525c227b23698c7d2318543841a58ccb,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284270,52.622868,On or near PARTRIDGE GROVE,E01015679,Peterborough 001D,Investigation complete; no suspect identified
1a3dcc254e129a72b5583634a38a9d0568dd26e2e72193126c7e943ae155ad0f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.242340,52.575726,On or near Nightclub,E01015602,Peterborough 014C,Investigation complete; no suspect identified
a18401dd42f0be51963ce289e534b168669c654c1930a20f2b09528d2ccb52a2,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.160549,52.208302,On or near GALFRID ROAD,E01017947,Cambridge 006E,Investigation complete; no suspect identified
34f9a669ef4a2dace14fc37aa6d4cbccf6bdec8ea74cdf2cadb15d78b6c785b9,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.224928,52.178268,On or near IMPETT'S LANE,E01018244,South Cambridgeshire 011C,Investigation complete; no suspect identified
1b469d841f3259f8bf3455919ea01f2a038c2d01220fb6d5b48e19b0c6092bd0,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119716,52.225282,On or near BUTLER WAY,E01017952,Cambridge 002D,Investigation complete; no suspect identified
ed86e6d38a2911fe8e00803cfb8433901a6badc1bed8635235870c79a683d22f,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134073,52.206212,On or near Shopping Area,E01017983,Cambridge 007C,Investigation complete; no suspect identified
91b0c2b50ce213e2ad5b00c07fae2a47ff5e8cb42c616a16bd3c20e8d45a5c67,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125954,52.200784,On or near REGENT STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
e78c35ba720d5db9929084721eeaa6d8f1b48140980c5654be11c0b4bfbfa5a1,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125165,52.201418,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
efcca7021321c6588d5a18f6a148290a2ec6d55847791ab5dfb22819b312f86d,2013-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.207457,52.384664,On or near CLAY LANE,E01018206,Huntingdonshire 006E,Investigation complete; no suspect identified
