Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
344a40233f2c5899f246558eb232db76e71f888463fb4f373f8b6400197763f9,2013-12,Northamptonshire Police,Northamptonshire Police,-0.868837,52.249775,On or near PARK AVENUE NORTH,E01027169,Northampton 012B,Investigation complete; no suspect identified
03f6ce53dee7028c2104fa22a38715d9a0146d98bbb5779bce9217b6196d8b75,2013-12,Northamptonshire Police,Northamptonshire Police,-0.692155,52.511998,On or near MAYLAN ROAD,E01026982,Corby 001D,Investigation complete; no suspect identified
529c40e9d780d6dd8feb9792d6a03c8320eb49c2f15245599af6820560d4e775,2013-12,Northamptonshire Police,Northamptonshire Police,-0.871710,52.254315,On or near HIGHFIELD ROAD,E01027186,Northampton 013B,Investigation complete; no suspect identified
15e9240a7ec4659acc93255e8c536b751365d76c518b5f4f3d5f1cf346b89839,2013-12,Northamptonshire Police,Northamptonshire Police,-0.881292,52.188414,On or near WAKE WAY,E01032983,South Northamptonshire 003G,Investigation complete; no suspect identified
d529940117e1963f19601693b9a2a67d85b13771c7c4d8e19bcc7cecdfae85a3,2013-12,Northamptonshire Police,Northamptonshire Police,-0.854151,52.273395,On or near MOULTON WAY SOUTH,E01027221,Northampton 002C,Investigation complete; no suspect identified
664fbf62b1de66ea33c645be2096a4072cff53284ce042c079dcd9dd754dd7cf,2013-12,Northamptonshire Police,Northamptonshire Police,-0.600437,52.290936,On or near DUCK STREET,E01027065,East Northamptonshire 009D,Investigation complete; no suspect identified
3c2aaac6525e15a40e1bb268bdc1d15e8f961d9b5ecd6c4e1de5f37abb554516,2013-12,Northamptonshire Police,Northamptonshire Police,-0.707632,52.485241,On or near LEIGHTON ROAD,E01026960,Corby 006B,Investigation complete; no suspect identified
ad9fcf19a38ab12d786f8cba70b6e4f09c2df97284222d1a242495039daaa57c,2013-12,Northamptonshire Police,Northamptonshire Police,-0.722186,52.405779,On or near REGENT STREET,E01027106,Kettering 006B,Investigation complete; no suspect identified
90a902f0abe364b56103807b2ae24aacbb2f3d17e88e953ce59be3ab673855b6,2013-12,Northamptonshire Police,Northamptonshire Police,-0.850455,52.274627,On or near BOOTH RISE,E01027183,Northampton 006D,Investigation complete; no suspect identified
efb5aa754f8fbe044bb4ff804f3d660e775684336929092ff4d2dd2e60545c8e,2013-12,Northamptonshire Police,Northamptonshire Police,-0.881925,52.259960,On or near GREENVIEW DRIVE,E01027220,Northampton 013D,Investigation complete; no suspect identified
38aa960daf390baa37ab7680701f660b9fb916832bba71bf1bb6a53421ce0235,2013-12,Northamptonshire Police,Northamptonshire Police,-0.719181,52.292688,On or near Petrol Station,E01027309,Wellingborough 007A,Investigation complete; no suspect identified
c0b9a49b6d899d5c2184c070d3694521a141a5c57c22f74b1cea58c7db002872,2013-12,Northamptonshire Police,Northamptonshire Police,-0.596193,52.305064,On or near MILTON STREET,E01033245,East Northamptonshire 007F,Investigation complete; no suspect identified
e667c4d9cad133a559de488d504a8a9a10f97a0b875da426d1813af61c363286,2013-12,Northamptonshire Police,Northamptonshire Police,-0.724536,52.413985,On or near NEALE AVENUE,E01027080,Kettering 004B,Investigation complete; no suspect identified
5320ad7058f3555c2eed0b82aec1bc005308afa2116452bf7a0b697bd146447b,2013-12,Northamptonshire Police,Northamptonshire Police,-0.859229,52.260561,On or near BROUGHTON PLACE,E01027168,Northampton 012A,Investigation complete; no suspect identified
b968a3fe94b1e72bd026cafe9ef2f9cfcb932c24dd9edaee98366f38f73c8628,2013-12,Northamptonshire Police,Northamptonshire Police,-0.599100,52.307760,On or near BRYANT WAY,E01033244,East Northamptonshire 007E,Investigation complete; no suspect identified
0ef3c92afc128017721a9fb707a0e7427938d0785fcf0828c5cd0dba7d0d59e2,2013-12,Northamptonshire Police,Northamptonshire Police,-0.917017,52.256924,On or near WELLAND WAY,E01027242,Northampton 017C,Investigation complete; no suspect identified
8aadeaeb585ad5866de5f34a48245c95a9eee246cd2b3d95a707284c33711933,2013-12,Northamptonshire Police,Northamptonshire Police,-0.900879,52.249529,On or near ESSEX TERRACE,E01027152,Northampton 021B,Investigation complete; no suspect identified
d33316c647977643c4f868fbd4859f73db3a0dcc0366b33b8c5c3f2511ab4312,2013-12,Northamptonshire Police,Northamptonshire Police,-0.707857,52.409669,On or near CENTRE PARADE,E01027081,Kettering 005A,Investigation complete; no suspect identified
0be838db20f454d7eb7223a13dbceee73b5b224ead13bbb7e6d0db8be7d51485,2013-12,Northamptonshire Police,Northamptonshire Police,-0.835281,52.277032,On or near SOUTH PORTWAY CLOSE,E01027245,Northampton 004B,Investigation complete; no suspect identified
2622291841d2d3cc03780378d5db4a0033ddeb1e331a1277166b48c76eb5ecfc,2013-12,Northamptonshire Police,Northamptonshire Police,-0.808765,52.421256,On or near UNDERWOOD ROAD,E01027123,Kettering 003A,Investigation complete; no suspect identified
f729b0b4230c09088c085acd325266684265e820f9706e0aed0115f1845e3910,2013-12,Northamptonshire Police,Northamptonshire Police,-0.815225,52.267842,On or near GREATMEADOW ROAD,E01027175,Northampton 005B,Investigation complete; no suspect identified
309f199d412db49523b6ddfef58c0dd7c89b786023cd1171511e6d352b296412,2013-12,Northamptonshire Police,Northamptonshire Police,-0.912361,52.243629,On or near SHANKLEY WAY,E01027241,Northampton 017B,Investigation complete; no suspect identified
cf334697f7aa98430fb635d111ae90be2e9d80e81a4b284528896df79ec6b999,2013-12,Northamptonshire Police,Northamptonshire Police,-0.717623,52.406979,On or near REGENT STREET,E01027082,Kettering 005B,Investigation complete; no suspect identified
6ff9dc7ceb76e63ee9368e386aa638167c5d783c690563f4a8b7191fa43ba6ba,2013-12,Northamptonshire Police,Northamptonshire Police,-0.727127,52.399062,On or near DRYLAND STREET,E01027110,Kettering 007B,Investigation complete; no suspect identified
0524a9c77521ae79f5b7269beeefc155074432522d57068b575bc59744baedae,2013-12,Northamptonshire Police,Northamptonshire Police,-1.022012,52.091844,On or near TOWCESTER ROAD,E01027295,South Northamptonshire 007B,Investigation complete; no suspect identified
53d668ec0780ace48bb5b366b055c277baaf67f703206a97a14aa23cb110f2dd,2013-12,Northamptonshire Police,Northamptonshire Police,-1.022012,52.091844,On or near TOWCESTER ROAD,E01027295,South Northamptonshire 007B,Investigation complete; no suspect identified
c2198a54d8d44f2ada9d37806ff575d346518f281b75fee52180aceb59fa319c,2013-12,Northamptonshire Police,Northamptonshire Police,-0.898075,52.238543,On or near BRADSHAW STREET,E01032979,Northampton 021F,Investigation complete; no suspect identified
c11d45152e4eb2de043cf78f7b448ea559997ddaf061ed45a5436614dfa7cd6e,2013-12,Northamptonshire Police,Northamptonshire Police,-0.697519,52.495550,On or near OCCUPATION ROAD,E01026972,Corby 002C,Investigation complete; no suspect identified
884aaa7c42c469d6893a61d9d5d71a619b5f8277665c3dfd343ce25d02640afe,2013-12,Northamptonshire Police,Northamptonshire Police,-0.709024,52.403927,On or near EDGAR ROAD,E01027127,Kettering 005D,Investigation complete; no suspect identified
af914de749f917cc7797d77325e16c6008b77845541f603859b526cf6981630f,2013-12,Northamptonshire Police,Northamptonshire Police,-0.869449,52.251057,On or near PARK AVENUE NORTH,E01027136,Northampton 013A,Investigation complete; no suspect identified
248180bce1b51a2b1b91eb2ed23b71e92cedf464b8c097145e573f1efc6f13d0,2013-12,Northamptonshire Police,Northamptonshire Police,-0.675210,52.298011,On or near IRTHLINGBOROUGH ROAD,E01027315,Wellingborough 004C,Investigation complete; no suspect identified
110bbb002ec4cb8678de9757ba42d512097923b5475430d3aab140abae3a6466,2013-12,Northamptonshire Police,Northamptonshire Police,-1.136099,52.346819,On or near MAIN ROAD,E01027006,Daventry 003E,Investigation complete; no suspect identified
2757c603a8fb8027089f1324e3806dc5a69564f73d05a612e035751ef54c3fad,2013-12,Northamptonshire Police,Northamptonshire Police,-0.587539,52.311992,On or near PHILIP WAY,E01027035,East Northamptonshire 007B,Investigation complete; no suspect identified
71b1df31874e469b128b21208764aaa6fd7ab2b1d1630ea9ef1fe6c99e3bb846,2013-12,Northamptonshire Police,Northamptonshire Police,-1.021077,52.139884,On or near BENGAL VIEW,E01027289,South Northamptonshire 004C,Investigation complete; no suspect identified
2163299642095eb40a2ccf8efaf107ad33bdc587f95a0db13d90378c6897f561,2013-12,Northamptonshire Police,Northamptonshire Police,-0.893955,52.230476,On or near HENRY BIRD COURT,E01032981,Northampton 028F,Investigation complete; no suspect identified
