Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
937447654aae0d2e76674615fcd97877c37e89bf269f87afdfa9ff8e428d5581,2013-12,Lincolnshire Police,Lincolnshire Police,-0.771379,53.401137,On or near MALPAS AVENUE,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
538ba443f9c8b9844661157380a58a128ebfeb18e8989bcbd8849e56d83ceeec,2013-12,Lincolnshire Police,Lincolnshire Police,-0.544014,53.237058,On or near OCCUPATION ROAD,E01026145,Lincoln 005C,Investigation complete; no suspect identified
e1d5185a846f833ad94a12f0f57345c72fc9b1f8050f0b8fd41e4e0115d2eda7,2013-12,Lincolnshire Police,Lincolnshire Police,0.326387,53.148063,On or near CHARLES CLOSE,E01026094,East Lindsey 015B,Investigation complete; no suspect identified
211d4b9da467645721682a0da2e59d104c60b68ff7155e3df35c8d47d1776692,2013-12,Lincolnshire Police,Lincolnshire Police,-0.537950,53.250990,On or near SCOPWICK PLACE,E01026166,Lincoln 001C,Investigation complete; no suspect identified
7eef96718470f339cfb8112a6e30cc5d5897b07fe608fad67c705f3236df3747,2013-12,Lincolnshire Police,Lincolnshire Police,-0.416321,53.005683,On or near THE HEDGEROWS,E01026236,North Kesteven 011E,Investigation complete; no suspect identified
78ee0aefb6e03a7a93dd20c7e83a4c4e3e9ad7d7914665a12ba69c56ec095880,2013-12,Lincolnshire Police,Lincolnshire Police,-0.519492,53.245098,On or near MACAULAY DRIVE,E01026152,Lincoln 004E,Investigation complete; no suspect identified
50700c99d1e99f7278ea430f897d83d67dce625de47402c0233bf23e06b1dfaf,2013-12,Lincolnshire Police,Lincolnshire Police,-0.538975,53.222658,On or near WALNUT PLACE,E01026176,Lincoln 006B,Investigation complete; no suspect identified
9c889ce89a85aeab14b6701a0a1bd65013064032176b8f82ac2b64d9d196e92d,2013-12,Lincolnshire Police,Lincolnshire Police,-0.139438,52.787193,On or near HALMER GARDENS,E01026269,South Holland 007B,Investigation complete; no suspect identified
3f6d80ab4f36181e67d13f2a5ae51abca7168031f63dde859647412c8b0bbfe3,2013-12,Lincolnshire Police,Lincolnshire Police,-0.639221,52.916988,On or near ALFORD STREET,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
6fc1f509760c1d66ade1cb6afa0fbbbfae19bac88eab43000e4df8bf7637a0f8,2013-12,Lincolnshire Police,Lincolnshire Police,-0.598389,53.210498,On or near WINTHORPE GROVE,E01026160,Lincoln 009D,Investigation complete; no suspect identified
b11ee34c05ae9555dd23eaf1bf97943d4348bc127554e041ebb7a9de1d8e23a2,2013-12,Lincolnshire Police,Lincolnshire Police,-0.551283,53.213917,On or near ALTHAM TERRACE,E01026134,Lincoln 006A,Investigation complete; no suspect identified
