Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cf313ef3fda4626abb44d3732251fe0d96531541f70b18f73c0916c793895cbe,2013-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
2be6028fe0914ffed3a6dc27a55c65928f703b21a8ae94e2bd0122cc87dba686,2013-12,Kent Police,Kent Police,,,No location,,,Offender given a caution
1594424c166a74a23633307013ddc17e5b8a02fb65dc780a74d774a7f45c61c8,2013-12,Kent Police,Kent Police,,,No location,,,Suspect charged
7f14cce71ce77506858e6f715e547d61dd4dde51c5c5464d23387aefcb033677,2013-12,Kent Police,Kent Police,0.882025,51.131436,On or near ROYDS ROAD,E01032817,Ashford 009G,Investigation complete; no suspect identified
c85eb2aab75e91fa886d32ce809467a8f5bc501b5a2b242d29007ef2119f64b1,2013-12,Kent Police,Kent Police,1.382989,51.390327,On or near COBBS PLACE,E01024678,Thanet 001E,Investigation complete; no suspect identified
ee896e3e86a8db61933c36417c9cc61c9c71ac755919d0080031886f538c706d,2013-12,Kent Police,Kent Police,1.077913,51.293688,On or near MANWOOD AVENUE,E01024100,Canterbury 013B,Investigation complete; no suspect identified
dceb4980860db7fe7a5cf6404fae88c4a802f4e9bb53495e76878c1b162419f9,2013-12,Kent Police,Kent Police,1.086880,51.271469,On or near RANDOLPH CLOSE,E01024044,Canterbury 016A,Investigation complete; no suspect identified
dfc772ac41079962355b7bbe913908e4488b3d2ebbad467fabfeb8d3a457cc34,2013-12,Kent Police,Kent Police,1.388421,51.390296,On or near ZION PLACE,E01024657,Thanet 001A,Investigation complete; no suspect identified
f4031d2eb461e49665a1b14c448b5c2ab0280cbb9ec0b899c230b97321f960e1,2013-12,Kent Police,Kent Police,1.390540,51.347022,On or near BRECON SQUARE,E01024682,Thanet 013A,Investigation complete; no suspect identified
4263f6b4696c24bc8827593ce1c6eb5cc2d4ff67e8def6c8508b30ed4d33e084,2013-12,Kent Police,Kent Police,1.374475,51.385410,On or near ALL SAINTS' AVENUE,E01024710,Thanet 003E,Investigation complete; no suspect identified
4efc7fb705d7255612ab264a343eb20482c7d0bbc5e243dcb10d827e7a66ecd7,2013-12,Kent Police,Kent Police,1.374475,51.385410,On or near ALL SAINTS' AVENUE,E01024710,Thanet 003E,Investigation complete; no suspect identified
f080689b8147e9d5c594f34b1dde5969dbdd6ec26c4933bb913d50db6805e4bb,2013-12,Kent Police,Kent Police,1.044018,51.349226,On or near THE HALT,E01024055,Canterbury 007A,Investigation complete; no suspect identified
cef4dc70c14f5c9c03e5fa4c24d58ca5dae26692d4a88ec47b1bdcc7b1306751,2013-12,Kent Police,Kent Police,0.856085,51.110225,On or near Sports/Recreation Area,E01024034,Ashford 010D,Investigation complete; no suspect identified
d3058d8522bc0f512de134ea1600c0c0bbf7b39fc4b2ad224debcd7a5af68c43,2013-12,Kent Police,Kent Police,1.180497,51.082110,On or near FOORD ROAD SOUTH,E01033212,Shepway 014C,Investigation complete; no suspect identified
02944115ecf11dc66edc267c05632d9691994788a3b66f857e9ac488d809282d,2013-12,Kent Police,Kent Police,1.407741,51.339398,On or near QUEENS GATE ROAD,E01024645,Thanet 015A,Investigation complete; no suspect identified
b365b395c4ff858e8e638fde7da8ffda4017113ba5a9374edb80b473d101c197,2013-12,Kent Police,Kent Police,0.686444,51.098446,On or near BIDDENDEN ROAD,E01024032,Ashford 011C,Investigation complete; no suspect identified
9936d42c4b996f39d8b2da6d3dd4913c7e3655cf96dac9f4bdc028ec22b3cb19,2013-12,Kent Police,Kent Police,1.384918,51.381996,On or near SETTERFIELD ROAD,E01024676,Thanet 003A,Investigation complete; no suspect identified
d0ed5bd1e69a0e2631c6680d4eadfcda6b2a1a378715b5327635bc31c256e4c3,2013-12,Kent Police,Kent Police,1.384918,51.381996,On or near SETTERFIELD ROAD,E01024676,Thanet 003A,Investigation complete; no suspect identified
be495d9bd70ea2d062c7fa0b744663e0ef12760098e0ccf5525c7d4684fa7fa2,2013-12,Kent Police,Kent Police,1.181474,51.083243,On or near CLARENCE STREET,E01024507,Shepway 014B,Investigation complete; no suspect identified
bed648952b8f7aa132c9bcd61ac9bc8a2bec48417e4c7028dd622b2eff9ed9ec,2013-12,Kent Police,Kent Police,1.386457,51.386872,On or near ADDINGTON ROAD,E01024661,Thanet 004A,Investigation complete; no suspect identified
471c64679b07b0065ccc1abb8650e277816045d4bfe2181edc091110667a39f8,2013-12,Kent Police,Kent Police,1.308875,51.128413,On or near LADYWELL,E01024247,Dover 012D,Investigation complete; no suspect identified
9058e8bef87ff0c93ad6014394013ff9e21b10533dee99f8eed60b5145143459,2013-12,Kent Police,Kent Police,1.313641,51.125696,On or near CHURCH STREET,E01033211,Dover 012F,Investigation complete; no suspect identified
5330d270ce8209b4d173889b323745d075b847357d43a20d3bf2cdb8930d7955,2013-12,Kent Police,Kent Police,1.187276,51.085793,On or near ROSSENDALE GARDENS,E01024505,Shepway 004E,Investigation complete; no suspect identified
45bc792a042baedb622e27a98c8ec8f12d37ff61f147815cf2ae28f6a7773d6e,2013-12,Kent Police,Kent Police,1.390579,51.388174,On or near GROTTO ROAD,E01024657,Thanet 001A,Investigation complete; no suspect identified
c3804ef1bbc6e8ea1f5c0d54e2c76789f0d8434dcc6050dd87eea260c2e7ec21,2013-12,Kent Police,Kent Police,1.390579,51.388174,On or near GROTTO ROAD,E01024657,Thanet 001A,Investigation complete; no suspect identified
64916e032ad5ff4513ba64b47d0420fe2092cfbc238ccef8ab9f5240f7536750,2013-12,Kent Police,Kent Police,1.390540,51.347022,On or near BRECON SQUARE,E01024682,Thanet 013A,Investigation complete; no suspect identified
fa0c6e0553f03961b31e4c435366d1b0edace972cfc827d3244d470c955baca2,2013-12,Kent Police,Kent Police,1.066300,51.270562,On or near ADA ROAD,E01024128,Canterbury 019A,Investigation complete; no suspect identified
6265bceb04659522870b19ee58224790ff58d442a18837a77e8bd84484bc899b,2013-12,Kent Police,Kent Police,1.026655,51.351871,On or near OLD PRINTWORKS CLOSE,E01024060,Canterbury 008A,Investigation complete; no suspect identified
4c0e53de9fed8364b8a29ac4dafcd58d02bf2f62cec59e5b01d32ebd2ae76f27,2013-12,Kent Police,Kent Police,1.420811,51.373514,On or near HUGIN AVENUE,E01024634,Thanet 006B,Investigation complete; no suspect identified
a3fc48118fa0dc6b32c18e5a4c94c2090f65b25cb71db23c8a37d26f220ff590,2013-12,Kent Police,Kent Police,1.398966,51.391358,On or near FIRST AVENUE,E01024660,Thanet 001D,Investigation complete; no suspect identified
6a4f3f8092a3c36a3bd0c48f5269992b3f8e4cc5d52184870a50124b46d3aa9d,2013-12,Kent Police,Kent Police,1.176986,51.087143,On or near ALLENDALE STREET,E01024501,Shepway 004C,Investigation complete; no suspect identified
141c4c13b7d0ab3eb6db5b8d0d17ad6ebdd00774794a71710dea630713a156a8,2013-12,Kent Police,Kent Police,1.379871,51.387233,On or near MARINE GARDENS,E01024676,Thanet 003A,Investigation complete; no suspect identified
f62ac7c825109b49750b5918f0414dc8bc2c76ffe9d963b0904fe5bf25619b4c,2013-12,Kent Police,Kent Police,1.387484,51.381895,On or near SUSSEX AVENUE,E01024677,Thanet 003B,Investigation complete; no suspect identified
decfaa738e97b4e78e1cdcac067ba5b4ecaa188d1351f94c1d61345370387515,2013-12,Kent Police,Kent Police,1.090966,51.287687,On or near BARTON MILL ROAD,E01024090,Canterbury 014C,Investigation complete; no suspect identified
43a4b4dee8cdeedee9ed23135d9454b803e382515a1a2b69de885db1ec7f0d7f,2013-12,Kent Police,Kent Police,1.070937,51.271925,On or near VICTORIA ROAD,E01024130,Canterbury 019C,Investigation complete; no suspect identified
d0c394984d7c76690f444c42dbab62e3b7990002e8d7a09341ac2e114ea87e72,2013-12,Kent Police,Kent Police,1.301133,51.123289,On or near CLARENDON STREET,E01024214,Dover 013A,Investigation complete; no suspect identified
8cbc34de3875aa376e56bf705d7d256e846d048bf8f2b55aa4e9c4de6735f54d,2013-12,Kent Police,Kent Police,1.301133,51.123289,On or near CLARENDON STREET,E01024214,Dover 013A,Investigation complete; no suspect identified
c9960dd18d3311b97371f2c817c3b11ec1c1af5717feab06b6bffa0afdf86cc5,2013-12,Kent Police,Kent Police,1.290271,51.152838,On or near GORDON ROAD,E01024254,Dover 010E,Investigation complete; no suspect identified
3743af62f8e6b06efcbccd4ab003f38cf8fa03d25ed53ba91bc8442989b5accd,2013-12,Kent Police,Kent Police,1.295191,51.143003,On or near MARLOWE ROAD,E01024196,Dover 011D,Investigation complete; no suspect identified
41f0832244640c0d4f71e2b2995b32f5b0bce24ec97c542ddca09a4aaef6a0c0,2013-12,Kent Police,Kent Police,0.867236,51.158756,On or near Supermarket,E01024022,Ashford 004H,Investigation complete; no suspect identified
abf1ff2f56fafb41a03f67dabf2e10502fc8370c241402f26f4fe9b68f87c37d,2013-12,Kent Police,Kent Police,1.123864,51.309111,On or near BOURNES CLOSE,E01024111,Canterbury 011C,Investigation complete; no suspect identified
3974ceb18dc75fa22444d5976778c968388170335051424599919f9ba326bd33,2013-12,Kent Police,Kent Police,0.893303,51.137373,On or near TWELVE ACRES,E01023972,Ashford 006A,Investigation complete; no suspect identified
7e6d59b8976da8c7cd780c8961a793bbc2776b691e6b25f16447883684ba4ee2,2013-12,Kent Police,Kent Police,1.380680,51.389045,On or near Parking Area,E01024678,Thanet 001E,Investigation complete; no suspect identified
c851136d133c0ba4b40171486ca5127e55750642cd8d2c03cf23a4959e5b8008,2013-12,Kent Police,Kent Police,0.882017,51.155173,On or near Sports/Recreation Area,E01023983,Ashford 003A,Investigation complete; no suspect identified
45f86fa7ad1d818cf614abf6dd90208cc325f88259cc4f8cef83f2e5c2926a9b,2013-12,Kent Police,Kent Police,1.385604,51.391484,On or near Theatre/Concert Hall,E01024678,Thanet 001E,Investigation complete; no suspect identified
eb72d9e56a060529c2579a761492c6fd3022118639db9f97da8995a2c58df2e7,2013-12,Kent Police,Kent Police,1.135005,51.351474,On or near RUSKINS VIEW,E01024075,Canterbury 006C,Investigation complete; no suspect identified
