Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bff07c8dae1765240284fcd6bcbfefe352cc9e839a19b626a68daaf2919c119f,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.741953,52.423603,On or near MUNDFORD ROAD,E01026466,Breckland 015B,Investigation complete; no suspect identified
39be6cc3b8b8eb3d3888707d96aa593878aba1e4ae8af95a30e0181b00eb9e78,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.210778,52.776055,On or near Sports/Recreation Area,E01026523,Broadland 002B,Investigation complete; no suspect identified
0b782333c47afb9fd16e4cf1da056b817d752fa03caeced9fb458eec31c0a6e2,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.722254,52.584753,On or near BECCLES ROAD,E01026600,Great Yarmouth 007A,Investigation complete; no suspect identified
ebb0d635e334eb059ba179de0d5948aae44e5ff5d6c9f50b577a47ccf53a9330,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.240812,52.641326,On or near BATES GREEN,E01026869,Norwich 006G,Investigation complete; no suspect identified
427f200ff7cea726c7bf1c6d5bebe708d65e2370a16e913dff65b06f6e7e9037,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.283060,52.626842,On or near TRORY STREET,E01033437,Norwich 011H,Investigation complete; no suspect identified
16819037b35d15c389adc26364ccc356e47fb96e658dd5fb3b20084c4752918e,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.482483,52.530931,On or near DAVY PLACE,E01026912,South Norfolk 008D,Investigation complete; no suspect identified
e8298be9967f3abefd13501dd1fd8dba627e2d7bc68164203fa9b7880c00ecc7,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.720918,52.600347,On or near ALBANY ROAD,E01026633,Great Yarmouth 007B,Investigation complete; no suspect identified
563434b7cffa8d11bc422954e239ba18c2d28098a6b9251fd88b6148b4a6e7eb,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.446857,52.772484,On or near HINCHINGBROOK CLOSE,E01026673,King's Lynn and West Norfolk 006E,Investigation complete; no suspect identified
9aa3d9314da74d3b52967848924c40544455eb4b59d5779a581178000210ffef,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.298710,52.610704,On or near CAVELL ROAD,E01026819,Norwich 013D,Investigation complete; no suspect identified
904611b965a3ecd686d226c5735bb1724edf730ebd3c7079e31de4658838f12f,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.305389,52.623073,On or near WHERRY ROAD,E01033441,Norwich 014D,Investigation complete; no suspect identified
d549077a648ad314c72deb4c8e0e0a24533a9caf774644b36660a599b9fb9adf,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.290087,52.630469,On or near ST LAWRENCE LANE,E01026822,Norwich 007A,Investigation complete; no suspect identified
2ed8491c349b5d942a2e0bfb0adba3019c0c03b71cd01116352dc450b7840fd2,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.688555,52.648669,On or near A1065,E01026455,Breckland 007A,Investigation complete; no suspect identified
951c7af2aa8c0f4787fbd1eefc45126665f7aa7dbcd614512a2c8ffde49a3011,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.494546,52.904199,On or near MAREA MEADOWS,E01026676,King's Lynn and West Norfolk 003A,Investigation complete; no suspect identified
c0b72711cabe1142acda3c2eb33df8f161769529320c794c8129ef31d1f32fef,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.292693,52.625018,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
19c8bd9a449a3a4779d1c4f47ab6ec485c3943cfc633a3fc69e3a580440d0211,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.284265,52.644103,On or near PRESS LANE,E01026830,Norwich 002C,Investigation complete; no suspect identified
7cac0dec199132a79b925df22339a838c8f2487e60bdc26bf240110c87fe47e0,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.335888,52.639332,On or near PLUMSTEAD ROAD EAST,E01026803,Norwich 004A,Investigation complete; no suspect identified
29a74b03ab1bf5d0e4fa7e3e20c5828aa747145b511d9111bc39bb48b53cb47d,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.726337,52.608137,On or near Shopping Area,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
8c54a53cff6ed4c40f9e114d401df5fed083cec15adf935cb88fa70849d5f5a0,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.249069,52.630262,On or near GIPSY CLOSE,E01026868,Norwich 006F,Investigation complete; no suspect identified
f328f4f9bc190b2f94c027716f82f63a7efbf3b95139b454b89a136443c99776,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.395659,52.755420,On or near Shopping Area,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
2c7456f6be0784b774d0c65034a03aa535f92478588dd88de48cae55fa8b1ce7,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.829876,52.674369,On or near LOVE LANE,E01026453,Breckland 004C,Investigation complete; no suspect identified
