Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a8abacffe9bc08dcdc359306d2b06d35e318dbb9b00706cc477666e00ec561a3,2013-12,Warwickshire Police,Warwickshire Police,-1.536712,52.292609,On or near Supermarket,E01033253,Warwick 007H,Investigation complete; no suspect identified
7f13b5d997443299838197f7485a0f411a06799a883ec391b0a96312fea4216d,2013-12,Warwickshire Police,Warwickshire Police,-1.587765,52.289418,On or near PERCY ROAD,E01031321,Warwick 011A,Investigation complete; no suspect identified
c7ee55bf1addf69a648186b6c2f8c01f64d54fe60b856121e19e3853a997a7a1,2013-12,Warwickshire Police,Warwickshire Police,-1.537444,52.291245,On or near WINDSOR PLACE,E01033253,Warwick 007H,Investigation complete; no suspect identified
a71f76fc4f4aad9731e7afb0c0ca20c35f70e473bbd5d44248011f50c8c36b5d,2013-12,Warwickshire Police,Warwickshire Police,-1.710074,52.191552,On or near ELY GARDENS,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
f8ce544334f11df3a3ba61d3fe810eb5fa9464ae2cf3031b6d2327d3b233cbbd,2013-12,Warwickshire Police,Warwickshire Police,-1.573244,52.351174,On or near Parking Area,E01031297,Warwick 002B,Investigation complete; no suspect identified
b2cedebd9501de4e54ef4a2279237a5f56859fa1ba500e1729939a623dd6f3f2,2013-12,Warwickshire Police,Warwickshire Police,-1.548932,52.278892,On or near Shopping Area,E01031315,Warwick 012A,Investigation complete; no suspect identified
d25a6fa4b280f27d02c583b4bc53ff69a2e848df894faa5854e6a07419457ac8,2013-12,Warwickshire Police,Warwickshire Police,-1.565697,52.286722,On or near Petrol Station,E01031319,Warwick 012E,Investigation complete; no suspect identified
3967bcf6dcd7c15ceb517c96aaf575434e67cd55749b36ae549810b704703d4f,2013-12,Warwickshire Police,Warwickshire Police,-1.519553,52.298465,On or near HADDON ROAD,E01031276,Warwick 006D,Investigation complete; no suspect identified
4e6311b2804b2bdbaf5e36a505d65a0709251c91e45290781ccaa4df0a1a3d30,2013-12,Warwickshire Police,Warwickshire Police,-1.723583,52.195199,On or near CLARENCE ROAD,E01031238,Stratford-on-Avon 009F,Investigation complete; no suspect identified
5003ad15de1a523ffc7046c73dcdcd56ccf99757495705f02d5d39c6286e8bd6,2013-12,Warwickshire Police,Warwickshire Police,-1.896426,52.274511,On or near CRENDON CLOSE,E01031240,Stratford-on-Avon 003B,Investigation complete; no suspect identified
c802d97b14c443e114e6ba810e5bf2c7c67fc9bdd4d2a57c63d9188fc9aff894,2013-12,Warwickshire Police,Warwickshire Police,-1.864840,52.333329,On or near BEOLEY LANE,E01031243,Stratford-on-Avon 001B,Investigation complete; no suspect identified
c678db471277cc93fa6dc26ef66b9c9d1190a945167a92d2b444d3bcfc4e3e45,2013-12,Warwickshire Police,Warwickshire Police,-1.709205,52.192359,On or near Supermarket,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
74afad0e608973433cea4f5e3f8428681e2f5d8d0412d8d65f50225a911cb5d3,2013-12,Warwickshire Police,Warwickshire Police,-1.533331,52.275298,On or near WINDMILL ROAD,E01031262,Warwick 013B,Investigation complete; no suspect identified
62501f45f7c02c35e3699f9c6dcfb8e155655b1918a612fed03bfc5d71256577,2013-12,Warwickshire Police,Warwickshire Police,-1.867554,52.318660,On or near ULLENHALL LANE,E01032123,Bromsgrove 009B,Investigation complete; no suspect identified
b129990cd285961ef9628c915e9498a395c65fbafbb56b49182bcf2052a03ced,2013-12,Warwickshire Police,Warwickshire Police,-1.705036,52.192358,On or near Supermarket,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
9a707b745e3c09d5de3641c38feac99b1c708a7ffbbdc54d2b6e76a5bac5045e,2013-12,Warwickshire Police,Warwickshire Police,-1.548932,52.278892,On or near Shopping Area,E01031315,Warwick 012A,Investigation complete; no suspect identified
f5021d70d0858732973a78b208220cfdc8b483ba2278342df6ad8573961ae8f4,2013-12,Warwickshire Police,Warwickshire Police,-1.573446,52.333257,On or near WARWICK ROAD,E01031305,Warwick 003C,Investigation complete; no suspect identified
9972b307b945d1e516f7981b85ac9059e9c629dc6cb91e0ed66a51b3cb122745,2013-12,Warwickshire Police,Warwickshire Police,-1.536853,52.293131,On or near Nightclub,E01033253,Warwick 007H,Investigation complete; no suspect identified
900d795f703c5877985d9bda61550fa25c95b5774eceaa26fdefc2f68b97fac5,2013-12,Warwickshire Police,Warwickshire Police,-1.659986,52.337125,On or near A4177,E01031283,Warwick 004C,Investigation complete; no suspect identified
d492cc9febe0cd5199e068fd80eab05dc7cd5bf308fcf30d689f9dd1ed1cbacd,2013-12,Warwickshire Police,Warwickshire Police,-1.737793,52.199412,On or near LUDFORD CLOSE,E01031237,Stratford-on-Avon 011E,Investigation complete; no suspect identified
37a6a974ba6f81ccd9a113913afd7e573bbf10b95d5c56aefcea1ae66f723b4a,2013-12,Warwickshire Police,Warwickshire Police,-1.387748,52.257291,On or near ASH GROVE,E01031220,Stratford-on-Avon 004B,Investigation complete; no suspect identified
aca2e3f78548a53769dbc4d2c9adf8c1bfbd1065140cc05293c625e802110a2e,2013-12,Warwickshire Police,Warwickshire Police,-1.391529,52.246531,On or near BANBURY ROAD,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
5853897e2889a06c7818229c6b399e64af564b942307dfda477ef6a3a4ccd47a,2013-12,Warwickshire Police,Warwickshire Police,-1.610295,52.283183,On or near WARWICK BY-PASS,E01033255,Warwick 011H,Investigation complete; no suspect identified
477ddfa1f4928ed707a68d5bc7ac59ec4e21a2771faa24e51959bc17940b0c25,2013-12,Warwickshire Police,Warwickshire Police,-1.553140,52.287557,On or near EDMONDSCOTE ROAD,E01031293,Warwick 009D,Investigation complete; no suspect identified
798892ca0460f65529c098eca2ff7eda9022f43bae7a858143480fadfcf0d685,2013-12,Warwickshire Police,Warwickshire Police,-1.465486,52.183848,On or near Petrol Station,E01031205,Stratford-on-Avon 013B,Investigation complete; no suspect identified
4d55f47fe257f000e720cd6733c52d64161a6d3ee4ca4d662280eed865f5a115,2013-12,Warwickshire Police,Warwickshire Police,-1.562326,52.316486,On or near HILL WOOTTON ROAD,E01031284,Warwick 004D,Investigation complete; no suspect identified
1ccfdbe034df49bd90ce5e4410f29f102e36cd4fd2410d9bbd5b89accbf8ac7f,2013-12,Warwickshire Police,Warwickshire Police,-1.711096,52.203108,On or near MAPLE GROVE,E01031228,Stratford-on-Avon 009A,Investigation complete; no suspect identified
007f28f3a9b0b7dd36cd18939e3ce1715d17945a99aa12647878b750a5171ae7,2013-12,Warwickshire Police,Warwickshire Police,-1.577307,52.342271,On or near Parking Area,E01031258,Warwick 001E,Investigation complete; no suspect identified
9292dca69a594062318fa907127cd7d26254f16f28cccedefccc7a831aa719b8,2013-12,Warwickshire Police,Warwickshire Police,-1.510066,52.301033,On or near THE CREST,E01031273,Warwick 006A,Investigation complete; no suspect identified
9dc0eed286c8c72f44cb922af9863d3ba4c785f41b9d0d9fed6a431f9dec4962,2013-12,Warwickshire Police,Warwickshire Police,-1.591233,52.282157,On or near THE HOLLOWAY,E01031324,Warwick 011D,Investigation complete; no suspect identified
bbbe5f132776215f7f5c89095a7c42bb38e0521869d0ce3ff77b6606847fe0e8,2013-12,Warwickshire Police,Warwickshire Police,-1.586280,52.351292,On or near BERKELEY ROAD,E01031256,Warwick 001C,Investigation complete; no suspect identified
6472393e4ff84573be65c8327472b0f460fa77193f0e063f268c09f403cca3e0,2013-12,Warwickshire Police,Warwickshire Police,-1.565697,52.286722,On or near Petrol Station,E01031319,Warwick 012E,Investigation complete; no suspect identified
b21eda8627d684d311654cbbaa6e8c9fe8563a5a23b9e28e0d76a0afa425cbfd,2013-12,Warwickshire Police,Warwickshire Police,-1.530571,52.282632,On or near TOWER STREET,E01031266,Warwick 013F,Investigation complete; no suspect identified
15480676b48fefa00ce9528719265f2a3e0eb5cbdbb986c4c1b6479ebda7ac4a,2013-12,Warwickshire Police,Warwickshire Police,-1.575420,52.344709,On or near PRIORY ROAD,E01031258,Warwick 001E,Investigation complete; no suspect identified
ca7ad4c145d7d160cdfea3d965072bdb541fc730f448970722a46a728451ae8d,2013-12,Warwickshire Police,Warwickshire Police,-1.358480,52.283451,On or near A426,E01031166,Rugby 012E,Investigation complete; no suspect identified
68ea41c6002c94dba599f2ec441bcfdbd3dea7579bed5d7b148b0915d9746522,2013-12,Warwickshire Police,Warwickshire Police,-1.493905,52.370550,On or near KIMBERLEY ROAD,E01031308,Warwick 005G,Investigation complete; no suspect identified
7e265f611e641e1debac5236eaf5df29f5b239b3e1fa5ba8bcf3d124b2ca5f27,2013-12,Warwickshire Police,Warwickshire Police,-1.840774,52.361429,On or near THE MALTINGS,E01031243,Stratford-on-Avon 001B,Investigation complete; no suspect identified
1f68bd277a99ce8c94ff90ca7dfd98f5ac61656e4828815971f019a3de8da38b,2013-12,Warwickshire Police,Warwickshire Police,-1.725495,52.198215,On or near MASONS WAY,E01031238,Stratford-on-Avon 009F,Investigation complete; no suspect identified
a4afb48a99929cc02a9902df46ad8781dda84015d103eb10ea159f7494f75eb9,2013-12,Warwickshire Police,Warwickshire Police,-1.530494,52.295497,On or near UPPER HILL STREET,E01031272,Warwick 007B,Investigation complete; no suspect identified
1f525ec8a4ee2e0c1a38c7ed3c04b2aa528123b3a50fe0e5415b5dd3e04ca6a7,2013-12,Warwickshire Police,Warwickshire Police,-1.548932,52.278892,On or near Shopping Area,E01031315,Warwick 012A,Investigation complete; no suspect identified
25cf79c2fbeb678aae9e66f8cf3e0e230a0ba75ed0c675cafa9eeedd013cad28,2013-12,Warwickshire Police,Warwickshire Police,-1.892355,52.266991,On or near ALCESTER ROAD,E01031242,Stratford-on-Avon 003D,Investigation complete; no suspect identified
867f84047873d1df68bf6c0b66511383b83e0bf23ff0585e0c038c9e9edbaa34,2013-12,Warwickshire Police,Warwickshire Police,-1.529301,52.297407,On or near GRANVILLE STREET,E01031286,Warwick 007D,Investigation complete; no suspect identified
b8c3d4e20f32d3452aabd82548d1d3560ac178fa15084d03ef9f4937cacd57d2,2013-12,Warwickshire Police,Warwickshire Police,-1.544090,52.290876,On or near MILVERTON TERRACE,E01031290,Warwick 009A,Investigation complete; no suspect identified
db93210489329b4665914f9a904985ce42078b835aae98b3c6e812564a3b4c5b,2013-12,Warwickshire Police,Warwickshire Police,-1.698148,52.189832,On or near Petrol Station,E01031225,Stratford-on-Avon 010A,Investigation complete; no suspect identified
8ddf38216c57586b88df55671afba525e0799afd10c8c2d9962cf4f2944d9a47,2013-12,Warwickshire Police,Warwickshire Police,-1.521832,52.263745,On or near MORRIS DRIVE,E01031330,Warwick 015D,Investigation complete; no suspect identified
837f9ce8a86193123e704b998e16791a7a38b00ff87b2014f1f6d7564b1483d5,2013-12,Warwickshire Police,Warwickshire Police,-1.611220,52.135392,On or near SPRING CLOSE,E01031196,Stratford-on-Avon 014A,Investigation complete; no suspect identified
5ae9765d81134c01c6f5415cb4393d21876c4f914e999692615f4aee61fe6931,2013-12,Warwickshire Police,Warwickshire Police,-1.534248,52.291278,On or near Shopping Area,E01033253,Warwick 007H,Investigation complete; no suspect identified
87ec6b0a830c7980099f3b495398e20936bc806cf650f044567b93af0763ffc5,2013-12,Warwickshire Police,Warwickshire Police,-1.468340,52.182449,On or near CHURCH LANE,E01031205,Stratford-on-Avon 013B,Investigation complete; no suspect identified
5902eaf370317fa42af1e9e7e39d15faace623cf5d19ac346f087b0bffc9f752,2013-12,Warwickshire Police,Warwickshire Police,-1.716035,52.194956,On or near Parking Area,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
ae1e6986215df587cf85f3b42cffd233072c4f15cb4106488a0337113c87d4a8,2013-12,Warwickshire Police,Warwickshire Police,-1.867377,52.225682,On or near PRECISION WAY,E01031185,Stratford-on-Avon 006C,Investigation complete; no suspect identified
