Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b656ddeea15a38d46e6cfc79d6d5bc564352fed89cdccc364d149f1eaf25c97b,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.212619,52.653049,On or near LADY'S DROVE,E01026685,King's Lynn and West Norfolk 013B,Investigation complete; no suspect identified
e08fe3b680baaef09e8561e2347b5bf4d18f3c44e5108458881867ae55ae9544,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.297058,52.636283,On or near Shopping Area,E01026823,Norwich 007B,Investigation complete; no suspect identified
11a587c404e7e87dc4b515d856369c4217270034acbc4c99edceaa57b16c1669,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.396442,52.753201,On or near BAXTERS COURT,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
cb10bb2fe4b060a3f6236e13507e7d0aa390218cf9fd37cd1069af44a78470c3,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.300710,52.932400,On or near JETTY CLIFF,E01026734,North Norfolk 003A,Investigation complete; no suspect identified
d9e00d48a6084382b8cd22bdbf2dadbd884e0ea9b5f5b8f563035c8c6df2bb44,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.290980,52.627791,On or near Conference/Exhibition Centre,E01026822,Norwich 007A,Investigation complete; no suspect identified
737881391c2cd2d5630f2f6c6724eafbdbc23ac0b783f5f4d6c3a0f2df8809d4,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.431035,52.774823,On or near THE BOLTONS,E01026708,King's Lynn and West Norfolk 005C,Investigation complete; no suspect identified
14642e6a351e76b6f6c496f032e2bab19350b0e98d9c2eb1a5391c21a7ca8d2e,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.108041,52.377118,On or near MARKET HILL,E01026891,South Norfolk 015D,Investigation complete; no suspect identified
ad41854dd43c2fa6cd46753243c234b8b070afb4a7828ab682b3daf9e2b97951,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.443352,52.753853,On or near WAVENEY ROAD,E01026664,King's Lynn and West Norfolk 010C,Investigation complete; no suspect identified
66ab81211d0dd719e55394d4bf52045f979453c9648e1dd88cd30dbf5e9720df,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.499637,52.874581,On or near LODGE LANE,E01026701,King's Lynn and West Norfolk 003D,Investigation complete; no suspect identified
fbf1b8b5e6d437684afc33acba9e18084c18ec72e4f6e81964226cae443eec29,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.830280,52.737999,On or near BURGHWOOD DRIVE,E01026462,Breckland 002D,Investigation complete; no suspect identified
f9b611f181ea5d0da54826b5fab56be57914e72e3a3c55982803d50dce136f9c,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.161657,52.368167,On or near RANSOME AVENUE,E01026934,South Norfolk 014E,Investigation complete; no suspect identified
9a5a78b00dfbd726feca8d977abf5d1802e5c0b5355513995986a7e7cf212bc8,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.288447,52.640525,On or near DRAYTON ROAD,E01026831,Norwich 002D,Investigation complete; no suspect identified
4da2f006ba88e3ebbd2b4f28aa0598d5f11a6e9ce9e59f332de5c20f61b65b3a,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.480896,52.538451,On or near BRIDGE STREET,E01026879,South Norfolk 008A,Investigation complete; no suspect identified
8e9c9497a285b1949104046c5d8b280fcf6df0f79bb129407c1f349500627c4e,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.168391,52.594182,On or near THE CRESCENT,E01026906,South Norfolk 003B,Investigation complete; no suspect identified
3155084e42c7fc6a2c371462b17f2aef9db5ecdb425f1806b8dd8a69921d20a5,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.256732,52.540196,On or near SEWELLS CLOSE,E01026919,South Norfolk 009D,Investigation complete; no suspect identified
7502c18f239d713b6578394acf3cdbee45cad9e50daac895fa8f91bfb5e3f42b,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.942560,52.679366,On or near WRIGHT'S WALK,E01026426,Breckland 005B,Investigation complete; no suspect identified
ac7194ee84968303e03cf48f77467c4bd750890b46a76b2bc0c3fefbacf7274b,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.408674,52.740958,On or near HARDWICK ROAD,E01026706,King's Lynn and West Norfolk 011F,Investigation complete; no suspect identified
c57e0c69b729121ef7e237e7b40dca44874e85b24b416155d3e1c806bf5f1b85,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.723468,52.594537,On or near DRIFTERS WAY,E01026633,Great Yarmouth 007B,Investigation complete; no suspect identified
4d02c2cbf959de615dcaa5d3f128faff0d02e100be71323953c89a14a6791571,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.433286,52.625170,On or near LINKS AVENUE,E01026508,Broadland 017A,Investigation complete; no suspect identified
ed4ccb8d6bc9362356d1bc3f88d2d1e6cb49400da6a4322706d4d22b5c0b69a7,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.370728,52.672477,On or near HUDSON CLOSE,E01026578,Broadland 008C,Investigation complete; no suspect identified
6a54047e1c7120989fcdb2e48a365f97598ad5405e0972aed96786a7f6ef9058,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.282794,52.654064,On or near FLETCHER WAY,E01026797,Norwich 001A,Investigation complete; no suspect identified
fbceed60afafc9c33274cf2e2a5c632a4dbb2aa5f52d247d0934e8ecfee7df21,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.158802,52.652572,On or near MARLINGFORD WAY,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
b1e7e643bad87de8f953e8b2f77d0aa5d50d9d48c019d6f59cdf0d06cd5c1021,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.282273,52.603300,On or near BARNESDALE ROAD,E01026821,Norwich 013F,Investigation complete; no suspect identified
9ee72f4dc5ab7d0b58ce0c0418378fdf087b335ece9acd5c6e09a22e3246d3a8,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.097342,52.902609,On or near THE DRIFTWAY,E01026743,North Norfolk 004C,Investigation complete; no suspect identified
50af1b36bd0a9c01af822c5e57644a7b92af788dafa39cc3aa7217cf3f21b97d,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.769339,52.421435,On or near PETER DRIVE,E01026470,Breckland 016C,Investigation complete; no suspect identified
015c9f11f9254a892280d31c4687a3fb8e4383ae415f3985f1f14d9dc85fc3f1,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.670309,52.493496,On or near Parking Area,E01026493,Breckland 012D,Investigation complete; no suspect identified
6455f0adf8b76f6d5aec7db9e1bd52f97ee13192efce6f7118c1559601811bc3,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.283615,52.606231,On or near Sports/Recreation Area,E01026820,Norwich 013E,Investigation complete; no suspect identified
0aa63208194565ee23ad825ae69352568e5622de099b436f6ea228eb6a7c3b3f,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.729874,52.615149,On or near BELVIDERE ROAD,E01026595,Great Yarmouth 005A,Investigation complete; no suspect identified
a0f06cd0b9036eb556bb05d65b57135d6afcc9227628c0471cc9131ae1ce9de9,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.689534,52.647289,On or near CHURCH MEWS,E01026455,Breckland 007A,Investigation complete; no suspect identified
5366338b79790ad0ccfeb2fe18dd809639cad373ce789807a0cfedb0b1643bf2,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.865188,52.830997,On or near NORWICH ROAD,E01026749,North Norfolk 011E,Investigation complete; no suspect identified
42e376a22043d85efa1ef85e844bd1b660094cbff7c0335bba2f830b07879c38,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.728395,52.557791,On or near BRETT AVENUE,E01026612,Great Yarmouth 010C,Investigation complete; no suspect identified
e9d80e5269622cdd1cf6a09e429769bd31b15a72f078414f8c62289f35b444ba,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.286397,52.644134,On or near WATERLOO PARK CLOSE,E01026830,Norwich 002C,Investigation complete; no suspect identified
d72de213c4319751cb85b7943c127e17f5335303773b767a95563d5bc8e79746,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.721506,52.613893,On or near SCHOOL ROAD,E01026596,Great Yarmouth 005B,Investigation complete; no suspect identified
d257a653b2c49b47f23796f6ac4d8d5f10bce0e569ea680addbcef93168906f3,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.305884,52.627871,On or near PRINCE OF WALES ROAD,E01033438,Norwich 014A,Investigation complete; no suspect identified
66b1d12eb4a02e91e38bbcb64aebe9a39afa59d4dae1456f69dbd11ba21926a3,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.276126,52.627799,On or near PARK LANE,E01026837,Norwich 009C,Investigation complete; no suspect identified
3f0ab568543a14eead54333ebd1e8a74e9f8ae3e7768cea02e22de8ecd03aedb,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.657979,52.579338,On or near BREYDON WATERS,E01026614,Great Yarmouth 012B,Investigation complete; no suspect identified
fbc0ab0dfa739e48a2baec701349204645e177334f5c9faed072114892b5109b,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.284988,52.621995,On or near BRUNSWICK ROAD,E01033434,Norwich 011G,Investigation complete; no suspect identified
f5277688eb284ebacc56fe48f1e8238c8aa84aeb62c83a55efa7b3c037d3928c,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.273158,52.665627,On or near Petrol Station,E01026530,Broadland 011A,Investigation complete; no suspect identified
2ca95154f3314f92ca9e765c0c0fb4a39c4f94090a76e6c6a8fe7b56e23ae2f9,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.656879,52.514355,On or near MALSTERS CLOSE,E01026424,Breckland 012A,Investigation complete; no suspect identified
90cd623b3661ddedf694d94656a7609e6c729a743f19f7c4d048fa174b95bdab,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.726527,52.620625,On or near TAR WORKS ROAD,E01026640,Great Yarmouth 004C,Investigation complete; no suspect identified
8162af65f86abfbfe6dec282cb992d98d65b459d743cca8fd8b12f28dfd6a4de,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.940343,52.663099,On or near STONE ROAD,E01026434,Breckland 005F,Investigation complete; no suspect identified
a8d2283ea77ab42bec853b3d4496849303729fbde10ac77679bcfdb5498d3e47,2014-07,Norfolk Constabulary,Norfolk Constabulary,0.421039,52.769974,On or near WHISSON CLOSE,E01026670,King's Lynn and West Norfolk 006B,Investigation complete; no suspect identified
73bbf5ddcad43e1b4bb88a784967ad9d204012946ab50dd22b63ff4cb28adc24,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.428666,52.475274,On or near NORWICH ROAD,E01026892,South Norfolk 012A,Investigation complete; no suspect identified
ec1f2b026cafe5cec7b0bdcf7fcfb9efd4872876bdb6f9da68e3e22e8c7b73d9,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.413247,52.734422,On or near Theme/Adventure Park,E01026744,North Norfolk 014A,Investigation complete; no suspect identified
0da9ca212f0e396506b1e8665e2fc95beee1099be9ecdd93890a7d3a7556a7ea,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.333412,52.674585,On or near BEESTON LANE,E01026550,Broadland 005B,Investigation complete; no suspect identified
af01bbec392efff6e3e92221c3afe25a7e96e3599414f7d6b4171db395e95375,2014-07,Norfolk Constabulary,Norfolk Constabulary,1.303171,52.646194,On or near SPROWSTON ROAD,E01026802,Norwich 001F,Investigation complete; no suspect identified
