Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2d0a440b97ed663e38898894c6e4e904e400423770704c0325402dc4007c6dad,2012-07,Kent Police,Kent Police,0.555224,51.386537,On or near WINDSOR ROAD,E01016040,Medway 013A,Investigation complete; no suspect identified
6725d94d4183fd63ff95b12c99f1399be0f49ef5319181b4bd9cc3c6a3a9b34d,2012-07,Kent Police,Kent Police,0.374804,51.433897,On or near PARROCK ROAD,E01024260,Gravesham 005B,Investigation complete; no suspect identified
7f12a134d0c97b8d5613e7dcb3d1307117df354e43f14c709e2fffa6c9ace306,2012-07,Kent Police,Kent Police,0.546745,51.377764,On or near ROCK AVENUE,E01016047,Medway 016C,Investigation complete; no suspect identified
4b405525f6cbc14a6d6dd8ae04054415a54dc9114b45a472c1cb26eaf49146d5,2012-07,Kent Police,Kent Police,0.549727,51.374011,On or near RAINHAM ROAD,E01016061,Medway 020A,Investigation complete; no suspect identified
891f53f641577a3223299d0b0e03f8978d5dcf33bbcc9150d27def74875fc899,2012-07,Kent Police,Kent Police,0.382295,51.413888,On or near LIVINGSTONE GARDENS,E01024303,Gravesham 011A,Investigation complete; no suspect identified
62a228ad2e53a7e664cd939e5f4590ea1de182a6f464eec736ef27ef856747a7,2012-07,Kent Police,Kent Police,0.695698,51.330504,On or near POND FARM ROAD,E01024554,Swale 009A,Investigation complete; no suspect identified
ba96819a1576cc82fb70cd18f0964cf91aa7b01ce8889023096b8b2f293c4d50,2012-07,Kent Police,Kent Police,0.538326,51.363781,On or near GREENBANK,E01016066,Medway 027C,Investigation complete; no suspect identified
23bfa83a2ca19ada55fdf508e55b3caee004f668bbf8042d69418c39346eee8d,2012-07,Kent Police,Kent Police,0.507123,51.383772,On or near Parking Area,E01016117,Medway 014A,Investigation complete; no suspect identified
968660a98472408c6108e37a9761a619076dd44c1871dea39c69ef4e0b36508e,2012-07,Kent Police,Kent Police,0.496971,51.358069,On or near MAIDSTONE ROAD,E01016120,Medway 026B,Investigation complete; no suspect identified
153e0d410cc42d8448456329c96316964d48f12176d622404189fa12b1417724,2012-07,Kent Police,Kent Police,0.353151,51.436708,On or near HAVELOCK ROAD,E01024282,Gravesham 004C,Investigation complete; no suspect identified
3f32976e47408363b747d7d87df42594ca0115851c0de44883e7c8d4cfba0bf8,2012-07,Kent Police,Kent Police,0.389489,51.436539,On or near DENTON COURT ROAD,E01024293,Gravesham 003C,Investigation complete; no suspect identified
1ae7f8b51c356db63e37bcc1c317eb1641d150e5489d70b07d7d223bd98bd54f,2012-07,Kent Police,Kent Police,0.368036,51.444898,On or near WEST STREET,E01032800,Gravesham 002G,Investigation complete; no suspect identified
4123ff096ce5f0b71368a89405628130f55624913627137615194da03319b238,2012-07,Kent Police,Kent Police,0.550197,51.374451,On or near JEZREELS ROAD,E01016046,Medway 016B,Investigation complete; no suspect identified
3d44370f03e1eaef859caeac8a456d1a909d071f600438320036725b3beb1e8b,2012-07,Kent Police,Kent Police,0.480298,51.402546,On or near Petrol Station,E01016133,Medway 005A,Investigation complete; no suspect identified
020f1b7d1a3b49045005c0d0307f6b0f236f8387e7fc4e1f6ad6eab40726513b,2012-07,Kent Police,Kent Police,0.237150,51.437622,On or near Petrol Station,E01024138,Dartford 008D,Investigation complete; no suspect identified
9a24caf93439f78c91154b50a167f860f05d2e234a588f7266b120b71cf78121,2012-07,Kent Police,Kent Police,0.175897,51.433397,On or near ANVIL TERRACE,E01024152,Dartford 010C,Investigation complete; no suspect identified
653156e8193b9dfd9dfe7f0bbae642da5b91cf808c00516050e84e8aced2306b,2012-07,Kent Police,Kent Police,0.458703,51.394520,On or near CORMORANT CLOSE,E01016152,Medway 008B,Investigation complete; no suspect identified
9399aef52ce82c3fb1a09efc002042fba23410c15ed49a33cc17ac507e12deab,2012-07,Kent Police,Kent Police,0.352174,51.330526,On or near TIMBER BANK,E01024275,Gravesham 013C,Investigation complete; no suspect identified
88d40d0327c00859e3186c59d6b60483f7c92bed52226c5d99e63abdba9c614e,2012-07,Kent Police,Kent Police,0.383642,51.427602,On or near EVESHAM ROAD,E01024314,Gravesham 007D,Investigation complete; no suspect identified
c91ca7bdfd79774550d050712ae21ca7ef8cb2386da756620cfbef702afcaf85,2012-07,Kent Police,Kent Police,0.733585,51.340643,On or near Supermarket,E01024608,Swale 010E,Investigation complete; no suspect identified
015583821b96690b874d207701879b52f0754b1fd77def8efc8c323f07b353e3,2012-07,Kent Police,Kent Police,0.353151,51.436708,On or near HAVELOCK ROAD,E01024282,Gravesham 004C,Investigation complete; no suspect identified
d9d42a5c56bd2ca182e1d6632391e140299a3faefc2678bf9874823827adc621,2012-07,Kent Police,Kent Police,0.360795,51.437328,On or near LENNOX ROAD EAST,E01024290,Gravesham 002C,Investigation complete; no suspect identified
7e1c3a1171074e12b36d2d738a2fa9284eae1e1767ebed56938c8b989fd075f9,2012-07,Kent Police,Kent Police,0.525643,51.366178,On or near CHATHAM GROVE,E01016025,Medway 027A,Investigation complete; no suspect identified
d83dc6ff1626357386c56f03b4b305c4e56a9bf593889820d1962a1a2297bc8a,2012-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
067796f1b7a76daea0e8f2cda1f9ff74fb82dce2aa1a570871e2ab8f72da903d,2012-07,Kent Police,Kent Police,0.599531,51.428740,On or near GAMMA ROAD,E01016074,Medway 001D,Investigation complete; no suspect identified
6f7ed513abdb35f07a703822293dbb73739a6ce06306107cc07d90788a00cce9,2012-07,Kent Police,Kent Police,0.609519,51.362118,On or near CHURCH MEWS,E01016089,Medway 029C,Investigation complete; no suspect identified
