Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
141c94a2ddc3733cec8e944788947348c9669bbe54fb9ac9b5ff973e110c4c73,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.205403,53.841401,On or near LEEDS ROAD,E01025184,Pendle 009D,Investigation complete; no suspect identified
d31ab1553f8d2e4665871d6fe1ffaae56c954e786469575730566e9ae69373d7,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.174943,53.920533,On or near WINDSOR PLACE,E01025193,Pendle 001C,Investigation complete; no suspect identified
dcd751728c0bbf77b5dc93b856b74af655e74d64f8d03f6a8fbca6749a1a5d2d,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.186359,53.916202,On or near ELLIS STREET,E01025196,Pendle 002B,Investigation complete; no suspect identified
3aeec313e09df731210f20414d350d00546be9a1b0484d492f98db2ec02bee44,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.191408,53.914963,On or near PARROCK STREET,E01025197,Pendle 002C,Investigation complete; no suspect identified
d75750e4042b1eedb963eff8fb9cc163397a0d1f0fa093a22364c2ea58ad0f32,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.154166,53.909848,On or near EARBY ROAD,E01025199,Pendle 003A,Investigation complete; no suspect identified
b63d018fc0a33d30eb7c683c70d52ba42159cdf548d8a53717a39aa59aa95b25,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.144503,53.897502,On or near MILLBECK LANE,E01025202,Pendle 003D,Investigation complete; no suspect identified
4f602341ddb34bbaa370e9373a326d2631cbbf21cc790a15f84c5d5178186fb5,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.178671,53.923503,On or near HAWTHORNE DRIVE,E01025192,Pendle 001B,Investigation complete; no suspect identified
3370075e90984c245f910257b334b3f9714cdea7040cd405f6ee0031e2a52855,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.187488,53.916829,On or near STATION ROAD,E01025192,Pendle 001B,Investigation complete; no suspect identified
a8f36c051156b675dfe0a0eef5cf97176dc4fa216b0749e037d438910d37427c,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.194292,53.919712,On or near DICKENS AVENUE,E01025194,Pendle 001D,Investigation complete; no suspect identified
a46b62d5f1a93a485dd18bdb8ac51f0d10372df7d997274249e5ed94fef5dfe9,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.190448,53.914802,On or near WALMSGATE,E01025196,Pendle 002B,Investigation complete; no suspect identified
81a07e99980ce573cb309cf6fb73be9ed5e5ce57f486d0f236faff6214239aa0,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.142392,53.916891,On or near VICTORIA MEWS,E01025200,Pendle 003B,Investigation complete; no suspect identified
4e47a69f7d697088c1cf44403df00494c69a5ca386bf7576952e9a80b4fa29c8,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.150434,53.905107,On or near COLNE ROAD,E01025202,Pendle 003D,Investigation complete; no suspect identified
1324d58967a8c6b6f522d458483cc9eaa3920157832bd7d3581b626587cc6a4e,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.143332,53.884543,On or near COB LANE,E01025203,Pendle 006D,Investigation complete; no suspect identified
c5b3e3d60b1dcad88552476a25d4b32fde9d069ecd2949641a9334f22d9d60ff,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.164142,53.864725,On or near NOYNA STREET,E01025206,Pendle 004B,Investigation complete; no suspect identified
2a787febd3caf79f02e92f0e0c548745daebc659ead28d47893e42429bfa00bb,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.171319,53.857201,On or near Theatre/Concert Hall,E01025207,Pendle 004C,Investigation complete; no suspect identified
a339e974ba9b956f503702c261fd86069635a32a6265fc0cdd24523159cf5d91,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.158889,53.859007,On or near RUTLAND STREET,E01025208,Pendle 004D,Investigation complete; no suspect identified
282d0e7fe55ccbfaf2993fb5bfa189f2e94cd4a682569ef9a8c30d94c12ab224,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.182869,53.859683,On or near ALKINCOATS ROAD,E01025222,Pendle 005C,Investigation complete; no suspect identified
ffd918866a4921ccb72e4d472f000046acdf8e28e65880a1789b5704b92914b3,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.144648,53.917446,On or near ALBION STREET,E01025199,Pendle 003A,Investigation complete; no suspect identified
317c3866adae118d5c587a0435623bd92471826265981263a19577fb3946a7bd,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.146409,53.911817,On or near LINDEN ROAD,E01025202,Pendle 003D,Investigation complete; no suspect identified
bcb75b08c9c91cc16f57f9076458306a02d30b6df3b9a34d61a6a467fa38f367,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.172425,53.878474,On or near MILE END CLOSE,E01025203,Pendle 006D,Investigation complete; no suspect identified
044ff9173c4731cc3b28d0454e28e8557e80f35b66748aca045f7686a5e23186,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.169967,53.857527,On or near IVEGATE,E01025207,Pendle 004C,Investigation complete; no suspect identified
8c158ea4ccd466d0f87225ca0c93dc25913f2a232bd2601bc78a4cfc7d2bf3e2,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.166454,53.861190,On or near DICKSON STREET,E01025207,Pendle 004C,Investigation complete; no suspect identified
44f3d38280fe32bc550c93d65be0d3fd361a7ca2b7a092540fb9ddd4eec1d4d6,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.157840,53.859044,On or near BRADLEY STREET,E01025208,Pendle 004D,Investigation complete; no suspect identified
de2d1ec4f29addcebba58a2110ee2294c5557c51ae2014599af8de7c98c65388,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.167488,53.864972,On or near LANGROYD ROAD,E01025220,Pendle 005A,Investigation complete; no suspect identified
b1a71299cd86a24298054b1208c3d25a02305d664a38208a9f44e0df7a776167,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.174329,53.860855,On or near BROWNING CLOSE,E01025221,Pendle 005B,Investigation complete; no suspect identified
3655d108ed2e9a0914cdf557fd95953be50bfd63b09e2512e22c802bc95e859c,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.177809,53.856859,On or near FOTHERGILL STREET,E01025223,Pendle 005D,Investigation complete; no suspect identified
8991898a4266d63ce56bd6c9ffd0c455a034fe987dc7643b837988e0e97ffc3b,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.169639,53.855469,On or near WALTON STREET,E01025227,Pendle 007B,Investigation complete; no suspect identified
bf769344f0c499f0b2d65155fa87002034b0d03ec846f376519055646c5cbaf5,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.197297,53.849872,On or near REGENT STREET,E01025228,Pendle 007C,Investigation complete; no suspect identified
7c01662df831d42afbc3222d6f0ed5eadf3531b3383e4090ffbe5547615ee5ef,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.197297,53.849872,On or near REGENT STREET,E01025228,Pendle 007C,Investigation complete; no suspect identified
735df2e8ae080ad0d1e066ea33f7292595e8bbf38f7bc8814d50b060d552b41f,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.278095,53.784477,On or near DRAMMEN AVENUE,E01024899,Burnley 010B,Investigation complete; no suspect identified
4d147811c7ea077dca7fe817ddeb00053a20931399eb3e418c8f2f5e934f1fae,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.269563,53.786366,On or near MOORHOUSE STREET,E01024900,Burnley 010C,Investigation complete; no suspect identified
6ae8410dfb59db97154b8892d5b0ed39852f97a0b591980d896cb82a501d3a66,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.245681,53.774688,On or near WOODPLUMPTON ROAD,E01024903,Burnley 014F,Investigation complete; no suspect identified
1812220e9c6dfd8edd5118801cb9cec9b548a55f3fdf3b83e3d47ea523c6210f,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.257636,53.784379,On or near BEVERLEY STREET,E01024907,Burnley 010D,Investigation complete; no suspect identified
1c610ee9c835f6dc6e5ded30702b6c36df89365f4136bddeef0b6c784a098765,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.176799,53.851720,On or near BACK ATKINSON STREET,E01025226,Pendle 007A,Investigation complete; no suspect identified
6693e6577a611f86ead0f87f198cc1fbfeb472604e3c005623da27a20ab1075e,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.190659,53.854350,On or near A6068,E01025226,Pendle 007A,Investigation complete; no suspect identified
20e2cf00a8c859848b9baf740651e6f81ac5f897b1713b354adc0b3472d1bfd1,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.159520,53.856975,On or near MABEL STREET,E01025227,Pendle 007B,Investigation complete; no suspect identified
137a2eac98451c170fc0ef5474d70cbbb38f53129b66577b2e1ad5196bd9b55f,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.159142,53.857586,On or near PRIMROSE HILL,E01025227,Pendle 007B,Investigation complete; no suspect identified
c9c710ecbbedad1ad2cd3310bda7284590a64702d9444642119daf7accbb6bc6,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.167813,53.854959,On or near LUNE STREET,E01025227,Pendle 007B,Investigation complete; no suspect identified
4136a5bb598ead457e635685c68530c10f43fa487d148c2995712f16fe128d7f,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.191976,53.846420,On or near HAMILTON ROAD,E01025228,Pendle 007C,Investigation complete; no suspect identified
bea05d9b4a94cdfdfd68ba6f79bf4bb102159d21a2a21bf9aad1de7f227f7f3b,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.194267,53.848745,On or near CORPORATION STREET,E01025228,Pendle 007C,Investigation complete; no suspect identified
80435e46800fc6fe4777d856e12c08de9533504c111b26fd9ab083460610f848,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.176529,53.762218,On or near Parking Area,E01024870,Burnley 009D,Investigation complete; no suspect identified
75820f7791058a1f98df27b50872edede361deb8a459063e2d68231ba55d62fd,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.253944,53.773646,On or near HERKOMER AVENUE,E01024871,Burnley 014D,Investigation complete; no suspect identified
8452be766e41560b50225edada5f6a9ad6885c6947abbb8e6841d8f91c6a5e92,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.230807,53.774062,On or near PRIORY COURT,E01024874,Burnley 011A,Investigation complete; no suspect identified
d152b2bace231299406ba1399c9208e0933a702a3278fbecfbffddd5e14c9bdc,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.274166,53.777763,On or near FARRINGTON COURT,E01024874,Burnley 011A,Investigation complete; no suspect identified
a1fa585cdfc001362273a3c14a68a688ff8bb9b5fcd9a0bcf7311bf59f4a0be8,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.278038,53.782788,On or near ORCHID COURT,E01024899,Burnley 010B,Investigation complete; no suspect identified
a977f795e653b517b69ba6e97bfdb0455dbe6519591e2ec8404d85d03ad9039f,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.281832,53.784963,On or near DREW STREET,E01024899,Burnley 010B,Investigation complete; no suspect identified
af430a11613171c112c667d2c08110c244bab1d5bd1d9805b6d3778e8b266880,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.272473,53.781138,On or near ROME AVENUE,E01024900,Burnley 010C,Investigation complete; no suspect identified
ddbdd9ea9a4e87fb0510c865773d9b7d56856189142de845755d898bab3cddb7,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.275073,53.781869,On or near VALLEY STREET,E01024900,Burnley 010C,Investigation complete; no suspect identified
ea2c5054dde60bed0c818c0f1c6b558a60efa94204482deeba77141e34850ee7,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.250536,53.774633,On or near TADEMA GROVE,E01024903,Burnley 014F,Investigation complete; no suspect identified
bd294285e6be61f7e74416568995265400c3fec9d22cb636d215daa6a9b02e57,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.235928,53.783561,On or near CROWTHER STREET,E01024906,Burnley 014B,Investigation complete; no suspect identified
de21d5f63f21533263a4f2b8f0aa255454ece0974b333030506747129b7375c6,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.262539,53.784539,On or near HAROLD STREET,E01024908,Burnley 010E,Investigation complete; no suspect identified
963b30dcb32e008ac0c750705d2554ff521ba1350ece09096a7a10dce6a02a25,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.179578,53.851086,On or near GRINDLESTONE HIRST,E01025228,Pendle 007C,Investigation complete; no suspect identified
5edc5d09be5244810ed5abb0bae82d854e17b2a908271f8b11f36438917dcb3a,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.208705,53.765977,On or near Petrol Station,E01024870,Burnley 009D,Investigation complete; no suspect identified
96ec5c26edec51e5e1cc003e19de0195f1d5633496873a61d465b0d2819d81aa,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.244316,53.787903,On or near YORKE STREET,E01024877,Burnley 003D,Investigation complete; no suspect identified
b716afc7902d31945fb3be7151a50afbff71ddfa40ccb6395023edcfe0019bd4,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.227542,53.801517,On or near FERNDALE STREET,E01024893,Burnley 002A,Investigation complete; no suspect identified
571ba0ea0f6a233f8678bb154e169b49893d930d6478349708904e056a592e19,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.250143,53.780045,On or near ROSEHILL ROAD,E01024905,Burnley 014G,Investigation complete; no suspect identified
b6930c7a0fdd154573a7648c0c4762e1527fb1fce3a85d3673a98919b9757654,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.235761,53.783552,On or near SPRINGFIELD ROAD,E01024906,Burnley 014B,Investigation complete; no suspect identified
4515030241cd28bfc759e627444119a292ebc5bb892b7b9443c5074c0d2f997c,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.249173,53.790464,On or near Supermarket,E01024909,Burnley 010F,Investigation complete; no suspect identified
1848342882e79e54c77db706c44d52cdab8b9d39f35044ca0cf6788d3dd86393,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.441903,53.809286,On or near Petrol Station,E01025333,Ribble Valley 007C,Investigation complete; no suspect identified
dbb8aad3c10cff6157c5c1431d5ebe7c60591e4e7ff069272262a56ef217168d,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.311850,53.686361,On or near LINDON PARK ROAD,E01025365,Rossendale 008C,Investigation complete; no suspect identified
af051ca82f3680a63b3e68ff3b9c5a2339d1127c997ee7d40739ae052535d42b,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.322050,53.703501,On or near ROCK STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
2413f646d2cf5bccff30e2ec47c6aa393a9cc82697373167b7f3f1e5e34a7ad1,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.209118,53.696355,On or near BANKSIDE CLOSE,E01025370,Rossendale 010F,Investigation complete; no suspect identified
0d3398b36fbe7234e3a378cda0f1f33d864745c26c6b3cb2ee59abd34fef1363,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.180910,53.645339,On or near BIRCH CLOSE,E01025375,Rossendale 009C,Investigation complete; no suspect identified
30de3018f187e9c1f070de8668794d5c3869049b891e392a6b1c8f4f4cc17201,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.227542,53.801517,On or near FERNDALE STREET,E01024893,Burnley 002A,Investigation complete; no suspect identified
0f6a5508dad85784485b6d7e9af7053acacf00977a29115bbf31b9359f7e93be,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.231964,53.824221,On or near HARTINGTON STREET,E01025186,Pendle 013B,Investigation complete; no suspect identified
d462261e2785820d0096755d7e14626cc7c851b08626f527e938b254d719af72,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.275583,53.845682,On or near WELL HEAD ROAD,E01025204,Pendle 008E,Investigation complete; no suspect identified
bb1addb58568b556308c884c0e88b1b233dba9d4a6371abd61882b1de084fa83,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
