Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eb64d308c3a3c65489fa78e6394dcbd5662cfc9c0fb877f5a4ae19eb9c38e3ed,2012-05,Northamptonshire Police,Northamptonshire Police,-0.831910,52.256940,On or near Sports/Recreation Area,E01027198,Northampton 007C,Investigation complete; no suspect identified
2e95b51a4adeb7ae51926f86ad82266446127a8a5efa507dd69779c2f89a4d1a,2012-05,Northamptonshire Police,Northamptonshire Police,-0.919194,52.214976,On or near YEOMAN MEADOW,E01027253,Northampton 029C,Investigation complete; no suspect identified
a9cc51b5b4e8f39070c3086a9cbe9b4e5991a22d7a3d4e4eaf9bcd4a49f36ef2,2012-05,Northamptonshire Police,Northamptonshire Police,-0.700927,52.316215,On or near HOGARTH CLOSE,E01027332,Wellingborough 002C,Investigation complete; no suspect identified
b29407bbb8d682f05b57a52e16cfc2c2ed3b745d017fe1494175db521da4d25d,2012-05,Northamptonshire Police,Northamptonshire Police,-0.725575,52.299302,On or near SHAKESPEARE ROAD,E01027341,Wellingborough 005C,Investigation complete; no suspect identified
db4ebc5ad832ee6ee485bda5f36ddb53f69266c086af993a07707e0b418f3649,2012-05,Northamptonshire Police,Northamptonshire Police,-0.719846,52.314381,On or near MUIRFIELD ROAD,E01027347,Wellingborough 003E,Investigation complete; no suspect identified
59dd883c594b8f39ad51fc531195c8713643b9bf68f4cf9849f4f65de23e8c73,2012-05,Northamptonshire Police,Northamptonshire Police,-1.171985,52.265398,On or near WORDSWORTH ROAD,E01026986,Daventry 007A,Investigation complete; no suspect identified
e6488932c2fcde5684d94d4ab4a197cf8b46a7ffb9d37a3ad6a834b8d93c7059,2012-05,Northamptonshire Police,Northamptonshire Police,-0.582969,52.290646,On or near GRAFTON ROAD,E01027058,East Northamptonshire 009A,Investigation complete; no suspect identified
e6f72ed50ce1df2323028158066355229f311aa1ae52c1b78bad160eefd0f0b5,2012-05,Northamptonshire Police,Northamptonshire Police,-0.596405,52.287247,On or near CO-OPERATIVE ROW,E01027069,East Northamptonshire 009E,Investigation complete; no suspect identified
4b024a69ea588f8e786da7033dccc750b1dbfddf82191986ac91f027b56b0967,2012-05,Northamptonshire Police,Northamptonshire Police,-0.729769,52.406858,On or near SPENCER STREET,E01027104,Kettering 007A,Investigation complete; no suspect identified
474d71732cf4b1dc520129cb5f94048dc8a1fb6d66b2774c24c532feab8a9e60,2012-05,Northamptonshire Police,Northamptonshire Police,-0.806419,52.418823,On or near ELIZABETH ROAD,E01027124,Kettering 003B,Investigation complete; no suspect identified
5e12f3c004d43eefdf78a189ff90ff047fddd58c8a4187fb3b365486d247608d,2012-05,Northamptonshire Police,Northamptonshire Police,-0.894572,52.239265,On or near Supermarket,E01027155,Northampton 023A,Investigation complete; no suspect identified
f23e7126592637aece81cbaa225f59602db2ba3c0ede555a6d8bf4fb4512bef0,2012-05,Northamptonshire Police,Northamptonshire Police,-0.804077,52.255160,On or near CHEDWORTH CLOSE,E01027177,Northampton 011D,Investigation complete; no suspect identified
c77ffb1c5e846bd3d836dc0a288e411818d884762be34f4d9fb07f41320da996,2012-05,Northamptonshire Police,Northamptonshire Police,-0.871267,52.257350,On or near BROADMEAD AVENUE,E01027186,Northampton 013B,Investigation complete; no suspect identified
0434b8fbc7b73ac426f821e9e1568ef7a57c731bdc5756358cae7affba7f662b,2012-05,Northamptonshire Police,Northamptonshire Police,-0.903038,52.254053,On or near BRANKSOME AVENUE,E01027191,Northampton 008B,Investigation complete; no suspect identified
a7880df0f17c8ca3bc54460a0a07434cbe5b5c537d719f77b840d92d2e4a283f,2012-05,Northamptonshire Police,Northamptonshire Police,-1.137515,52.094031,On or near LUKES CLOSE,E01027261,South Northamptonshire 007A,Investigation complete; no suspect identified
f088d5cefbabe53194e9777264ab7a7398f6405ec5ba2beb14e8a56bf7f01966,2012-05,Northamptonshire Police,Northamptonshire Police,-1.264183,52.072134,On or near ROYAL OAK MEWS,E01027293,South Northamptonshire 006C,Investigation complete; no suspect identified
d81a50dcf25f840427042a67724e3affb4b3f679b077819e299910e407c68e58,2012-05,Northamptonshire Police,Northamptonshire Police,-0.656039,52.337372,On or near LAWS LANE,E01027326,Wellingborough 001A,Investigation complete; no suspect identified
3b1cf7f8cf1d51b711c2109c658b8d33439a6029c04b721a97fefc0d51ac65b6,2012-05,Northamptonshire Police,Northamptonshire Police,-0.697854,52.479722,On or near LYNTON GROVE,E01026951,Corby 005C,Investigation complete; no suspect identified
dd466501106e8bc440b5ab39868b123c9829a495e0e12f988cfac053e15444ee,2012-05,Northamptonshire Police,Northamptonshire Police,-1.171415,52.281073,On or near PACKWOOD CLOSE,E01026990,Daventry 006C,Investigation complete; no suspect identified
99dde89c3d9d35dac6061e90a453c0078ba061321b7b81dd45d2c899ddec2855,2012-05,Northamptonshire Police,Northamptonshire Police,-0.590673,52.385565,On or near MILL ROAD,E01027078,East Northamptonshire 004C,Investigation complete; no suspect identified
80847aeb1ae38987dbe27bf05a34ac0cf897b46b2a6e6efc41575a94a4bfe76e,2012-05,Northamptonshire Police,Northamptonshire Police,-0.703246,52.391934,On or near GLENCOE DRIVE,E01027096,Kettering 008A,Investigation complete; no suspect identified
af2914144467cda716d74b7ac06e379a5e0783f8232eecdb6cd51a133d7e9bf0,2012-05,Northamptonshire Police,Northamptonshire Police,-0.728802,52.397543,On or near WEST STREET,E01027110,Kettering 007B,Investigation complete; no suspect identified
68586f1769ba7489e68047c0ceb1c7842c8fa2e97a19c78d2754c1601635a622,2012-05,Northamptonshire Police,Northamptonshire Police,-0.815207,52.254796,On or near CAMBERLEY CLOSE,E01027142,Northampton 011B,Investigation complete; no suspect identified
85575c5eee9e7861dd4d148faa9171c741fec8bb592a81012a5a291e446ad8b7,2012-05,Northamptonshire Police,Northamptonshire Police,-0.892228,52.237517,On or near ST GILES' STREET,E01027223,Northampton 025A,Investigation complete; no suspect identified
b01697f52a4940382e0de7c4809daa5630c3cf7e2fd630bfe25145b84aabd9ff,2012-05,Northamptonshire Police,Northamptonshire Police,-0.911649,52.248783,On or near GLADSTONE ROAD,E01027242,Northampton 017C,Investigation complete; no suspect identified
