Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3df539031f0f78fff5a23e31aa7662f688820756bbf62c48a050a55a85392020,2013-05,Dorset Police,Dorset Police,-2.468228,50.593864,On or near DAWLISH CRESCENT,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
8558e013c0eb792e5fa0eb24af19e4fb332f6977551dae1434264faa1e68769d,2013-05,Dorset Police,Dorset Police,-1.797236,50.753163,On or near SANDY LANE,E01020365,Christchurch 001D,Investigation complete; no suspect identified
6360ff805eb71097a0d7999fcd9160d994dea7fcf456182225caf0fead2e0483,2013-05,Dorset Police,Dorset Police,-1.774774,50.730946,On or near Ferry Terminal,E01020367,Christchurch 006D,Investigation complete; no suspect identified
de03654bdd6ceb2712e27afc97e32bdaf38a4a474fbf1d0061bb16bd0a7cc347,2013-05,Dorset Police,Dorset Police,-2.466764,50.608654,On or near KNIGHTSDALE ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
c6f7369391800d380df9fb8644de6ab5c093fc202f91928a4b3a113e21496851,2013-05,Dorset Police,Dorset Police,-1.882511,50.795059,On or near EVENING GLADE,E01020401,East Dorset 011D,Investigation complete; no suspect identified
c47bfb6d7321246a4b6a2c928a69c29537f4e818b630fca39766108f68a19b61,2013-05,Dorset Police,Dorset Police,-1.872442,50.871809,On or near NEWTOWN LANE,E01020412,East Dorset 003B,Investigation complete; no suspect identified
d4f0b22bcf848b8a6a7665ae3430c5a89958d59a80fa74496c93cd03cf4be83e,2013-05,Dorset Police,Dorset Police,-1.985815,50.799812,On or near Parking Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
6e9345ebf181cf1b5e77356196b63d35fd277f76a6a7b0cb8174e44d809d4759,2013-05,Dorset Police,Dorset Police,-2.198036,51.006865,On or near Parking Area,E01020454,North Dorset 003A,Investigation complete; no suspect identified
ef10a1dea4916b01079410336887fc061e1e3336098e957179bf0393d36a4246,2013-05,Dorset Police,Dorset Police,-2.091374,50.676847,On or near GOVER CLOSE,E01020467,Purbeck 005B,Investigation complete; no suspect identified
335d0586b8f2c3da01f7fe24daf701a226d8082a34908db0688c4f5327dd0d1b,2013-05,Dorset Police,Dorset Police,-2.092058,50.708078,On or near CHESTNUT CLOSE,E01020477,Purbeck 003B,Investigation complete; no suspect identified
ed464dacc59cf5d439ceddcf15c8c2f508ea5af4f30d5bda822b854636d51a1d,2013-05,Dorset Police,Dorset Police,-2.483437,50.669018,On or near FRIAR WADDON ROAD,E01020570,Weymouth and Portland 001C,Investigation complete; no suspect identified
390219aa72333c598570fcb2b802fc3c6d382362de3e0fc5504eb146a3adc61e,2013-05,Dorset Police,Dorset Police,-2.465422,50.617319,On or near GOLDCROFT AVENUE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
